Date,Year,Month,Day,Flow
1980-01-01,1980,1,1,0
1980-01-02,1980,1,2,0
1980-01-03,1980,1,3,0
1980-01-04,1980,1,4,0
1980-01-05,1980,1,5,0
1980-01-06,1980,1,6,0
1980-01-07,1980,1,7,0
1980-01-08,1980,1,8,0
1980-01-09,1980,1,9,0
1980-01-10,1980,1,10,0
1980-01-11,1980,1,11,0
1980-01-12,1980,1,12,0
1980-01-13,1980,1,13,0
1980-01-14,1980,1,14,0
1980-01-15,1980,1,15,0
1980-01-16,1980,1,16,0
1980-01-17,1980,1,17,0
1980-01-18,1980,1,18,0
1980-01-19,1980,1,19,0
1980-01-20,1980,1,20,0
1980-01-21,1980,1,21,0
1980-01-22,1980,1,22,0
1980-01-23,1980,1,23,0
1980-01-24,1980,1,24,0
1980-01-25,1980,1,25,0
1980-01-26,1980,1,26,0
1980-01-27,1980,1,27,0
1980-01-28,1980,1,28,0
1980-01-29,1980,1,29,0
1980-01-30,1980,1,30,0
1980-01-31,1980,1,31,0
1980-02-01,1980,2,1,0
1980-02-02,1980,2,2,0
1980-02-03,1980,2,3,0
1980-02-04,1980,2,4,0
1980-02-05,1980,2,5,0
1980-02-06,1980,2,6,0
1980-02-07,1980,2,7,0
1980-02-08,1980,2,8,0
1980-02-09,1980,2,9,0
1980-02-10,1980,2,10,0
1980-02-11,1980,2,11,0
1980-02-12,1980,2,12,0
1980-02-13,1980,2,13,0
1980-02-14,1980,2,14,0
1980-02-15,1980,2,15,0
1980-02-16,1980,2,16,0
1980-02-17,1980,2,17,0
1980-02-18,1980,2,18,0
1980-02-19,1980,2,19,0
1980-02-20,1980,2,20,0
1980-02-21,1980,2,21,0
1980-02-22,1980,2,22,0
1980-02-23,1980,2,23,0
1980-02-24,1980,2,24,0
1980-02-25,1980,2,25,0
1980-02-26,1980,2,26,0
1980-02-27,1980,2,27,0
1980-02-28,1980,2,28,0
1980-02-29,1980,2,29,0
1980-03-01,1980,3,1,0
1980-03-02,1980,3,2,0
1980-03-03,1980,3,3,0
1980-03-04,1980,3,4,0
1980-03-05,1980,3,5,0
1980-03-06,1980,3,6,0
1980-03-07,1980,3,7,0
1980-03-08,1980,3,8,0
1980-03-09,1980,3,9,0
1980-03-10,1980,3,10,0
1980-03-11,1980,3,11,0
1980-03-12,1980,3,12,0
1980-03-13,1980,3,13,0
1980-03-14,1980,3,14,0
1980-03-15,1980,3,15,2.17
1980-03-16,1980,3,16,8.77
1980-03-17,1980,3,17,8.07
1980-03-18,1980,3,18,18.37
1980-03-19,1980,3,19,45.57
1980-03-20,1980,3,20,53.67
1980-03-21,1980,3,21,54.37
1980-03-22,1980,3,22,27.17
1980-03-23,1980,3,23,14.67
1980-03-24,1980,3,24,7.37
1980-03-25,1980,3,25,4.07
1980-03-26,1980,3,26,3.17
1980-03-27,1980,3,27,13.17
1980-03-28,1980,3,28,11.77
1980-03-29,1980,3,29,8.07
1980-03-30,1980,3,30,8.77
1980-03-31,1980,3,31,8.07
1980-04-01,1980,4,1,7.27
1980-04-02,1980,4,2,9.27
1980-04-03,1980,4,3,8.67
1980-04-04,1980,4,4,6.27
1980-04-05,1980,4,5,7.97
1980-04-06,1980,4,6,11.27
1980-04-07,1980,4,7,9.97
1980-04-08,1980,4,8,10.57
1980-04-09,1980,4,9,13.27
1980-04-10,1980,4,10,19.97
1980-04-11,1980,4,11,13.97
1980-04-12,1980,4,12,14.57
1980-04-13,1980,4,13,13.97
1980-04-14,1980,4,14,10.57
1980-04-15,1980,4,15,28.57
1980-04-16,1980,4,16,37.89
1980-04-17,1980,4,17,35.89
1980-04-18,1980,4,18,24.59
1980-04-19,1980,4,19,15.99
1980-04-20,1980,4,20,11.99
1980-04-21,1980,4,21,9.99
1980-04-22,1980,4,22,10.59
1980-04-23,1980,4,23,8.69
1980-04-24,1980,4,24,15.99
1980-04-25,1980,4,25,12.59
1980-04-26,1980,4,26,10.59
1980-04-27,1980,4,27,10.59
1980-04-28,1980,4,28,6.69
1980-04-29,1980,4,29,6.69
1980-04-30,1980,4,30,6.91
1980-05-01,1980,5,1,8.5
1980-05-02,1980,5,2,6.54
1980-05-03,1980,5,3,10.1
1980-05-04,1980,5,4,10
1980-05-05,1980,5,5,6.73
1980-05-06,1980,5,6,4.99
1980-05-07,1980,5,7,3.72
1980-05-08,1980,5,8,2.74
1980-05-09,1980,5,9,1.74
1980-05-10,1980,5,10,1.98
1980-05-11,1980,5,11,1.63
1980-05-12,1980,5,12,1.64
1980-05-13,1980,5,13,2.23
1980-05-14,1980,5,14,2.13
1980-05-15,1980,5,15,2.18
1980-05-16,1980,5,16,2.09
1980-05-17,1980,5,17,2.85
1980-05-18,1980,5,18,11.52
1980-05-19,1980,5,19,6.97
1980-05-20,1980,5,20,4.09
1980-05-21,1980,5,21,5.27
1980-05-22,1980,5,22,3.84
1980-05-23,1980,5,23,9.7
1980-05-24,1980,5,24,9.54
1980-05-25,1980,5,25,14.43
1980-05-26,1980,5,26,17.81
1980-05-27,1980,5,27,48.56
1980-05-28,1980,5,28,49.59
1980-05-29,1980,5,29,37.71
1980-05-30,1980,5,30,46.82
1980-05-31,1980,5,31,37.86
1980-06-01,1980,6,1,34.94
1980-06-02,1980,6,2,23.89
1980-06-03,1980,6,3,19.04
1980-06-04,1980,6,4,17.12
1980-06-05,1980,6,5,16.27
1980-06-06,1980,6,6,17.07
1980-06-07,1980,6,7,14.24
1980-06-08,1980,6,8,13.94
1980-06-09,1980,6,9,17.81
1980-06-10,1980,6,10,20.53
1980-06-11,1980,6,11,14.4
1980-06-12,1980,6,12,10.21
1980-06-13,1980,6,13,12.24
1980-06-14,1980,6,14,8.99
1980-06-15,1980,6,15,6.78
1980-06-16,1980,6,16,4.45
1980-06-17,1980,6,17,3.96
1980-06-18,1980,6,18,6.37
1980-06-19,1980,6,19,8.41
1980-06-20,1980,6,20,8.51
1980-06-21,1980,6,21,7
1980-06-22,1980,6,22,5.64
1980-06-23,1980,6,23,5.31
1980-06-24,1980,6,24,5.74
1980-06-25,1980,6,25,4.47
1980-06-26,1980,6,26,4.11
1980-06-27,1980,6,27,4.74
1980-06-28,1980,6,28,5.43
1980-06-29,1980,6,29,5.11
1980-06-30,1980,6,30,5.96
1980-07-01,1980,7,1,7.41
1980-07-02,1980,7,2,7.85
1980-07-03,1980,7,3,7.25
1980-07-04,1980,7,4,7.8
1980-07-05,1980,7,5,7.96
1980-07-06,1980,7,6,8.16
1980-07-07,1980,7,7,8.88
1980-07-08,1980,7,8,7.25
1980-07-09,1980,7,9,5.46
1980-07-10,1980,7,10,5.07
1980-07-11,1980,7,11,4.48
1980-07-12,1980,7,12,3.79
1980-07-13,1980,7,13,2.8
1980-07-14,1980,7,14,2.31
1980-07-15,1980,7,15,1.82
1980-07-16,1980,7,16,1.43
1980-07-17,1980,7,17,1.24
1980-07-18,1980,7,18,1.04
1980-07-19,1980,7,19,0.85
1980-07-20,1980,7,20,0.65
1980-07-21,1980,7,21,3.16
1980-07-22,1980,7,22,2.96
1980-07-23,1980,7,23,1.67
1980-07-24,1980,7,24,9.67
1980-07-25,1980,7,25,8.78
1980-07-26,1980,7,26,7.58
1980-07-27,1980,7,27,4.19
1980-07-28,1980,7,28,2.09
1980-07-29,1980,7,29,1.2
1980-07-30,1980,7,30,0.6
1980-07-31,1980,7,31,12.41
1980-08-01,1980,8,1,18.61
1980-08-02,1980,8,2,17.72
1980-08-03,1980,8,3,13.02
1980-08-04,1980,8,4,9.12
1980-08-05,1980,8,5,8.93
1980-08-06,1980,8,6,9.23
1980-08-07,1980,8,7,8.53
1980-08-08,1980,8,8,8.54
1980-08-09,1980,8,9,7.14
1980-08-10,1980,8,10,5.04
1980-08-11,1980,8,11,3.84
1980-08-12,1980,8,12,2.64
1980-08-13,1980,8,13,2.14
1980-08-14,1980,8,14,1.75
1980-08-15,1980,8,15,0.95
1980-08-16,1980,8,16,1.05
1980-08-17,1980,8,17,0.65
1980-08-18,1980,8,18,0.35
1980-08-19,1980,8,19,0.25
1980-08-20,1980,8,20,0.15
1980-08-21,1980,8,21,1.05
1980-08-22,1980,8,22,2.16
1980-08-23,1980,8,23,1.56
1980-08-24,1980,8,24,1.16
1980-08-25,1980,8,25,0.86
1980-08-26,1980,8,26,0.96
1980-08-27,1980,8,27,0.56
1980-08-28,1980,8,28,0.36
1980-08-29,1980,8,29,0.27
1980-08-30,1980,8,30,0.17
1980-08-31,1980,8,31,0.17
1980-09-01,1980,9,1,0.97
1980-09-02,1980,9,2,0.67
1980-09-03,1980,9,3,0.37
1980-09-04,1980,9,4,0.18
1980-09-05,1980,9,5,0.08
1980-09-06,1980,9,6,0
1980-09-07,1980,9,7,0
1980-09-08,1980,9,8,0
1980-09-09,1980,9,9,0
1980-09-10,1980,9,10,0
1980-09-11,1980,9,11,0
1980-09-12,1980,9,12,0
1980-09-13,1980,9,13,0
1980-09-14,1980,9,14,0
1980-09-15,1980,9,15,0
1980-09-16,1980,9,16,0
1980-09-17,1980,9,17,0
1980-09-18,1980,9,18,0
1980-09-19,1980,9,19,0
1980-09-20,1980,9,20,0
1980-09-21,1980,9,21,0
1980-09-22,1980,9,22,0
1980-09-23,1980,9,23,0
1980-09-24,1980,9,24,0
1980-09-25,1980,9,25,0
1980-09-26,1980,9,26,0
1980-09-27,1980,9,27,0
1980-09-28,1980,9,28,0
1980-09-29,1980,9,29,0
1980-09-30,1980,9,30,0
1980-10-01,1980,10,1,0
1980-10-02,1980,10,2,0
1980-10-03,1980,10,3,0
1980-10-04,1980,10,4,0
1980-10-05,1980,10,5,0
1980-10-06,1980,10,6,0
1980-10-07,1980,10,7,0
1980-10-08,1980,10,8,0
1980-10-09,1980,10,9,0
1980-10-10,1980,10,10,0.13
1980-10-11,1980,10,11,2.24
1980-10-12,1980,10,12,2.34
1980-10-13,1980,10,13,3.24
1980-10-14,1980,10,14,4.24
1980-10-15,1980,10,15,3.74
1980-10-16,1980,10,16,4.14
1980-10-17,1980,10,17,4.24
1980-10-18,1980,10,18,4.34
1980-10-19,1980,10,19,6.44
1980-10-20,1980,10,20,7.05
1980-10-21,1980,10,21,7.05
1980-10-22,1980,10,22,9.95
1980-10-23,1980,10,23,9.95
1980-10-24,1980,10,24,8.95
1980-10-25,1980,10,25,8.75
1980-10-26,1980,10,26,9.05
1980-10-27,1980,10,27,9.95
1980-10-28,1980,10,28,8.75
1980-10-29,1980,10,29,11.75
1980-10-30,1980,10,30,11.75
1980-10-31,1980,10,31,11.75
1980-11-01,1980,11,1,3.95
1980-11-02,1980,11,2,3.96
1980-11-03,1980,11,3,3.96
1980-11-04,1980,11,4,3.66
1980-11-05,1980,11,5,0
1980-11-06,1980,11,6,0
1980-11-07,1980,11,7,0
1980-11-08,1980,11,8,0
1980-11-09,1980,11,9,0
1980-11-10,1980,11,10,0
1980-11-11,1980,11,11,0
1980-11-12,1980,11,12,0
1980-11-13,1980,11,13,0
1980-11-14,1980,11,14,0
1980-11-15,1980,11,15,0
1980-11-16,1980,11,16,0
1980-11-17,1980,11,17,0
1980-11-18,1980,11,18,0
1980-11-19,1980,11,19,0
1980-11-20,1980,11,20,0
1980-11-21,1980,11,21,0
1980-11-22,1980,11,22,0
1980-11-23,1980,11,23,0
1980-11-24,1980,11,24,0
1980-11-25,1980,11,25,0
1980-11-26,1980,11,26,0
1980-11-27,1980,11,27,0
1980-11-28,1980,11,28,0
1980-11-29,1980,11,29,0
1980-11-30,1980,11,30,0
1980-12-01,1980,12,1,0
1980-12-02,1980,12,2,0
1980-12-03,1980,12,3,0
1980-12-04,1980,12,4,0
1980-12-05,1980,12,5,0
1980-12-06,1980,12,6,0
1980-12-07,1980,12,7,0
1980-12-08,1980,12,8,0
1980-12-09,1980,12,9,0
1980-12-10,1980,12,10,0
1980-12-11,1980,12,11,0
1980-12-12,1980,12,12,0
1980-12-13,1980,12,13,0
1980-12-14,1980,12,14,0
1980-12-15,1980,12,15,0
1980-12-16,1980,12,16,0
1980-12-17,1980,12,17,0
1980-12-18,1980,12,18,0
1980-12-19,1980,12,19,0
1980-12-20,1980,12,20,0
1980-12-21,1980,12,21,0
1980-12-22,1980,12,22,0
1980-12-23,1980,12,23,0
1980-12-24,1980,12,24,0
1980-12-25,1980,12,25,0
1980-12-26,1980,12,26,0
1980-12-27,1980,12,27,0
1980-12-28,1980,12,28,0
1980-12-29,1980,12,29,0
1980-12-30,1980,12,30,0
1980-12-31,1980,12,31,0
1981-01-01,1981,1,1,0
1981-01-02,1981,1,2,0
1981-01-03,1981,1,3,0
1981-01-04,1981,1,4,0
1981-01-05,1981,1,5,0
1981-01-06,1981,1,6,0
1981-01-07,1981,1,7,0
1981-01-08,1981,1,8,0
1981-01-09,1981,1,9,0
1981-01-10,1981,1,10,0
1981-01-11,1981,1,11,0
1981-01-12,1981,1,12,0
1981-01-13,1981,1,13,0
1981-01-14,1981,1,14,0
1981-01-15,1981,1,15,0
1981-01-16,1981,1,16,0
1981-01-17,1981,1,17,0
1981-01-18,1981,1,18,0
1981-01-19,1981,1,19,0
1981-01-20,1981,1,20,0
1981-01-21,1981,1,21,0
1981-01-22,1981,1,22,0
1981-01-23,1981,1,23,0
1981-01-24,1981,1,24,0
1981-01-25,1981,1,25,0
1981-01-26,1981,1,26,0
1981-01-27,1981,1,27,0
1981-01-28,1981,1,28,0
1981-01-29,1981,1,29,0
1981-01-30,1981,1,30,0
1981-01-31,1981,1,31,0
1981-02-01,1981,2,1,0
1981-02-02,1981,2,2,0
1981-02-03,1981,2,3,0
1981-02-04,1981,2,4,0
1981-02-05,1981,2,5,0
1981-02-06,1981,2,6,0
1981-02-07,1981,2,7,0
1981-02-08,1981,2,8,0
1981-02-09,1981,2,9,0
1981-02-10,1981,2,10,0
1981-02-11,1981,2,11,0
1981-02-12,1981,2,12,0
1981-02-13,1981,2,13,0
1981-02-14,1981,2,14,0
1981-02-15,1981,2,15,0
1981-02-16,1981,2,16,0
1981-02-17,1981,2,17,1001.09
1981-02-18,1981,2,18,934.39
1981-02-19,1981,2,19,480.49
1981-02-20,1981,2,20,353.69
1981-02-21,1981,2,21,213.59
1981-02-22,1981,2,22,120.09
1981-02-23,1981,2,23,100.09
1981-02-24,1981,2,24,106.79
1981-02-25,1981,2,25,140.19
1981-02-26,1981,2,26,65.39
1981-02-27,1981,2,27,21.99
1981-02-28,1981,2,28,14.79
1981-03-01,1981,3,1,16.49
1981-03-02,1981,3,2,12.89
1981-03-03,1981,3,3,11.49
1981-03-04,1981,3,4,17.19
1981-03-05,1981,3,5,18.69
1981-03-06,1981,3,6,17.19
1981-03-07,1981,3,7,15.79
1981-03-08,1981,3,8,14.39
1981-03-09,1981,3,9,15.09
1981-03-10,1981,3,10,16.49
1981-03-11,1981,3,11,17.19
1981-03-12,1981,3,12,18.69
1981-03-13,1981,3,13,15.79
1981-03-14,1981,3,14,9.29
1981-03-15,1981,3,15,6.19
1981-03-16,1981,3,16,5.69
1981-03-17,1981,3,17,7.89
1981-03-18,1981,3,18,9.29
1981-03-19,1981,3,19,5.19
1981-03-20,1981,3,20,7.19
1981-03-21,1981,3,21,4.79
1981-03-22,1981,3,22,7.19
1981-03-23,1981,3,23,7.89
1981-03-24,1981,3,24,5.09
1981-03-25,1981,3,25,4.69
1981-03-26,1981,3,26,6.49
1981-03-27,1981,3,27,7.19
1981-03-28,1981,3,28,5.49
1981-03-29,1981,3,29,4.09
1981-03-30,1981,3,30,5.19
1981-03-31,1981,3,31,5.69
1981-04-01,1981,4,1,6.49
1981-04-02,1981,4,2,8.99
1981-04-03,1981,4,3,6.89
1981-04-04,1981,4,4,5.09
1981-04-05,1981,4,5,3.69
1981-04-06,1981,4,6,2.39
1981-04-07,1981,4,7,2.29
1981-04-08,1981,4,8,3.69
1981-04-09,1981,4,9,4.44
1981-04-10,1981,4,10,3.95
1981-04-11,1981,4,11,3.44
1981-04-12,1981,4,12,3.74
1981-04-13,1981,4,13,3.43
1981-04-14,1981,4,14,3.24
1981-04-15,1981,4,15,2.95
1981-04-16,1981,4,16,2.26
1981-04-17,1981,4,17,2.85
1981-04-18,1981,4,18,8.44
1981-04-19,1981,4,19,8.65
1981-04-20,1981,4,20,6.44
1981-04-21,1981,4,21,4.3
1981-04-22,1981,4,22,3.5
1981-04-23,1981,4,23,3.5
1981-04-24,1981,4,24,5.48
1981-04-25,1981,4,25,4.1
1981-04-26,1981,4,26,2.91
1981-04-27,1981,4,27,2.6
1981-04-28,1981,4,28,3.22
1981-04-29,1981,4,29,3.49
1981-04-30,1981,4,30,3.42
1981-05-01,1981,5,1,3.33
1981-05-02,1981,5,2,7.34
1981-05-03,1981,5,3,5.73
1981-05-04,1981,5,4,8.74
1981-05-05,1981,5,5,12.87
1981-05-06,1981,5,6,10.9
1981-05-07,1981,5,7,17.79
1981-05-08,1981,5,8,18.64
1981-05-09,1981,5,9,19.34
1981-05-10,1981,5,10,15.01
1981-05-11,1981,5,11,16.34
1981-05-12,1981,5,12,11.22
1981-05-13,1981,5,13,9.53
1981-05-14,1981,5,14,9.84
1981-05-15,1981,5,15,11.89
1981-05-16,1981,5,16,12.9
1981-05-17,1981,5,17,12.44
1981-05-18,1981,5,18,19.21
1981-05-19,1981,5,19,45.92
1981-05-20,1981,5,20,38.37
1981-05-21,1981,5,21,35.51
1981-05-22,1981,5,22,39.06
1981-05-23,1981,5,23,37.91
1981-05-24,1981,5,24,31.66
1981-05-25,1981,5,25,26.76
1981-05-26,1981,5,26,24.33
1981-05-27,1981,5,27,20.94
1981-05-28,1981,5,28,12.43
1981-05-29,1981,5,29,8.01
1981-05-30,1981,5,30,5.77
1981-05-31,1981,5,31,4.38
1981-06-01,1981,6,1,4.87
1981-06-02,1981,6,2,3.87
1981-06-03,1981,6,3,30.9
1981-06-04,1981,6,4,32.59
1981-06-05,1981,6,5,26.17
1981-06-06,1981,6,6,16.39
1981-06-07,1981,6,7,12.56
1981-06-08,1981,6,8,11.55
1981-06-09,1981,6,9,10.49
1981-06-10,1981,6,10,10.39
1981-06-11,1981,6,11,9.02
1981-06-12,1981,6,12,8.55
1981-06-13,1981,6,13,9.03
1981-06-14,1981,6,14,10.39
1981-06-15,1981,6,15,11.35
1981-06-16,1981,6,16,10.62
1981-06-17,1981,6,17,10.13
1981-06-18,1981,6,18,10.45
1981-06-19,1981,6,19,13.38
1981-06-20,1981,6,20,30.26
1981-06-21,1981,6,21,20.99
1981-06-22,1981,6,22,16.16
1981-06-23,1981,6,23,11.82
1981-06-24,1981,6,24,10.71
1981-06-25,1981,6,25,8.31
1981-06-26,1981,6,26,6.29
1981-06-27,1981,6,27,7.6
1981-06-28,1981,6,28,6.9
1981-06-29,1981,6,29,7.05
1981-06-30,1981,6,30,6.23
1981-07-01,1981,7,1,4.6
1981-07-02,1981,7,2,3.38
1981-07-03,1981,7,3,4.68
1981-07-04,1981,7,4,6.44
1981-07-05,1981,7,5,6.32
1981-07-06,1981,7,6,6.18
1981-07-07,1981,7,7,6.42
1981-07-08,1981,7,8,4.93
1981-07-09,1981,7,9,3.24
1981-07-10,1981,7,10,2.35
1981-07-11,1981,7,11,1.66
1981-07-12,1981,7,12,1.87
1981-07-13,1981,7,13,3.88
1981-07-14,1981,7,14,5.69
1981-07-15,1981,7,15,7.39
1981-07-16,1981,7,16,12.9
1981-07-17,1981,7,17,10.51
1981-07-18,1981,7,18,19.01
1981-07-19,1981,7,19,14.42
1981-07-20,1981,7,20,18.32
1981-07-21,1981,7,21,19.03
1981-07-22,1981,7,22,15.24
1981-07-23,1981,7,23,10.54
1981-07-24,1981,7,24,8.25
1981-07-25,1981,7,25,7.45
1981-07-26,1981,7,26,5.96
1981-07-27,1981,7,27,8.27
1981-07-28,1981,7,28,8.27
1981-07-29,1981,7,29,7.28
1981-07-30,1981,7,30,5.79
1981-07-31,1981,7,31,5.59
1981-08-01,1981,8,1,7.5
1981-08-02,1981,8,2,4.81
1981-08-03,1981,8,3,4.61
1981-08-04,1981,8,4,4.82
1981-08-05,1981,8,5,4.22
1981-08-06,1981,8,6,4.12
1981-08-07,1981,8,7,3.73
1981-08-08,1981,8,8,3.33
1981-08-09,1981,8,9,2.63
1981-08-10,1981,8,10,2.33
1981-08-11,1981,8,11,1.83
1981-08-12,1981,8,12,1.33
1981-08-13,1981,8,13,0.84
1981-08-14,1981,8,14,0.54
1981-08-15,1981,8,15,0.24
1981-08-16,1981,8,16,0.24
1981-08-17,1981,8,17,0.14
1981-08-18,1981,8,18,0.04
1981-08-19,1981,8,19,0
1981-08-20,1981,8,20,0
1981-08-21,1981,8,21,0
1981-08-22,1981,8,22,0
1981-08-23,1981,8,23,0
1981-08-24,1981,8,24,0
1981-08-25,1981,8,25,0
1981-08-26,1981,8,26,0
1981-08-27,1981,8,27,0
1981-08-28,1981,8,28,0
1981-08-29,1981,8,29,0
1981-08-30,1981,8,30,0
1981-08-31,1981,8,31,0
1981-09-01,1981,9,1,0
1981-09-02,1981,9,2,0
1981-09-03,1981,9,3,0
1981-09-04,1981,9,4,0
1981-09-05,1981,9,5,0
1981-09-06,1981,9,6,0
1981-09-07,1981,9,7,0
1981-09-08,1981,9,8,0
1981-09-09,1981,9,9,0
1981-09-10,1981,9,10,0
1981-09-11,1981,9,11,0
1981-09-12,1981,9,12,0
1981-09-13,1981,9,13,0
1981-09-14,1981,9,14,0
1981-09-15,1981,9,15,0
1981-09-16,1981,9,16,0
1981-09-17,1981,9,17,0
1981-09-18,1981,9,18,0
1981-09-19,1981,9,19,0
1981-09-20,1981,9,20,0
1981-09-21,1981,9,21,0
1981-09-22,1981,9,22,0
1981-09-23,1981,9,23,0
1981-09-24,1981,9,24,0
1981-09-25,1981,9,25,0
1981-09-26,1981,9,26,0
1981-09-27,1981,9,27,0
1981-09-28,1981,9,28,0
1981-09-29,1981,9,29,0
1981-09-30,1981,9,30,0
1981-10-01,1981,10,1,0
1981-10-02,1981,10,2,0
1981-10-03,1981,10,3,0
1981-10-04,1981,10,4,0
1981-10-05,1981,10,5,0
1981-10-06,1981,10,6,0
1981-10-07,1981,10,7,0
1981-10-08,1981,10,8,0
1981-10-09,1981,10,9,0
1981-10-10,1981,10,10,0
1981-10-11,1981,10,11,0
1981-10-12,1981,10,12,0
1981-10-13,1981,10,13,0
1981-10-14,1981,10,14,0
1981-10-15,1981,10,15,0
1981-10-16,1981,10,16,0
1981-10-17,1981,10,17,0
1981-10-18,1981,10,18,0
1981-10-19,1981,10,19,0
1981-10-20,1981,10,20,0
1981-10-21,1981,10,21,0
1981-10-22,1981,10,22,0
1981-10-23,1981,10,23,0
1981-10-24,1981,10,24,0
1981-10-25,1981,10,25,0
1981-10-26,1981,10,26,0
1981-10-27,1981,10,27,0
1981-10-28,1981,10,28,0
1981-10-29,1981,10,29,0
1981-10-30,1981,10,30,0
1981-10-31,1981,10,31,0
1981-11-01,1981,11,1,0.65
1981-11-02,1981,11,2,0.65
1981-11-03,1981,11,3,0.65
1981-11-04,1981,11,4,0.55
1981-11-05,1981,11,5,0.45
1981-11-06,1981,11,6,0.46
1981-11-07,1981,11,7,0.56
1981-11-08,1981,11,8,0.46
1981-11-09,1981,11,9,0.46
1981-11-10,1981,11,10,0.56
1981-11-11,1981,11,11,0.66
1981-11-12,1981,11,12,0.76
1981-11-13,1981,11,13,0.76
1981-11-14,1981,11,14,0.86
1981-11-15,1981,11,15,0.86
1981-11-16,1981,11,16,0.76
1981-11-17,1981,11,17,0.86
1981-11-18,1981,11,18,0.86
1981-11-19,1981,11,19,0.76
1981-11-20,1981,11,20,0.46
1981-11-21,1981,11,21,0.66
1981-11-22,1981,11,22,1.06
1981-11-23,1981,11,23,1.06
1981-11-24,1981,11,24,0.96
1981-11-25,1981,11,25,0.86
1981-11-26,1981,11,26,0.66
1981-11-27,1981,11,27,0.56
1981-11-28,1981,11,28,0.46
1981-11-29,1981,11,29,0.37
1981-11-30,1981,11,30,0.77
1981-12-01,1981,12,1,0.47
1981-12-02,1981,12,2,0.77
1981-12-03,1981,12,3,0.57
1981-12-04,1981,12,4,0.57
1981-12-05,1981,12,5,0.67
1981-12-06,1981,12,6,0.97
1981-12-07,1981,12,7,0.77
1981-12-08,1981,12,8,0.67
1981-12-09,1981,12,9,0.67
1981-12-10,1981,12,10,0.77
1981-12-11,1981,12,11,0.57
1981-12-12,1981,12,12,0.57
1981-12-13,1981,12,13,0.27
1981-12-14,1981,12,14,0.17
1981-12-15,1981,12,15,0.07
1981-12-16,1981,12,16,0.07
1981-12-17,1981,12,17,0.17
1981-12-18,1981,12,18,0.17
1981-12-19,1981,12,19,0.37
1981-12-20,1981,12,20,0.57
1981-12-21,1981,12,21,0.47
1981-12-22,1981,12,22,0.37
1981-12-23,1981,12,23,0.18
1981-12-24,1981,12,24,0.38
1981-12-25,1981,12,25,0.38
1981-12-26,1981,12,26,0.28
1981-12-27,1981,12,27,0.18
1981-12-28,1981,12,28,0.18
1981-12-29,1981,12,29,0.08
1981-12-30,1981,12,30,0.08
1981-12-31,1981,12,31,0
1982-01-01,1982,1,1,0
1982-01-02,1982,1,2,0
1982-01-03,1982,1,3,0
1982-01-04,1982,1,4,0
1982-01-05,1982,1,5,0
1982-01-06,1982,1,6,0
1982-01-07,1982,1,7,0
1982-01-08,1982,1,8,0
1982-01-09,1982,1,9,0
1982-01-10,1982,1,10,0
1982-01-11,1982,1,11,0
1982-01-12,1982,1,12,0
1982-01-13,1982,1,13,0
1982-01-14,1982,1,14,0
1982-01-15,1982,1,15,0
1982-01-16,1982,1,16,0
1982-01-17,1982,1,17,0
1982-01-18,1982,1,18,0
1982-01-19,1982,1,19,0
1982-01-20,1982,1,20,0
1982-01-21,1982,1,21,0
1982-01-22,1982,1,22,0
1982-01-23,1982,1,23,0
1982-01-24,1982,1,24,0
1982-01-25,1982,1,25,0
1982-01-26,1982,1,26,0.09
1982-01-27,1982,1,27,0
1982-01-28,1982,1,28,0
1982-01-29,1982,1,29,0
1982-01-30,1982,1,30,0
1982-01-31,1982,1,31,0
1982-02-01,1982,2,1,0
1982-02-02,1982,2,2,0
1982-02-03,1982,2,3,0
1982-02-04,1982,2,4,0
1982-02-05,1982,2,5,0
1982-02-06,1982,2,6,0
1982-02-07,1982,2,7,0
1982-02-08,1982,2,8,0
1982-02-09,1982,2,9,0
1982-02-10,1982,2,10,0
1982-02-11,1982,2,11,0
1982-02-12,1982,2,12,0
1982-02-13,1982,2,13,0
1982-02-14,1982,2,14,0
1982-02-15,1982,2,15,0
1982-02-16,1982,2,16,0
1982-02-17,1982,2,17,0
1982-02-18,1982,2,18,0
1982-02-19,1982,2,19,0.09
1982-02-20,1982,2,20,0.09
1982-02-21,1982,2,21,0.09
1982-02-22,1982,2,22,0
1982-02-23,1982,2,23,0
1982-02-24,1982,2,24,0
1982-02-25,1982,2,25,0
1982-02-26,1982,2,26,0
1982-02-27,1982,2,27,0
1982-02-28,1982,2,28,0
1982-03-01,1982,3,1,0
1982-03-02,1982,3,2,0
1982-03-03,1982,3,3,0
1982-03-04,1982,3,4,0
1982-03-05,1982,3,5,0
1982-03-06,1982,3,6,0
1982-03-07,1982,3,7,0
1982-03-08,1982,3,8,0
1982-03-09,1982,3,9,0
1982-03-10,1982,3,10,0
1982-03-11,1982,3,11,0
1982-03-12,1982,3,12,0.09
1982-03-13,1982,3,13,0.29
1982-03-14,1982,3,14,3.59
1982-03-15,1982,3,15,4.29
1982-03-16,1982,3,16,2.39
