Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,0
1/2/1980,1980,1,2,0
1/3/1980,1980,1,3,0
1/4/1980,1980,1,4,0
1/5/1980,1980,1,5,0
1/6/1980,1980,1,6,0
1/7/1980,1980,1,7,0
1/8/1980,1980,1,8,0
1/9/1980,1980,1,9,0
1/10/1980,1980,1,10,0
1/11/1980,1980,1,11,0
1/12/1980,1980,1,12,0
1/13/1980,1980,1,13,0
1/14/1980,1980,1,14,0
1/15/1980,1980,1,15,0
1/16/1980,1980,1,16,0
1/17/1980,1980,1,17,0
1/18/1980,1980,1,18,0
1/19/1980,1980,1,19,0
1/20/1980,1980,1,20,0
1/21/1980,1980,1,21,0
1/22/1980,1980,1,22,0
1/23/1980,1980,1,23,0
1/24/1980,1980,1,24,0
1/25/1980,1980,1,25,0
1/26/1980,1980,1,26,0
1/27/1980,1980,1,27,0
1/28/1980,1980,1,28,0
1/29/1980,1980,1,29,0
1/30/1980,1980,1,30,0
1/31/1980,1980,1,31,0
2/1/1980,1980,2,1,0
2/2/1980,1980,2,2,0
2/3/1980,1980,2,3,0
2/4/1980,1980,2,4,0
2/5/1980,1980,2,5,0
2/6/1980,1980,2,6,0
2/7/1980,1980,2,7,0
2/8/1980,1980,2,8,0
2/9/1980,1980,2,9,0
2/10/1980,1980,2,10,0
2/11/1980,1980,2,11,0
2/12/1980,1980,2,12,0
2/13/1980,1980,2,13,0
2/14/1980,1980,2,14,0
2/15/1980,1980,2,15,0
2/16/1980,1980,2,16,0
2/17/1980,1980,2,17,0
2/18/1980,1980,2,18,0
2/19/1980,1980,2,19,0
2/20/1980,1980,2,20,0
2/21/1980,1980,2,21,0
2/22/1980,1980,2,22,0
2/23/1980,1980,2,23,0
2/24/1980,1980,2,24,0
2/25/1980,1980,2,25,0
2/26/1980,1980,2,26,0
2/27/1980,1980,2,27,0
2/28/1980,1980,2,28,0
2/29/1980,1980,2,29,0
3/1/1980,1980,3,1,0
3/2/1980,1980,3,2,0
3/3/1980,1980,3,3,0
3/4/1980,1980,3,4,0
3/5/1980,1980,3,5,0
3/6/1980,1980,3,6,0
3/7/1980,1980,3,7,0
3/8/1980,1980,3,8,0
3/9/1980,1980,3,9,0
3/10/1980,1980,3,10,0
3/11/1980,1980,3,11,0
3/12/1980,1980,3,12,0
3/13/1980,1980,3,13,0
3/14/1980,1980,3,14,0
3/15/1980,1980,3,15,3.948439694
3/16/1980,1980,3,16,15.79375878
3/17/1980,1980,3,17,14.47761221
3/18/1980,1980,3,18,32.90366412
3/19/1980,1980,3,19,81.60108701
3/20/1980,1980,3,20,96.07869922
3/21/1980,1980,3,21,97.39484579
3/22/1980,1980,3,22,48.69742289
3/23/1980,1980,3,23,26.32293129
3/24/1980,1980,3,24,13.16146565
3/25/1980,1980,3,25,7.370420762
3/26/1980,1980,3,26,9.899527298
3/27/1980,1980,3,27,40.49806622
3/28/1980,1980,3,28,35.99828108
3/29/1980,1980,3,29,24.74881824
3/30/1980,1980,3,30,26.99871081
3/31/1980,1980,3,31,24.74881824
4/1/1980,1980,4,1,24.74881824
4/2/1980,1980,4,2,31.49849595
4/3/1980,1980,4,3,29.24860338
4/4/1980,1980,4,4,21.37397939
4/5/1980,1980,4,5,29.71255491
4/6/1980,1980,4,6,42.09278612
4/7/1980,1980,4,7,37.14069364
4/8/1980,1980,4,8,39.61673988
4/9/1980,1980,4,9,49.52092485
4/10/1980,1980,4,10,74.28138727
4/11/1980,1980,4,11,51.99697109
4/12/1980,1980,4,12,54.47301733
4/13/1980,1980,4,13,51.99697109
4/14/1980,1980,4,14,39.61673988
4/15/1980,1980,4,15,168.9224697
4/16/1980,1980,4,16,223.920483
4/17/1980,1980,4,17,212.1351945
4/18/1980,1980,4,18,145.3518925
4/19/1980,1980,4,19,94.28230865
4/20/1980,1980,4,20,70.71173149
4/21/1980,1980,4,21,58.92644291
4/22/1980,1980,4,22,62.85487243
4/23/1980,1980,4,23,51.06958385
4/24/1980,1980,4,24,94.28230865
4/25/1980,1980,4,25,65.80724927
4/26/1980,1980,4,26,55.41663096
4/27/1980,1980,4,27,55.41663096
4/28/1980,1980,4,28,34.63539435
4/29/1980,1980,4,29,34.63539435
4/30/1980,1980,4,30,34.63539435
5/1/1980,1980,5,1,34.63539435
5/2/1980,1980,5,2,25.97654576
5/3/1980,1980,5,3,45.02601266
5/4/1980,1980,5,4,45.02601266
5/5/1980,1980,5,5,41.59273454
5/6/1980,1980,5,6,24.84760764
5/7/1980,1980,5,7,17.28529227
5/8/1980,1980,5,8,11.88363844
5/9/1980,1980,5,9,8.642646137
5/10/1980,1980,5,10,6.481984603
5/11/1980,1980,5,11,4.969521529
5/12/1980,1980,5,12,4.213289992
5/13/1980,1980,5,13,9.722976904
5/14/1980,1980,5,14,8.102480754
5/15/1980,1980,5,15,0
5/16/1980,1980,5,16,0
5/17/1980,1980,5,17,0
5/18/1980,1980,5,18,0
5/19/1980,1980,5,19,0
5/20/1980,1980,5,20,0
5/21/1980,1980,5,21,0
5/22/1980,1980,5,22,0
