Date,Year,Month,Day,Flow
1980-01-01,1980,1,1,0
1980-01-02,1980,1,2,0
1980-01-03,1980,1,3,0
1980-01-04,1980,1,4,0
1980-01-05,1980,1,5,0
1980-01-06,1980,1,6,0
1980-01-07,1980,1,7,0
1980-01-08,1980,1,8,0
1980-01-09,1980,1,9,0
1980-01-10,1980,1,10,0
1980-01-11,1980,1,11,0
1980-01-12,1980,1,12,0
1980-01-13,1980,1,13,0
1980-01-14,1980,1,14,0
1980-01-15,1980,1,15,0
1980-01-16,1980,1,16,0
1980-01-17,1980,1,17,0
1980-01-18,1980,1,18,0
1980-01-19,1980,1,19,0
1980-01-20,1980,1,20,0
1980-01-21,1980,1,21,0
1980-01-22,1980,1,22,0
1980-01-23,1980,1,23,0
1980-01-24,1980,1,24,0
1980-01-25,1980,1,25,0
1980-01-26,1980,1,26,0
1980-01-27,1980,1,27,0
1980-01-28,1980,1,28,0
1980-01-29,1980,1,29,0
1980-01-30,1980,1,30,0
1980-01-31,1980,1,31,0
1980-02-01,1980,2,1,0
1980-02-02,1980,2,2,0
1980-02-03,1980,2,3,0
1980-02-04,1980,2,4,0
1980-02-05,1980,2,5,0
1980-02-06,1980,2,6,0
1980-02-07,1980,2,7,0
1980-02-08,1980,2,8,0
1980-02-09,1980,2,9,0
1980-02-10,1980,2,10,0
1980-02-11,1980,2,11,0
1980-02-12,1980,2,12,0
1980-02-13,1980,2,13,0
1980-02-14,1980,2,14,0
1980-02-15,1980,2,15,0
1980-02-16,1980,2,16,0
1980-02-17,1980,2,17,0
1980-02-18,1980,2,18,0
1980-02-19,1980,2,19,0
1980-02-20,1980,2,20,0
1980-02-21,1980,2,21,0
1980-02-22,1980,2,22,0
1980-02-23,1980,2,23,0
1980-02-24,1980,2,24,0
1980-02-25,1980,2,25,0
1980-02-26,1980,2,26,0
1980-02-27,1980,2,27,0
1980-02-28,1980,2,28,0
1980-02-29,1980,2,29,0
1980-03-01,1980,3,1,0
1980-03-02,1980,3,2,0
1980-03-03,1980,3,3,0
1980-03-04,1980,3,4,0
1980-03-05,1980,3,5,0
1980-03-06,1980,3,6,0
1980-03-07,1980,3,7,0
1980-03-08,1980,3,8,0
1980-03-09,1980,3,9,0
1980-03-10,1980,3,10,0
1980-03-11,1980,3,11,0
1980-03-12,1980,3,12,0
1980-03-13,1980,3,13,0
1980-03-14,1980,3,14,0
1980-03-15,1980,3,15,0.07
1980-03-16,1980,3,16,0.41
1980-03-17,1980,3,17,0.37
1980-03-18,1980,3,18,0.89
1980-03-19,1980,3,19,2.28
1980-03-20,1980,3,20,2.69
1980-03-21,1980,3,21,2.72
1980-03-22,1980,3,22,1.34
1980-03-23,1980,3,23,0.71
1980-03-24,1980,3,24,0.33
1980-03-25,1980,3,25,0.17
1980-03-26,1980,3,26,0.12
1980-03-27,1980,3,27,0.63
1980-03-28,1980,3,28,0.56
1980-03-29,1980,3,29,0.37
1980-03-30,1980,3,30,0.41
1980-03-31,1980,3,31,0.37
1980-04-01,1980,4,1,1.09
1980-04-02,1980,4,2,1.4
1980-04-03,1980,4,3,1.29
1980-04-04,1980,4,4,0.94
1980-04-05,1980,4,5,1.19
1980-04-06,1980,4,6,1.71
1980-04-07,1980,4,7,1.5
1980-04-08,1980,4,8,1.6
1980-04-09,1980,4,9,2.01
1980-04-10,1980,4,10,3.04
1980-04-11,1980,4,11,2.12
1980-04-12,1980,4,12,2.22
1980-04-13,1980,4,13,2.13
1980-04-14,1980,4,14,1.6
1980-04-15,1980,4,15,4.39
1980-04-16,1980,4,16,5.84
1980-04-17,1980,4,17,5.55
1980-04-18,1980,4,18,3.8
1980-04-19,1980,4,19,2.46
1980-04-20,1980,4,20,1.88
1980-04-21,1980,4,21,1.56
1980-04-22,1980,4,22,1.67
1980-04-23,1980,4,23,1.39
1980-04-24,1980,4,24,2.52
1980-04-25,1980,4,25,2.05
1980-04-26,1980,4,26,1.72
1980-04-27,1980,4,27,1.73
1980-04-28,1980,4,28,1.11
1980-04-29,1980,4,29,1.11
1980-04-30,1980,4,30,1.1
1980-05-01,1980,5,1,2.58
1980-05-02,1980,5,2,1.98
1980-05-03,1980,5,3,3.24
1980-05-04,1980,5,4,3.34
1980-05-05,1980,5,5,2.21
1980-05-06,1980,5,6,1.81
1980-05-07,1980,5,7,1.32
1980-05-08,1980,5,8,1.05
1980-05-09,1980,5,9,0.72
1980-05-10,1980,5,10,0.79
1980-05-11,1980,5,11,0.74
1980-05-12,1980,5,12,0.88
1980-05-13,1980,5,13,1.02
1980-05-14,1980,5,14,1.02
1980-05-15,1980,5,15,1.22
1980-05-16,1980,5,16,1.17
1980-05-17,1980,5,17,1.22
1980-05-18,1980,5,18,4.21
1980-05-19,1980,5,19,2.68
1980-05-20,1980,5,20,1.87
1980-05-21,1980,5,21,2.11
1980-05-22,1980,5,22,1.54
1980-05-23,1980,5,23,3.64
1980-05-24,1980,5,24,3.69
1980-05-25,1980,5,25,5.18
1980-05-26,1980,5,26,6.34
1980-05-27,1980,5,27,16.95
1980-05-28,1980,5,28,17.16
1980-05-29,1980,5,29,13.16
1980-05-30,1980,5,30,16.22
1980-05-31,1980,5,31,13.07
1980-06-01,1980,6,1,5.41
1980-06-02,1980,6,2,3.87
1980-06-03,1980,6,3,2.71
1980-06-04,1980,6,4,2.91
1980-06-05,1980,6,5,2.77
1980-06-06,1980,6,6,2.65
1980-06-07,1980,6,7,2.35
1980-06-08,1980,6,8,2.66
1980-06-09,1980,6,9,3.26
1980-06-10,1980,6,10,3.82
1980-06-11,1980,6,11,2.35
1980-06-12,1980,6,12,2.07
1980-06-13,1980,6,13,2.13
1980-06-14,1980,6,14,1.67
1980-06-15,1980,6,15,1.83
1980-06-16,1980,6,16,0.85
1980-06-17,1980,6,17,1.02
1980-06-18,1980,6,18,1.07
1980-06-19,1980,6,19,1.37
1980-06-20,1980,6,20,1.3
1980-06-21,1980,6,21,1.24
1980-06-22,1980,6,22,0.95
1980-06-23,1980,6,23,0.85
1980-06-24,1980,6,24,1.26
1980-06-25,1980,6,25,0.78
1980-06-26,1980,6,26,0.93
1980-06-27,1980,6,27,0.88
1980-06-28,1980,6,28,1.06
1980-06-29,1980,6,29,1.05
1980-06-30,1980,6,30,1.24
1980-07-01,1980,7,1,0.95
1980-07-02,1980,7,2,1.11
1980-07-03,1980,7,3,0.98
1980-07-04,1980,7,4,1.13
1980-07-05,1980,7,5,1.05
1980-07-06,1980,7,6,1.14
1980-07-07,1980,7,7,1.17
1980-07-08,1980,7,8,0.7
1980-07-09,1980,7,9,0.5
1980-07-10,1980,7,10,0.44
1980-07-11,1980,7,11,0.38
1980-07-12,1980,7,12,0.31
1980-07-13,1980,7,13,0.19
1980-07-14,1980,7,14,0.14
1980-07-15,1980,7,15,0.07
1980-07-16,1980,7,16,0.04
1980-07-17,1980,7,17,0.01
1980-07-18,1980,7,18,0
1980-07-19,1980,7,19,0
1980-07-20,1980,7,20,0
1980-07-21,1980,7,21,0.26
1980-07-22,1980,7,22,0.24
1980-07-23,1980,7,23,0.09
1980-07-24,1980,7,24,1.06
1980-07-25,1980,7,25,0.95
1980-07-26,1980,7,26,0.81
1980-07-27,1980,7,27,0.4
1980-07-28,1980,7,28,0.15
1980-07-29,1980,7,29,0.04
1980-07-30,1980,7,30,0
1980-07-31,1980,7,31,1.4
1980-08-01,1980,8,1,0.02
1980-08-02,1980,8,2,0.02
1980-08-03,1980,8,3,0
1980-08-04,1980,8,4,0
1980-08-05,1980,8,5,0
1980-08-06,1980,8,6,0
1980-08-07,1980,8,7,0
1980-08-08,1980,8,8,0
1980-08-09,1980,8,9,0
1980-08-10,1980,8,10,0
1980-08-11,1980,8,11,0
1980-08-12,1980,8,12,0
1980-08-13,1980,8,13,0
1980-08-14,1980,8,14,0
1980-08-15,1980,8,15,0
1980-08-16,1980,8,16,0
1980-08-17,1980,8,17,0
1980-08-18,1980,8,18,0
1980-08-19,1980,8,19,0
1980-08-20,1980,8,20,0
1980-08-21,1980,8,21,0
1980-08-22,1980,8,22,0
1980-08-23,1980,8,23,0
1980-08-24,1980,8,24,0
1980-08-25,1980,8,25,0
1980-08-26,1980,8,26,0
1980-08-27,1980,8,27,0
1980-08-28,1980,8,28,0
1980-08-29,1980,8,29,0
1980-08-30,1980,8,30,0
1980-08-31,1980,8,31,0
1980-09-01,1980,9,1,0.55
1980-09-02,1980,9,2,0.42
1980-09-03,1980,9,3,0.24
1980-09-04,1980,9,4,0.12
1980-09-05,1980,9,5,0.05
1980-09-06,1980,9,6,0
1980-09-07,1980,9,7,0
1980-09-08,1980,9,8,0
1980-09-09,1980,9,9,0
1980-09-10,1980,9,10,0
1980-09-11,1980,9,11,0
1980-09-12,1980,9,12,0
1980-09-13,1980,9,13,0
1980-09-14,1980,9,14,0
1980-09-15,1980,9,15,0
1980-09-16,1980,9,16,0
1980-09-17,1980,9,17,0
1980-09-18,1980,9,18,0
1980-09-19,1980,9,19,0
1980-09-20,1980,9,20,0
1980-09-21,1980,9,21,0
1980-09-22,1980,9,22,0
1980-09-23,1980,9,23,0
1980-09-24,1980,9,24,0
1980-09-25,1980,9,25,0
1980-09-26,1980,9,26,0
1980-09-27,1980,9,27,0
1980-09-28,1980,9,28,0
1980-09-29,1980,9,29,0
1980-09-30,1980,9,30,0
1980-10-01,1980,10,1,0
1980-10-02,1980,10,2,0
1980-10-03,1980,10,3,0
1980-10-04,1980,10,4,0
1980-10-05,1980,10,5,0
1980-10-06,1980,10,6,0
1980-10-07,1980,10,7,0
1980-10-08,1980,10,8,0
1980-10-09,1980,10,9,0
1980-10-10,1980,10,10,0
1980-10-11,1980,10,11,0.38
1980-10-12,1980,10,12,0.41
1980-10-13,1980,10,13,0.56
1980-10-14,1980,10,14,0.74
1980-10-15,1980,10,15,0.66
1980-10-16,1980,10,16,0.73
1980-10-17,1980,10,17,0.74
1980-10-18,1980,10,18,0.79
1980-10-19,1980,10,19,1.17
1980-10-20,1980,10,20,1.27
1980-10-21,1980,10,21,1.27
1980-10-22,1980,10,22,1.8
1980-10-23,1980,10,23,1.8
1980-10-24,1980,10,24,1.62
1980-10-25,1980,10,25,1.59
1980-10-26,1980,10,26,1.64
1980-10-27,1980,10,27,1.8
1980-10-28,1980,10,28,1.59
1980-10-29,1980,10,29,2.14
1980-10-30,1980,10,30,2.14
1980-10-31,1980,10,31,2.14
1980-11-01,1980,11,1,0.02
1980-11-02,1980,11,2,0.02
1980-11-03,1980,11,3,0.02
1980-11-04,1980,11,4,0.01
1980-11-05,1980,11,5,0
1980-11-06,1980,11,6,0
1980-11-07,1980,11,7,0
1980-11-08,1980,11,8,0
1980-11-09,1980,11,9,0
1980-11-10,1980,11,10,0
1980-11-11,1980,11,11,0
1980-11-12,1980,11,12,0
1980-11-13,1980,11,13,0
1980-11-14,1980,11,14,0
1980-11-15,1980,11,15,0
1980-11-16,1980,11,16,0
1980-11-17,1980,11,17,0
1980-11-18,1980,11,18,0
1980-11-19,1980,11,19,0
1980-11-20,1980,11,20,0
1980-11-21,1980,11,21,0
1980-11-22,1980,11,22,0
1980-11-23,1980,11,23,0
1980-11-24,1980,11,24,0
1980-11-25,1980,11,25,0
1980-11-26,1980,11,26,0
1980-11-27,1980,11,27,0
1980-11-28,1980,11,28,0
1980-11-29,1980,11,29,0
1980-11-30,1980,11,30,0
1980-12-01,1980,12,1,0
1980-12-02,1980,12,2,0
1980-12-03,1980,12,3,0
1980-12-04,1980,12,4,0
1980-12-05,1980,12,5,0
1980-12-06,1980,12,6,0
1980-12-07,1980,12,7,0
1980-12-08,1980,12,8,0
1980-12-09,1980,12,9,0
1980-12-10,1980,12,10,0
1980-12-11,1980,12,11,0
1980-12-12,1980,12,12,0
1980-12-13,1980,12,13,0
1980-12-14,1980,12,14,0
1980-12-15,1980,12,15,0
1980-12-16,1980,12,16,0
1980-12-17,1980,12,17,0
1980-12-18,1980,12,18,0
1980-12-19,1980,12,19,0
1980-12-20,1980,12,20,0
1980-12-21,1980,12,21,0
1980-12-22,1980,12,22,0
1980-12-23,1980,12,23,0
1980-12-24,1980,12,24,0
1980-12-25,1980,12,25,0
1980-12-26,1980,12,26,0
1980-12-27,1980,12,27,0
1980-12-28,1980,12,28,0
1980-12-29,1980,12,29,0
1980-12-30,1980,12,30,0
1980-12-31,1980,12,31,0
1981-01-01,1981,1,1,0
1981-01-02,1981,1,2,0
1981-01-03,1981,1,3,0
1981-01-04,1981,1,4,0
1981-01-05,1981,1,5,0
1981-01-06,1981,1,6,0
1981-01-07,1981,1,7,0
1981-01-08,1981,1,8,0
1981-01-09,1981,1,9,0
1981-01-10,1981,1,10,0
1981-01-11,1981,1,11,0
1981-01-12,1981,1,12,0
1981-01-13,1981,1,13,0
1981-01-14,1981,1,14,0
1981-01-15,1981,1,15,0
1981-01-16,1981,1,16,0
1981-01-17,1981,1,17,0
1981-01-18,1981,1,18,0
1981-01-19,1981,1,19,0
1981-01-20,1981,1,20,0
1981-01-21,1981,1,21,0
1981-01-22,1981,1,22,0
1981-01-23,1981,1,23,0
1981-01-24,1981,1,24,0
1981-01-25,1981,1,25,0
1981-01-26,1981,1,26,0
1981-01-27,1981,1,27,0
1981-01-28,1981,1,28,0
1981-01-29,1981,1,29,0
1981-01-30,1981,1,30,0
1981-01-31,1981,1,31,0
1981-02-01,1981,2,1,0
1981-02-02,1981,2,2,0
1981-02-03,1981,2,3,0
1981-02-04,1981,2,4,0
1981-02-05,1981,2,5,0
1981-02-06,1981,2,6,0
1981-02-07,1981,2,7,0
1981-02-08,1981,2,8,0
1981-02-09,1981,2,9,0
1981-02-10,1981,2,10,0
1981-02-11,1981,2,11,0
1981-02-12,1981,2,12,0
1981-02-13,1981,2,13,0
1981-02-14,1981,2,14,0
1981-02-15,1981,2,15,0
1981-02-16,1981,2,16,0
1981-02-17,1981,2,17,12.85
1981-02-18,1981,2,18,11.99
1981-02-19,1981,2,19,6.16
1981-02-20,1981,2,20,4.53
1981-02-21,1981,2,21,2.73
1981-02-22,1981,2,22,1.53
1981-02-23,1981,2,23,1.27
1981-02-24,1981,2,24,1.36
1981-02-25,1981,2,25,1.79
1981-02-26,1981,2,26,0.83
1981-02-27,1981,2,27,0.27
1981-02-28,1981,2,28,0.18
1981-03-01,1981,3,1,3.09
1981-03-02,1981,3,2,2.42
1981-03-03,1981,3,3,2.15
1981-03-04,1981,3,4,3.23
1981-03-05,1981,3,5,3.5
1981-03-06,1981,3,6,3.23
1981-03-07,1981,3,7,2.96
1981-03-08,1981,3,8,2.69
1981-03-09,1981,3,9,2.83
1981-03-10,1981,3,10,3.09
1981-03-11,1981,3,11,3.23
1981-03-12,1981,3,12,3.51
1981-03-13,1981,3,13,2.97
1981-03-14,1981,3,14,1.75
1981-03-15,1981,3,15,1.16
1981-03-16,1981,3,16,1.09
1981-03-17,1981,3,17,1.49
1981-03-18,1981,3,18,1.77
1981-03-19,1981,3,19,0.98
1981-03-20,1981,3,20,1.35
1981-03-21,1981,3,21,0.91
1981-03-22,1981,3,22,1.36
1981-03-23,1981,3,23,1.51
1981-03-24,1981,3,24,0.99
1981-03-25,1981,3,25,0.91
1981-03-26,1981,3,26,1.23
1981-03-27,1981,3,27,1.36
1981-03-28,1981,3,28,1.05
1981-03-29,1981,3,29,0.79
1981-03-30,1981,3,30,1
1981-03-31,1981,3,31,1.11
1981-04-01,1981,4,1,1.24
1981-04-02,1981,4,2,1.69
1981-04-03,1981,4,3,1.3
1981-04-04,1981,4,4,0.97
1981-04-05,1981,4,5,0.73
1981-04-06,1981,4,6,0.5
1981-04-07,1981,4,7,0.43
1981-04-08,1981,4,8,0.69
1981-04-09,1981,4,9,0.81
1981-04-10,1981,4,10,0.74
1981-04-11,1981,4,11,0.62
1981-04-12,1981,4,12,0.67
1981-04-13,1981,4,13,0.61
1981-04-14,1981,4,14,0.59
1981-04-15,1981,4,15,0.53
1981-04-16,1981,4,16,0.43
1981-04-17,1981,4,17,0.53
1981-04-18,1981,4,18,1.55
1981-04-19,1981,4,19,1.6
1981-04-20,1981,4,20,1.24
1981-04-21,1981,4,21,0.9
1981-04-22,1981,4,22,0.75
1981-04-23,1981,4,23,0.8
1981-04-24,1981,4,24,1.03
1981-04-25,1981,4,25,0.78
1981-04-26,1981,4,26,0.54
1981-04-27,1981,4,27,0.48
1981-04-28,1981,4,28,0.67
1981-04-29,1981,4,29,0.73
1981-04-30,1981,4,30,0.73
1981-05-01,1981,5,1,2.38
1981-05-02,1981,5,2,5.56
1981-05-03,1981,5,3,4.28
1981-05-04,1981,5,4,6.87
1981-05-05,1981,5,5,10.09
1981-05-06,1981,5,6,8.52
1981-05-07,1981,5,7,14.53
1981-05-08,1981,5,8,15.1
1981-05-09,1981,5,9,15.66
1981-05-10,1981,5,10,12.16
1981-05-11,1981,5,11,13.13
1981-05-12,1981,5,12,9.06
1981-05-13,1981,5,13,7.62
1981-05-14,1981,5,14,7.84
1981-05-15,1981,5,15,9.61
1981-05-16,1981,5,16,10.47
1981-05-17,1981,5,17,10.03
1981-05-18,1981,5,18,15.49
1981-05-19,1981,5,19,37.34
1981-05-20,1981,5,20,31.06
1981-05-21,1981,5,21,28.73
1981-05-22,1981,5,22,31.64
1981-05-23,1981,5,23,30.66
1981-05-24,1981,5,24,25.61
1981-05-25,1981,5,25,21.56
1981-05-26,1981,5,26,19.73
1981-05-27,1981,5,27,16.9
1981-05-28,1981,5,28,9.8
1981-05-29,1981,5,29,6.29
1981-05-30,1981,5,30,4.47
1981-05-31,1981,5,31,3.31
1981-06-01,1981,6,1,1.77
1981-06-02,1981,6,2,1.49
1981-06-03,1981,6,3,7.23
1981-06-04,1981,6,4,8.03
1981-06-05,1981,6,5,6.65
1981-06-06,1981,6,6,4.22
1981-06-07,1981,6,7,3.41
1981-06-08,1981,6,8,3.1
1981-06-09,1981,6,9,2.79
1981-06-10,1981,6,10,3.04
1981-06-11,1981,6,11,2.63
1981-06-12,1981,6,12,2.15
1981-06-13,1981,6,13,2.21
1981-06-14,1981,6,14,2.49
1981-06-15,1981,6,15,3.1
1981-06-16,1981,6,16,2.63
1981-06-17,1981,6,17,2.4
1981-06-18,1981,6,18,2.56
1981-06-19,1981,6,19,3.23
1981-06-20,1981,6,20,6.97
1981-06-21,1981,6,21,4.92
1981-06-22,1981,6,22,3.8
1981-06-23,1981,6,23,2.86
1981-06-24,1981,6,24,2.7
1981-06-25,1981,6,25,2.06
1981-06-26,1981,6,26,1.72
1981-06-27,1981,6,27,1.98
1981-06-28,1981,6,28,1.72
1981-06-29,1981,6,29,1.95
1981-06-30,1981,6,30,1.81
1981-07-01,1981,7,1,0.65
1981-07-02,1981,7,2,0.61
1981-07-03,1981,7,3,0.85
1981-07-04,1981,7,4,1.11
1981-07-05,1981,7,5,1.12
1981-07-06,1981,7,6,0.93
1981-07-07,1981,7,7,0.89
1981-07-08,1981,7,8,0.44
1981-07-09,1981,7,9,0.25
1981-07-10,1981,7,10,0.13
1981-07-11,1981,7,11,0.05
1981-07-12,1981,7,12,0.08
1981-07-13,1981,7,13,0.34
1981-07-14,1981,7,14,0.57
1981-07-15,1981,7,15,0.79
1981-07-16,1981,7,16,1.48
1981-07-17,1981,7,17,1.19
1981-07-18,1981,7,18,2.26
1981-07-19,1981,7,19,1.68
1981-07-20,1981,7,20,2.17
1981-07-21,1981,7,21,2.27
1981-07-22,1981,7,22,1.79
1981-07-23,1981,7,23,1.21
1981-07-24,1981,7,24,0.92
1981-07-25,1981,7,25,0.82
1981-07-26,1981,7,26,0.64
1981-07-27,1981,7,27,0.93
1981-07-28,1981,7,28,0.93
1981-07-29,1981,7,29,0.81
1981-07-30,1981,7,30,0.62
1981-07-31,1981,7,31,0.61
1981-08-01,1981,8,1,0.14
1981-08-02,1981,8,2,0.05
1981-08-03,1981,8,3,0.05
1981-08-04,1981,8,4,0.06
1981-08-05,1981,8,5,0.04
1981-08-06,1981,8,6,0.04
1981-08-07,1981,8,7,0.03
1981-08-08,1981,8,8,0.02
1981-08-09,1981,8,9,0
1981-08-10,1981,8,10,0
1981-08-11,1981,8,11,0
1981-08-12,1981,8,12,0
1981-08-13,1981,8,13,0
1981-08-14,1981,8,14,0
1981-08-15,1981,8,15,0
1981-08-16,1981,8,16,0
1981-08-17,1981,8,17,0
1981-08-18,1981,8,18,0
1981-08-19,1981,8,19,0
1981-08-20,1981,8,20,0
1981-08-21,1981,8,21,0
1981-08-22,1981,8,22,0
1981-08-23,1981,8,23,0
1981-08-24,1981,8,24,0
1981-08-25,1981,8,25,0
1981-08-26,1981,8,26,0
1981-08-27,1981,8,27,0
1981-08-28,1981,8,28,0
1981-08-29,1981,8,29,0
1981-08-30,1981,8,30,0
1981-08-31,1981,8,31,0
1981-09-01,1981,9,1,0
1981-09-02,1981,9,2,0
1981-09-03,1981,9,3,0
1981-09-04,1981,9,4,0
1981-09-05,1981,9,5,0
1981-09-06,1981,9,6,0
1981-09-07,1981,9,7,0
1981-09-08,1981,9,8,0
1981-09-09,1981,9,9,0
1981-09-10,1981,9,10,0
1981-09-11,1981,9,11,0
1981-09-12,1981,9,12,0
1981-09-13,1981,9,13,0
1981-09-14,1981,9,14,0
1981-09-15,1981,9,15,0
1981-09-16,1981,9,16,0
1981-09-17,1981,9,17,0
1981-09-18,1981,9,18,0
1981-09-19,1981,9,19,0
1981-09-20,1981,9,20,0
1981-09-21,1981,9,21,0
1981-09-22,1981,9,22,0
1981-09-23,1981,9,23,0
1981-09-24,1981,9,24,0
1981-09-25,1981,9,25,0
1981-09-26,1981,9,26,0
1981-09-27,1981,9,27,0
1981-09-28,1981,9,28,0
1981-09-29,1981,9,29,0
1981-09-30,1981,9,30,0
1981-10-01,1981,10,1,0
1981-10-02,1981,10,2,0
1981-10-03,1981,10,3,0
1981-10-04,1981,10,4,0
1981-10-05,1981,10,5,0
1981-10-06,1981,10,6,0
1981-10-07,1981,10,7,0
1981-10-08,1981,10,8,0
1981-10-09,1981,10,9,0
1981-10-10,1981,10,10,0
1981-10-11,1981,10,11,0
1981-10-12,1981,10,12,0
1981-10-13,1981,10,13,0
1981-10-14,1981,10,14,0
1981-10-15,1981,10,15,0
1981-10-16,1981,10,16,0
1981-10-17,1981,10,17,0
1981-10-18,1981,10,18,0
1981-10-19,1981,10,19,0
1981-10-20,1981,10,20,0
1981-10-21,1981,10,21,0
1981-10-22,1981,10,22,0
1981-10-23,1981,10,23,0
1981-10-24,1981,10,24,0
1981-10-25,1981,10,25,0
1981-10-26,1981,10,26,0
1981-10-27,1981,10,27,0
1981-10-28,1981,10,28,0
1981-10-29,1981,10,29,0
1981-10-30,1981,10,30,0
1981-10-31,1981,10,31,0
1981-11-01,1981,11,1,0.51
1981-11-02,1981,11,2,0.55
1981-11-03,1981,11,3,0.51
1981-11-04,1981,11,4,0.42
1981-11-05,1981,11,5,0.37
1981-11-06,1981,11,6,0.37
1981-11-07,1981,11,7,0.42
1981-11-08,1981,11,8,0.37
1981-11-09,1981,11,9,0.38
1981-11-10,1981,11,10,0.43
1981-11-11,1981,11,11,0.52
1981-11-12,1981,11,12,0.64
1981-11-13,1981,11,13,0.64
1981-11-14,1981,11,14,0.72
1981-11-15,1981,11,15,0.72
1981-11-16,1981,11,16,0.64
1981-11-17,1981,11,17,0.72
1981-11-18,1981,11,18,0.72
1981-11-19,1981,11,19,0.64
1981-11-20,1981,11,20,0.39
1981-11-21,1981,11,21,0.56
1981-11-22,1981,11,22,0.85
1981-11-23,1981,11,23,0.89
1981-11-24,1981,11,24,0.76
1981-11-25,1981,11,25,0.72
1981-11-26,1981,11,26,0.52
1981-11-27,1981,11,27,0.47
1981-11-28,1981,11,28,0.39
1981-11-29,1981,11,29,0.31
1981-11-30,1981,11,30,0.64
1981-12-01,1981,12,1,0.52
1981-12-02,1981,12,2,0.86
1981-12-03,1981,12,3,0.57
1981-12-04,1981,12,4,0.61
1981-12-05,1981,12,5,0.73
1981-12-06,1981,12,6,0.98
1981-12-07,1981,12,7,0.82
1981-12-08,1981,12,8,0.73
1981-12-09,1981,12,9,0.73
1981-12-10,1981,12,10,0.77
1981-12-11,1981,12,11,0.65
1981-12-12,1981,12,12,0.57
1981-12-13,1981,12,13,0.31
1981-12-14,1981,12,14,0.15
1981-12-15,1981,12,15,0.06
1981-12-16,1981,12,16,0.11
1981-12-17,1981,12,17,0.15
1981-12-18,1981,12,18,0.23
1981-12-19,1981,12,19,0.4
1981-12-20,1981,12,20,0.61
1981-12-21,1981,12,21,0.48
1981-12-22,1981,12,22,0.37
1981-12-23,1981,12,23,0.24
1981-12-24,1981,12,24,0.37
1981-12-25,1981,12,25,0.41
1981-12-26,1981,12,26,0.32
1981-12-27,1981,12,27,0.24
1981-12-28,1981,12,28,0.16
1981-12-29,1981,12,29,0.12
1981-12-30,1981,12,30,0.07
1981-12-31,1981,12,31,0.03
1982-01-01,1982,1,1,0
1982-01-02,1982,1,2,0
1982-01-03,1982,1,3,0
1982-01-04,1982,1,4,0
1982-01-05,1982,1,5,0
1982-01-06,1982,1,6,0
1982-01-07,1982,1,7,0
1982-01-08,1982,1,8,0
1982-01-09,1982,1,9,0
1982-01-10,1982,1,10,0
1982-01-11,1982,1,11,0
1982-01-12,1982,1,12,0
1982-01-13,1982,1,13,0
1982-01-14,1982,1,14,0
1982-01-15,1982,1,15,0
1982-01-16,1982,1,16,0
1982-01-17,1982,1,17,0
1982-01-18,1982,1,18,0
1982-01-19,1982,1,19,0
1982-01-20,1982,1,20,0
1982-01-21,1982,1,21,0
1982-01-22,1982,1,22,0
1982-01-23,1982,1,23,0
1982-01-24,1982,1,24,0
1982-01-25,1982,1,25,0.1
1982-01-26,1982,1,26,0.27
1982-01-27,1982,1,27,0.05
1982-01-28,1982,1,28,0
1982-01-29,1982,1,29,0
1982-01-30,1982,1,30,0
1982-01-31,1982,1,31,0
1982-02-01,1982,2,1,0
1982-02-02,1982,2,2,0
1982-02-03,1982,2,3,0
1982-02-04,1982,2,4,0
1982-02-05,1982,2,5,0
1982-02-06,1982,2,6,0
1982-02-07,1982,2,7,0
1982-02-08,1982,2,8,0
1982-02-09,1982,2,9,0
1982-02-10,1982,2,10,0
1982-02-11,1982,2,11,0
1982-02-12,1982,2,12,0
1982-02-13,1982,2,13,0
1982-02-14,1982,2,14,0.64
1982-02-15,1982,2,15,1.61
1982-02-16,1982,2,16,3.23
1982-02-17,1982,2,17,6.47
1982-02-18,1982,2,18,48.6
1982-02-19,1982,2,19,145.83
1982-02-20,1982,2,20,162.04
1982-02-21,1982,2,21,81.01
1982-02-22,1982,2,22,32.4
1982-02-23,1982,2,23,16.19
1982-02-24,1982,2,24,8.09
1982-02-25,1982,2,25,4.85
1982-02-26,1982,2,26,3.56
1982-02-27,1982,2,27,3.23
1982-02-28,1982,2,28,2.91
1982-03-01,1982,3,1,0
1982-03-02,1982,3,2,0
1982-03-03,1982,3,3,0
1982-03-04,1982,3,4,0
1982-03-05,1982,3,5,0
1982-03-06,1982,3,6,0
1982-03-07,1982,3,7,0
1982-03-08,1982,3,8,0
1982-03-09,1982,3,9,0
1982-03-10,1982,3,10,0
1982-03-11,1982,3,11,0
1982-03-12,1982,3,12,1.05
1982-03-13,1982,3,13,2.66
1982-03-14,1982,3,14,33.28
1982-03-15,1982,3,15,39.94
1982-03-16,1982,3,16,21.87
1982-03-17,1982,3,17,6.74
1982-03-18,1982,3,18,3.32
1982-03-19,1982,3,19,4.65
