Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,139.7853333
1/2/1980,1980,1,2,131.5626667
1/3/1980,1980,1,3,123.34
1/4/1980,1980,1,4,98.672
1/5/1980,1980,1,5,65.78133333
1/6/1980,1980,1,6,39.4688
1/7/1980,1980,1,7,16.44533333
1/8/1980,1980,1,8,12.334
1/9/1980,1980,1,9,8.222666667
1/10/1980,1980,1,10,4.111333333
1/11/1980,1980,1,11,0
1/12/1980,1980,1,12,0
1/13/1980,1980,1,13,0
1/14/1980,1980,1,14,0
1/15/1980,1980,1,15,0
1/16/1980,1980,1,16,0
1/17/1980,1980,1,17,0
1/18/1980,1980,1,18,0
1/19/1980,1980,1,19,0
1/20/1980,1980,1,20,0
1/21/1980,1980,1,21,0
1/22/1980,1980,1,22,0
1/23/1980,1980,1,23,0
1/24/1980,1980,1,24,0
1/25/1980,1980,1,25,0
1/26/1980,1980,1,26,0
1/27/1980,1980,1,27,0
1/28/1980,1980,1,28,0
1/29/1980,1980,1,29,0
1/30/1980,1980,1,30,0
1/31/1980,1980,1,31,0
2/1/1980,1980,2,1,0
2/2/1980,1980,2,2,0
2/3/1980,1980,2,3,0
2/4/1980,1980,2,4,0
2/5/1980,1980,2,5,0
2/6/1980,1980,2,6,0
2/7/1980,1980,2,7,0
2/8/1980,1980,2,8,0
2/9/1980,1980,2,9,0
2/10/1980,1980,2,10,0
2/11/1980,1980,2,11,0
2/12/1980,1980,2,12,0
2/13/1980,1980,2,13,0
2/14/1980,1980,2,14,0
2/15/1980,1980,2,15,0
2/16/1980,1980,2,16,0
2/17/1980,1980,2,17,0
2/18/1980,1980,2,18,0
2/19/1980,1980,2,19,0
2/20/1980,1980,2,20,0
2/21/1980,1980,2,21,0
2/22/1980,1980,2,22,0
2/23/1980,1980,2,23,0
2/24/1980,1980,2,24,0
2/25/1980,1980,2,25,0
2/26/1980,1980,2,26,0
2/27/1980,1980,2,27,0
2/28/1980,1980,2,28,0
2/29/1980,1980,2,29,0
3/1/1980,1980,3,1,0
3/2/1980,1980,3,2,0
3/3/1980,1980,3,3,0
3/4/1980,1980,3,4,0
3/5/1980,1980,3,5,0
3/6/1980,1980,3,6,0
3/7/1980,1980,3,7,0
3/8/1980,1980,3,8,0
3/9/1980,1980,3,9,0
3/10/1980,1980,3,10,0
3/11/1980,1980,3,11,2.04129759
3/12/1980,1980,3,12,2.068882692
3/13/1980,1980,3,13,2.068882692
3/14/1980,1980,3,14,2.068882692
3/15/1980,1980,3,15,2.206808205
3/16/1980,1980,3,16,2.427489026
3/17/1980,1980,3,17,2.427489026
3/18/1980,1980,3,18,3.310212308
3/19/1980,1980,3,19,6.620424615
3/20/1980,1980,3,20,8.275530769
3/21/1980,1980,3,21,70.35875247
3/22/1980,1980,3,22,70.35875247
3/23/1980,1980,3,23,156.1084821
3/24/1980,1980,3,24,323.2105192
3/25/1980,1980,3,25,316.6143861
3/26/1980,1980,3,26,178.0955922
3/27/1980,1980,3,27,136.3200829
3/28/1980,1980,3,28,158.3071931
3/29/1980,1980,3,29,241.8582116
3/30/1980,1980,3,30,373.7808725
3/31/1980,1980,3,31,681.6004146
4/1/1980,1980,4,1,518.6516476
4/2/1980,1980,4,2,480.9937722
4/3/1980,1980,4,3,520.3633692
4/4/1980,1980,4,4,388.5608053
4/5/1980,1980,4,5,220.8120876
4/6/1980,1980,4,6,265.3168494
4/7/1980,1980,4,7,337.209157
4/8/1980,1980,4,8,414.2366294
4/9/1980,1980,4,9,402.2545782
4/10/1980,1980,4,10,213.9652012
4/11/1980,1980,4,11,738.8538129
4/12/1980,1980,4,12,589.0861481
4/13/1980,1980,4,13,439.3184833
4/14/1980,1980,4,14,329.4888625
4/15/1980,1980,4,15,219.6592417
4/16/1980,1980,4,16,159.7521758
4/17/1980,1980,4,17,139.7831538
4/18/1980,1980,4,18,139.7831538
4/19/1980,1980,4,19,169.7366867
4/20/1980,1980,4,20,129.7986428
4/21/1980,1980,4,21,72.3728397
4/22/1980,1980,4,22,59.14339589
4/23/1980,1980,4,23,45.13574949
4/24/1980,1980,4,24,178.9865928
4/25/1980,1980,4,25,163.4225413
4/26/1980,1980,4,26,140.0764639
4/27/1980,1980,4,27,108.9483608
4/28/1980,1980,4,28,93.3843093
4/29/1980,1980,4,29,77.82025775
4/30/1980,1980,4,30,65.36901651
5/1/1980,1980,5,1,17.13677318
5/2/1980,1980,5,2,21.89698796
5/3/1980,1980,5,3,19.04085909
5/4/1980,1980,5,4,17.13677318
