Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,0
1/2/1980,1980,1,2,0
1/3/1980,1980,1,3,0
1/4/1980,1980,1,4,0
1/5/1980,1980,1,5,0
1/6/1980,1980,1,6,0
1/7/1980,1980,1,7,0
1/8/1980,1980,1,8,0
1/9/1980,1980,1,9,0
1/10/1980,1980,1,10,0
1/11/1980,1980,1,11,0
1/12/1980,1980,1,12,0
1/13/1980,1980,1,13,0
1/14/1980,1980,1,14,0
1/15/1980,1980,1,15,0
1/16/1980,1980,1,16,0
1/17/1980,1980,1,17,0
1/18/1980,1980,1,18,0
1/19/1980,1980,1,19,0
1/20/1980,1980,1,20,0
1/21/1980,1980,1,21,0
1/22/1980,1980,1,22,0
1/23/1980,1980,1,23,0
1/24/1980,1980,1,24,0
1/25/1980,1980,1,25,0
1/26/1980,1980,1,26,0
1/27/1980,1980,1,27,0
1/28/1980,1980,1,28,0
1/29/1980,1980,1,29,0
1/30/1980,1980,1,30,0
1/31/1980,1980,1,31,0
2/1/1980,1980,2,1,0
2/2/1980,1980,2,2,0
2/3/1980,1980,2,3,0
2/4/1980,1980,2,4,0
2/5/1980,1980,2,5,0
2/6/1980,1980,2,6,0
2/7/1980,1980,2,7,0
2/8/1980,1980,2,8,0
2/9/1980,1980,2,9,0
2/10/1980,1980,2,10,0
2/11/1980,1980,2,11,0
2/12/1980,1980,2,12,0
2/13/1980,1980,2,13,0
2/14/1980,1980,2,14,0
2/15/1980,1980,2,15,0
2/16/1980,1980,2,16,0
2/17/1980,1980,2,17,0
2/18/1980,1980,2,18,0
2/19/1980,1980,2,19,0
2/20/1980,1980,2,20,0
2/21/1980,1980,2,21,0
2/22/1980,1980,2,22,0
2/23/1980,1980,2,23,0
2/24/1980,1980,2,24,0
2/25/1980,1980,2,25,0
2/26/1980,1980,2,26,0
2/27/1980,1980,2,27,0
2/28/1980,1980,2,28,0
2/29/1980,1980,2,29,0
3/1/1980,1980,3,1,0
3/2/1980,1980,3,2,0
3/3/1980,1980,3,3,0
3/4/1980,1980,3,4,0
3/5/1980,1980,3,5,0
3/6/1980,1980,3,6,0
3/7/1980,1980,3,7,0
3/8/1980,1980,3,8,0
3/9/1980,1980,3,9,0
3/10/1980,1980,3,10,0
3/11/1980,1980,3,11,0
3/12/1980,1980,3,12,0
3/13/1980,1980,3,13,0
3/14/1980,1980,3,14,0
3/15/1980,1980,3,15,0
3/16/1980,1980,3,16,0
3/17/1980,1980,3,17,0
3/18/1980,1980,3,18,0.556915638
3/19/1980,1980,3,19,1.172453975
3/20/1980,1980,3,20,0.723013285
3/21/1980,1980,3,21,5.302220957
3/22/1980,1980,3,22,4.558049595
3/23/1980,1980,3,23,3.25574971
3/24/1980,1980,3,24,3.627835392
3/25/1980,1980,3,25,1.023235623
3/26/1980,1980,3,26,0.651149942
3/27/1980,1980,3,27,1.302299884
3/28/1980,1980,3,28,2.325535507
3/29/1980,1980,3,29,1.953449826
3/30/1980,1980,3,30,1.674385565
3/31/1980,1980,3,31,1.302299884
4/1/1980,1980,4,1,3.684385682
4/2/1980,1980,4,2,5.731266616
4/3/1980,1980,4,3,13.71410226
4/4/1980,1980,4,4,18.8313046
4/5/1980,1980,4,5,16.57973557
4/6/1980,1980,4,6,16.57973557
4/7/1980,1980,4,7,13.10003798
4/8/1980,1980,4,8,11.66722133
4/9/1980,1980,4,9,11.66722133
4/10/1980,1980,4,10,18.01255222
4/11/1980,1980,4,11,24.99461803
4/12/1980,1980,4,12,28.56527774
4/13/1980,1980,4,13,33.92126732
4/14/1980,1980,4,14,28.56527774
4/15/1980,1980,4,15,28.56527774
4/16/1980,1980,4,16,23.20928817
4/17/1980,1980,4,17,21.42395831
4/18/1980,1980,4,18,17.85329859
4/19/1980,1980,4,19,15.1753038
4/20/1980,1980,4,20,16.4250347
4/21/1980,1980,4,21,35.03100658
4/22/1980,1980,4,22,29.26119373
4/23/1980,1980,4,23,27.61267578
4/24/1980,1980,4,24,26.37628731
4/25/1980,1980,4,25,24.72776935
4/26/1980,1980,4,26,17.30943855
4/27/1980,1980,4,27,13.18814365
4/28/1980,1980,4,28,11.5396257
4/29/1980,1980,4,29,7.418330806
4/30/1980,1980,4,30,5.769812849
5/1/1980,1980,5,1,0
5/2/1980,1980,5,2,0
5/3/1980,1980,5,3,0
5/4/1980,1980,5,4,0
5/5/1980,1980,5,5,0
5/6/1980,1980,5,6,0
5/7/1980,1980,5,7,0
5/8/1980,1980,5,8,0
5/9/1980,1980,5,9,0
5/10/1980,1980,5,10,0
5/11/1980,1980,5,11,0.038880884
5/12/1980,1980,5,12,2.818864104
5/13/1980,1980,5,13,7.095761366
5/14/1980,1980,5,14,9.720221049
5/15/1980,1980,5,15,15.55235368
5/16/1980,1980,5,16,12.63628736
5/17/1980,1980,5,17,9.720221049
5/18/1980,1980,5,18,9.720221049
5/19/1980,1980,5,19,7.192963576
5/20/1980,1980,5,20,8.067783471
5/21/1980,1980,5,21,15.83040765
5/22/1980,1980,5,22,14.69966424
5/23/1980,1980,5,23,14.69966424
