Date,Year,Month,Day,Flow
1959-01-01,1959,1,1,37
1959-01-02,1959,1,2,42
1959-01-03,1959,1,3,49
1959-01-04,1959,1,4,43
1959-01-05,1959,1,5,43
1959-01-06,1959,1,6,34
1959-01-07,1959,1,7,23
1959-01-08,1959,1,8,21
1959-01-09,1959,1,9,32
1959-01-10,1959,1,10,40
1959-01-11,1959,1,11,21
1959-01-12,1959,1,12,27
1959-01-13,1959,1,13,20
1959-01-14,1959,1,14,42
1959-01-15,1959,1,15,64
1959-01-16,1959,1,16,34
1959-01-17,1959,1,17,32
1959-01-18,1959,1,18,42
1959-01-19,1959,1,19,62
1959-01-20,1959,1,20,53
1959-01-21,1959,1,21,45
1959-01-22,1959,1,22,64
1959-01-23,1959,1,23,38
1959-01-24,1959,1,24,55
1959-01-25,1959,1,25,42
1959-01-26,1959,1,26,35
1959-01-27,1959,1,27,35
1959-01-28,1959,1,28,29
1959-01-29,1959,1,29,31
1959-01-30,1959,1,30,31
1959-01-31,1959,1,31,34
1959-02-01,1959,2,1,37
1959-02-02,1959,2,2,38
1959-02-03,1959,2,3,38
1959-02-04,1959,2,4,34
1959-02-05,1959,2,5,35
1959-02-06,1959,2,6,32
1959-02-07,1959,2,7,38
1959-02-08,1959,2,8,38
1959-02-09,1959,2,9,37
1959-02-10,1959,2,10,37
1959-02-11,1959,2,11,38
1959-02-12,1959,2,12,34
1959-02-13,1959,2,13,32
1959-02-14,1959,2,14,31
1959-02-15,1959,2,15,37
1959-02-16,1959,2,16,35
1959-02-17,1959,2,17,32
1959-02-18,1959,2,18,40
1959-02-19,1959,2,19,43
1959-02-20,1959,2,20,31
1959-02-21,1959,2,21,55
1959-02-22,1959,2,22,49
1959-02-23,1959,2,23,55
1959-02-24,1959,2,24,55
1959-02-25,1959,2,25,55
1959-02-26,1959,2,26,53
1959-02-27,1959,2,27,46.7
1959-02-28,1959,2,28,157.7
1959-03-01,1959,3,1,234.6
1959-03-02,1959,3,2,287.7
1959-03-03,1959,3,3,354.7
1959-03-04,1959,3,4,421.1
1959-03-05,1959,3,5,422.9
1959-03-06,1959,3,6,467
1959-03-07,1959,3,7,424.1
1959-03-08,1959,3,8,431.9
1959-03-09,1959,3,9,483.6
1959-03-10,1959,3,10,539.6
1959-03-11,1959,3,11,583.3
1959-03-12,1959,3,12,657.4
1959-03-13,1959,3,13,704.3
1959-03-14,1959,3,14,710.4
1959-03-15,1959,3,15,749.9
1959-03-16,1959,3,16,788.1
1959-03-17,1959,3,17,801
1959-03-18,1959,3,18,828.3
1959-03-19,1959,3,19,914
1959-03-20,1959,3,20,961.6
1959-03-21,1959,3,21,875.6
1959-03-22,1959,3,22,1069.6
1959-03-23,1959,3,23,1013.9
1959-03-24,1959,3,24,920.4
1959-03-25,1959,3,25,901.1
1959-03-26,1959,3,26,935.3
1959-03-27,1959,3,27,1002.3
1959-03-28,1959,3,28,1151.1
1959-03-29,1959,3,29,1113.3
1959-03-30,1959,3,30,1014.4
1959-03-31,1959,3,31,1052.4
1959-04-01,1959,4,1,1089.1
1959-04-02,1959,4,2,1246.9
1959-04-03,1959,4,3,1003.4
1959-04-04,1959,4,4,1286.4
1959-04-05,1959,4,5,1121.1
1959-04-06,1959,4,6,955.3
1959-04-07,1959,4,7,700.7
1959-04-08,1959,4,8,454.9
1959-04-09,1959,4,9,312.1
1959-04-10,1959,4,10,257.3
1959-04-11,1959,4,11,212.6
1959-04-12,1959,4,12,303
1959-04-13,1959,4,13,421.7
1959-04-14,1959,4,14,508.6
1959-04-15,1959,4,15,483.3
1959-04-16,1959,4,16,478.7
1959-04-17,1959,4,17,408.3
1959-04-18,1959,4,18,339.7
1959-04-19,1959,4,19,288
1959-04-20,1959,4,20,222.9
1959-04-21,1959,4,21,233.3
