Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,35
1/2/1980,1980,1,2,35
1/3/1980,1980,1,3,35
1/4/1980,1980,1,4,32
1/5/1980,1980,1,5,28
1/6/1980,1980,1,6,21
1/7/1980,1980,1,7,18
1/8/1980,1980,1,8,14
1/9/1980,1980,1,9,11
1/10/1980,1980,1,10,7.8
1/11/1980,1980,1,11,5.7
1/12/1980,1980,1,12,9.5
1/13/1980,1980,1,13,19
1/14/1980,1980,1,14,18
1/15/1980,1980,1,15,15
1/16/1980,1980,1,16,11
1/17/1980,1980,1,17,8.2
1/18/1980,1980,1,18,5.7
1/19/1980,1980,1,19,4.3
1/20/1980,1980,1,20,3.9
1/21/1980,1980,1,21,4.9
1/22/1980,1980,1,22,7.3
1/23/1980,1980,1,23,11
1/24/1980,1980,1,24,12
1/25/1980,1980,1,25,11
1/26/1980,1980,1,26,8.8
1/27/1980,1980,1,27,6.7
1/28/1980,1980,1,28,2.8
1/29/1980,1980,1,29,2.5
1/30/1980,1980,1,30,4.3
1/31/1980,1980,1,31,6.4
2/1/1980,1980,2,1,9.5
2/2/1980,1980,2,2,15
2/3/1980,1980,2,3,18
2/4/1980,1980,2,4,19
2/5/1980,1980,2,5,19
2/6/1980,1980,2,6,19
2/7/1980,1980,2,7,19
2/8/1980,1980,2,8,19
2/9/1980,1980,2,9,19
2/10/1980,1980,2,10,19
2/11/1980,1980,2,11,19
2/12/1980,1980,2,12,18
2/13/1980,1980,2,13,16
2/14/1980,1980,2,14,12
2/15/1980,1980,2,15,7.8
2/16/1980,1980,2,16,9.8
2/17/1980,1980,2,17,15
2/18/1980,1980,2,18,18
2/19/1980,1980,2,19,19
2/20/1980,1980,2,20,19
2/21/1980,1980,2,21,20
2/22/1980,1980,2,22,21
2/23/1980,1980,2,23,21
2/24/1980,1980,2,24,24
2/25/1980,1980,2,25,27
2/26/1980,1980,2,26,49
2/27/1980,1980,2,27,90
2/28/1980,1980,2,28,109
2/29/1980,1980,2,29,127
3/1/1980,1980,3,1,24
3/2/1980,1980,3,2,29
3/3/1980,1980,3,3,23
3/4/1980,1980,3,4,16
3/5/1980,1980,3,5,31
3/6/1980,1980,3,6,40
3/7/1980,1980,3,7,46
3/8/1980,1980,3,8,52
3/9/1980,1980,3,9,56
3/10/1980,1980,3,10,58
3/11/1980,1980,3,11,57
3/12/1980,1980,3,12,53
3/13/1980,1980,3,13,52
3/14/1980,1980,3,14,52
3/15/1980,1980,3,15,52
3/16/1980,1980,3,16,52
3/17/1980,1980,3,17,52
3/18/1980,1980,3,18,52
3/19/1980,1980,3,19,52
3/20/1980,1980,3,20,51
3/21/1980,1980,3,21,51
3/22/1980,1980,3,22,51
3/23/1980,1980,3,23,46
3/24/1980,1980,3,24,27
3/25/1980,1980,3,25,12
3/26/1980,1980,3,26,11
3/27/1980,1980,3,27,14
3/28/1980,1980,3,28,19
3/29/1980,1980,3,29,14
3/30/1980,1980,3,30,9.5
3/31/1980,1980,3,31,11
4/1/1980,1980,4,1,25
4/2/1980,1980,4,2,38
4/3/1980,1980,4,3,50
4/4/1980,1980,4,4,67
4/5/1980,1980,4,5,86
4/6/1980,1980,4,6,78
4/7/1980,1980,4,7,77
4/8/1980,1980,4,8,81
4/9/1980,1980,4,9,104
4/10/1980,1980,4,10,100
4/11/1980,1980,4,11,98
4/12/1980,1980,4,12,109
4/13/1980,1980,4,13,247
4/14/1980,1980,4,14,576
4/15/1980,1980,4,15,886
4/16/1980,1980,4,16,861
4/17/1980,1980,4,17,655
4/18/1980,1980,4,18,505
4/19/1980,1980,4,19,439
4/20/1980,1980,4,20,371
4/21/1980,1980,4,21,335
4/22/1980,1980,4,22,313
4/23/1980,1980,4,23,236
4/24/1980,1980,4,24,194
4/25/1980,1980,4,25,188
4/26/1980,1980,4,26,209
4/27/1980,1980,4,27,197
4/28/1980,1980,4,28,168
4/29/1980,1980,4,29,147
4/30/1980,1980,4,30,141
5/1/1980,1980,5,1,191.3
5/2/1980,1980,5,2,237.3
5/3/1980,1980,5,3,167.3
5/4/1980,1980,5,4,130.3
5/5/1980,1980,5,5,115.3
5/6/1980,1980,5,6,101.3
5/7/1980,1980,5,7,90.3
5/8/1980,1980,5,8,84.3
5/9/1980,1980,5,9,79.3
5/10/1980,1980,5,10,73.3
5/11/1980,1980,5,11,70.3
5/12/1980,1980,5,12,66.3
5/13/1980,1980,5,13,60.3
5/14/1980,1980,5,14,53.3
5/15/1980,1980,5,15,49.3
5/16/1980,1980,5,16,45.3
5/17/1980,1980,5,17,42.3
5/18/1980,1980,5,18,38.3
5/19/1980,1980,5,19,36.3
5/20/1980,1980,5,20,33.3
5/21/1980,1980,5,21,31.3
5/22/1980,1980,5,22,30.3
5/23/1980,1980,5,23,49.3
5/24/1980,1980,5,24,94.3
5/25/1980,1980,5,25,231.3
5/26/1980,1980,5,26,587.3
5/27/1980,1980,5,27,1033.3
5/28/1980,1980,5,28,543.3
5/29/1980,1980,5,29,271.3
5/30/1980,1980,5,30,201.3
5/31/1980,1980,5,31,199.3
6/1/1980,1980,6,1,268
6/2/1980,1980,6,2,214
6/3/1980,1980,6,3,266
6/4/1980,1980,6,4,316
6/5/1980,1980,6,5,219
6/6/1980,1980,6,6,166
6/7/1980,1980,6,7,139
6/8/1980,1980,6,8,129
6/9/1980,1980,6,9,122
6/10/1980,1980,6,10,113
6/11/1980,1980,6,11,112
6/12/1980,1980,6,12,117
6/13/1980,1980,6,13,170
6/14/1980,1980,6,14,393
6/15/1980,1980,6,15,265
6/16/1980,1980,6,16,200
6/17/1980,1980,6,17,175
6/18/1980,1980,6,18,130
6/19/1980,1980,6,19,101
6/20/1980,1980,6,20,83
6/21/1980,1980,6,21,71
6/22/1980,1980,6,22,63
6/23/1980,1980,6,23,56
6/24/1980,1980,6,24,52
6/25/1980,1980,6,25,53
6/26/1980,1980,6,26,66
6/27/1980,1980,6,27,76
6/28/1980,1980,6,28,101
6/29/1980,1980,6,29,112
6/30/1980,1980,6,30,84
7/1/1980,1980,7,1,66.3
7/2/1980,1980,7,2,54.3
7/3/1980,1980,7,3,48.3
7/4/1980,1980,7,4,41.3
7/5/1980,1980,7,5,37.3
7/6/1980,1980,7,6,34.3
7/7/1980,1980,7,7,31.3
7/8/1980,1980,7,8,28.3
7/9/1980,1980,7,9,26.3
7/10/1980,1980,7,10,24.3
7/11/1980,1980,7,11,24.3
7/12/1980,1980,7,12,23.3
7/13/1980,1980,7,13,20.3
7/14/1980,1980,7,14,20.3
7/15/1980,1980,7,15,19.3
7/16/1980,1980,7,16,19.3
7/17/1980,1980,7,17,20.3
7/18/1980,1980,7,18,20.3
7/19/1980,1980,7,19,20.3
7/20/1980,1980,7,20,19.3
7/21/1980,1980,7,21,16.3
7/22/1980,1980,7,22,15.3
7/23/1980,1980,7,23,14.1
7/24/1980,1980,7,24,14
7/25/1980,1980,7,25,11.7
7/26/1980,1980,7,26,9.7
7/27/1980,1980,7,27,8
7/28/1980,1980,7,28,6.9
7/29/1980,1980,7,29,6.2
7/30/1980,1980,7,30,5.9
7/31/1980,1980,7,31,5.29
8/1/1980,1980,8,1,2.33
8/2/1980,1980,8,2,2.04
8/3/1980,1980,8,3,2.03
8/4/1980,1980,8,4,2.28
8/5/1980,1980,8,5,2.32
8/6/1980,1980,8,6,2.11
8/7/1980,1980,8,7,2.02
8/8/1980,1980,8,8,1.96
8/9/1980,1980,8,9,3.6
8/10/1980,1980,8,10,7.7
8/11/1980,1980,8,11,12.7
8/12/1980,1980,8,12,21.7
8/13/1980,1980,8,13,24.7
8/14/1980,1980,8,14,25.7
8/15/1980,1980,8,15,53.7
8/16/1980,1980,8,16,40.7
8/17/1980,1980,8,17,35.7
8/18/1980,1980,8,18,28.7
8/19/1980,1980,8,19,26.7
8/20/1980,1980,8,20,23.7
8/21/1980,1980,8,21,74.7
8/22/1980,1980,8,22,52.7
8/23/1980,1980,8,23,41.7
8/24/1980,1980,8,24,37.7
8/25/1980,1980,8,25,31.7
8/26/1980,1980,8,26,26.7
8/27/1980,1980,8,27,22.7
8/28/1980,1980,8,28,18.7
8/29/1980,1980,8,29,15.7
8/30/1980,1980,8,30,14.7
8/31/1980,1980,8,31,13.7
9/1/1980,1980,9,1,13
9/2/1980,1980,9,2,11
9/3/1980,1980,9,3,11
9/4/1980,1980,9,4,9.3
9/5/1980,1980,9,5,8.2
9/6/1980,1980,9,6,7.6
9/7/1980,1980,9,7,6.8
9/8/1980,1980,9,8,6.2
9/9/1980,1980,9,9,5.4
9/10/1980,1980,9,10,4.9
9/11/1980,1980,9,11,4.8
9/12/1980,1980,9,12,4.5
9/13/1980,1980,9,13,4.8
9/14/1980,1980,9,14,7.7
9/15/1980,1980,9,15,12
9/16/1980,1980,9,16,40
9/17/1980,1980,9,17,56
9/18/1980,1980,9,18,52
9/19/1980,1980,9,19,42
9/20/1980,1980,9,20,32
9/21/1980,1980,9,21,27
9/22/1980,1980,9,22,24
9/23/1980,1980,9,23,21
9/24/1980,1980,9,24,20
9/25/1980,1980,9,25,18
9/26/1980,1980,9,26,17
9/27/1980,1980,9,27,17
9/28/1980,1980,9,28,16
9/29/1980,1980,9,29,16
9/30/1980,1980,9,30,15
10/1/1980,1980,10,1,14
10/2/1980,1980,10,2,14
10/3/1980,1980,10,3,13
10/4/1980,1980,10,4,13
10/5/1980,1980,10,5,14
10/6/1980,1980,10,6,14
10/7/1980,1980,10,7,13
10/8/1980,1980,10,8,12
10/9/1980,1980,10,9,12
10/10/1980,1980,10,10,11
10/11/1980,1980,10,11,13
10/12/1980,1980,10,12,13
10/13/1980,1980,10,13,18
10/14/1980,1980,10,14,17
10/15/1980,1980,10,15,19
10/16/1980,1980,10,16,23
10/17/1980,1980,10,17,31
10/18/1980,1980,10,18,36
10/19/1980,1980,10,19,36
10/20/1980,1980,10,20,35
10/21/1980,1980,10,21,35
10/22/1980,1980,10,22,34
10/23/1980,1980,10,23,32
10/24/1980,1980,10,24,31
10/25/1980,1980,10,25,33
10/26/1980,1980,10,26,34
10/27/1980,1980,10,27,34
10/28/1980,1980,10,28,35
10/29/1980,1980,10,29,33
10/30/1980,1980,10,30,31
10/31/1980,1980,10,31,31
11/1/1980,1980,11,1,59
11/2/1980,1980,11,2,58
11/3/1980,1980,11,3,55
11/4/1980,1980,11,4,54
11/5/1980,1980,11,5,53
11/6/1980,1980,11,6,53
11/7/1980,1980,11,7,51
11/8/1980,1980,11,8,51
11/9/1980,1980,11,9,50
11/10/1980,1980,11,10,50
11/11/1980,1980,11,11,46
11/12/1980,1980,11,12,35
11/13/1980,1980,11,13,23
11/14/1980,1980,11,14,17
11/15/1980,1980,11,15,18
11/16/1980,1980,11,16,20
11/17/1980,1980,11,17,28
11/18/1980,1980,11,18,31
11/19/1980,1980,11,19,33
11/20/1980,1980,11,20,33
11/21/1980,1980,11,21,30
11/22/1980,1980,11,22,20
11/23/1980,1980,11,23,16
11/24/1980,1980,11,24,17
11/25/1980,1980,11,25,19
11/26/1980,1980,11,26,25
11/27/1980,1980,11,27,33
11/28/1980,1980,11,28,33
11/29/1980,1980,11,29,30
11/30/1980,1980,11,30,28
12/1/1980,1980,12,1,25
12/2/1980,1980,12,2,19
12/3/1980,1980,12,3,16
12/4/1980,1980,12,4,14
12/5/1980,1980,12,5,13
12/6/1980,1980,12,6,13
12/7/1980,1980,12,7,15
12/8/1980,1980,12,8,16
12/9/1980,1980,12,9,18
12/10/1980,1980,12,10,21
12/11/1980,1980,12,11,23
12/12/1980,1980,12,12,27
12/13/1980,1980,12,13,31
12/14/1980,1980,12,14,39
12/15/1980,1980,12,15,48
12/16/1980,1980,12,16,56
12/17/1980,1980,12,17,52
12/18/1980,1980,12,18,43
12/19/1980,1980,12,19,28
12/20/1980,1980,12,20,22
12/21/1980,1980,12,21,21
12/22/1980,1980,12,22,21
12/23/1980,1980,12,23,22
12/24/1980,1980,12,24,23
12/25/1980,1980,12,25,25
12/26/1980,1980,12,26,28
12/27/1980,1980,12,27,32
12/28/1980,1980,12,28,41
12/29/1980,1980,12,29,55
12/30/1980,1980,12,30,76
12/31/1980,1980,12,31,86
1/1/1981,1981,1,1,84
1/2/1981,1981,1,2,80
1/3/1981,1981,1,3,76
1/4/1981,1981,1,4,70
1/5/1981,1981,1,5,64
1/6/1981,1981,1,6,59
1/7/1981,1981,1,7,54
1/8/1981,1981,1,8,51
1/9/1981,1981,1,9,47
1/10/1981,1981,1,10,44
1/11/1981,1981,1,11,40
1/12/1981,1981,1,12,38
1/13/1981,1981,1,13,37
1/14/1981,1981,1,14,36
1/15/1981,1981,1,15,36
1/16/1981,1981,1,16,37
1/17/1981,1981,1,17,36
1/18/1981,1981,1,18,35
1/19/1981,1981,1,19,34
1/20/1981,1981,1,20,35
1/21/1981,1981,1,21,37
1/22/1981,1981,1,22,42
1/23/1981,1981,1,23,51
1/24/1981,1981,1,24,62
1/25/1981,1981,1,25,66
1/26/1981,1981,1,26,63
1/27/1981,1981,1,27,57
1/28/1981,1981,1,28,51
1/29/1981,1981,1,29,47
1/30/1981,1981,1,30,44
1/31/1981,1981,1,31,40
2/1/1981,1981,2,1,37
2/2/1981,1981,2,2,34
