Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,0
1/2/1980,1980,1,2,0
1/3/1980,1980,1,3,0
1/4/1980,1980,1,4,0
1/5/1980,1980,1,5,0
1/6/1980,1980,1,6,0
1/7/1980,1980,1,7,0
1/8/1980,1980,1,8,0
1/9/1980,1980,1,9,0
1/10/1980,1980,1,10,0
1/11/1980,1980,1,11,0
1/12/1980,1980,1,12,0
1/13/1980,1980,1,13,0
1/14/1980,1980,1,14,0
1/15/1980,1980,1,15,0
1/16/1980,1980,1,16,0
1/17/1980,1980,1,17,0
1/18/1980,1980,1,18,0
1/19/1980,1980,1,19,0
1/20/1980,1980,1,20,0
1/21/1980,1980,1,21,0
1/22/1980,1980,1,22,0
1/23/1980,1980,1,23,0
1/24/1980,1980,1,24,0
1/25/1980,1980,1,25,0
1/26/1980,1980,1,26,0
1/27/1980,1980,1,27,0
1/28/1980,1980,1,28,0
1/29/1980,1980,1,29,0
1/30/1980,1980,1,30,0
1/31/1980,1980,1,31,0
2/1/1980,1980,2,1,0
2/2/1980,1980,2,2,0
2/3/1980,1980,2,3,0
2/4/1980,1980,2,4,0
2/5/1980,1980,2,5,0
2/6/1980,1980,2,6,0
2/7/1980,1980,2,7,0
2/8/1980,1980,2,8,0
2/9/1980,1980,2,9,0
2/10/1980,1980,2,10,0
2/11/1980,1980,2,11,0
2/12/1980,1980,2,12,0
2/13/1980,1980,2,13,0
2/14/1980,1980,2,14,0
2/15/1980,1980,2,15,0
2/16/1980,1980,2,16,0
2/17/1980,1980,2,17,0
2/18/1980,1980,2,18,0
2/19/1980,1980,2,19,0
2/20/1980,1980,2,20,0
2/21/1980,1980,2,21,0
2/22/1980,1980,2,22,0
2/23/1980,1980,2,23,0
2/24/1980,1980,2,24,0
2/25/1980,1980,2,25,0
2/26/1980,1980,2,26,0
2/27/1980,1980,2,27,0
2/28/1980,1980,2,28,0
2/29/1980,1980,2,29,0
3/1/1980,1980,3,1,30
3/2/1980,1980,3,2,26
3/3/1980,1980,3,3,22
3/4/1980,1980,3,4,20
3/5/1980,1980,3,5,18
3/6/1980,1980,3,6,17
3/7/1980,1980,3,7,18
3/8/1980,1980,3,8,18
3/9/1980,1980,3,9,18
3/10/1980,1980,3,10,17
3/11/1980,1980,3,11,18
3/12/1980,1980,3,12,18
3/13/1980,1980,3,13,19
3/14/1980,1980,3,14,19
3/15/1980,1980,3,15,18
3/16/1980,1980,3,16,18
3/17/1980,1980,3,17,19
3/18/1980,1980,3,18,19
3/19/1980,1980,3,19,18
3/20/1980,1980,3,20,17
3/21/1980,1980,3,21,17
3/22/1980,1980,3,22,17
3/23/1980,1980,3,23,17
3/24/1980,1980,3,24,18
3/25/1980,1980,3,25,18
3/26/1980,1980,3,26,18
3/27/1980,1980,3,27,17
3/28/1980,1980,3,28,17
3/29/1980,1980,3,29,17
3/30/1980,1980,3,30,17
3/31/1980,1980,3,31,16
4/1/1980,1980,4,1,15
4/2/1980,1980,4,2,15
4/3/1980,1980,4,3,15
4/4/1980,1980,4,4,16
4/5/1980,1980,4,5,16
4/6/1980,1980,4,6,16
4/7/1980,1980,4,7,16
4/8/1980,1980,4,8,17
4/9/1980,1980,4,9,17
4/10/1980,1980,4,10,17
4/11/1980,1980,4,11,17
4/12/1980,1980,4,12,19
4/13/1980,1980,4,13,35
4/14/1980,1980,4,14,52
4/15/1980,1980,4,15,196
4/16/1980,1980,4,16,130
4/17/1980,1980,4,17,72
4/18/1980,1980,4,18,57
4/19/1980,1980,4,19,45
4/20/1980,1980,4,20,40
4/21/1980,1980,4,21,37
4/22/1980,1980,4,22,31
4/23/1980,1980,4,23,29
4/24/1980,1980,4,24,29
4/25/1980,1980,4,25,31
4/26/1980,1980,4,26,27
4/27/1980,1980,4,27,25
4/28/1980,1980,4,28,24
4/29/1980,1980,4,29,23
4/30/1980,1980,4,30,35
5/1/1980,1980,5,1,28.4
5/2/1980,1980,5,2,24.4
5/3/1980,1980,5,3,22.4
5/4/1980,1980,5,4,22.4
5/5/1980,1980,5,5,21.4
5/6/1980,1980,5,6,21.4
5/7/1980,1980,5,7,20.4
5/8/1980,1980,5,8,20.4
5/9/1980,1980,5,9,20.4
5/10/1980,1980,5,10,20.4
5/11/1980,1980,5,11,19.4
5/12/1980,1980,5,12,19.4
5/13/1980,1980,5,13,19.4
5/14/1980,1980,5,14,19.4
5/15/1980,1980,5,15,18.4
5/16/1980,1980,5,16,18.4
5/17/1980,1980,5,17,18.4
5/18/1980,1980,5,18,18.4
5/19/1980,1980,5,19,17.4
5/20/1980,1980,5,20,17.4
5/21/1980,1980,5,21,16.4
5/22/1980,1980,5,22,17.4
5/23/1980,1980,5,23,28.4
5/24/1980,1980,5,24,37.4
5/25/1980,1980,5,25,72.4
5/26/1980,1980,5,26,186.4
5/27/1980,1980,5,27,67.4
5/28/1980,1980,5,28,37.4
5/29/1980,1980,5,29,30.4
5/30/1980,1980,5,30,30.4
5/31/1980,1980,5,31,42.4
6/1/1980,1980,6,1,28.7
6/2/1980,1980,6,2,32.7
