Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,115.5939243
1/2/1980,1980,1,2,113.8782914
1/3/1980,1980,1,3,111.8782914
1/4/1980,1980,1,4,109.1626585
1/5/1980,1980,1,5,104.1626585
1/6/1980,1980,1,6,97.44702554
1/7/1980,1980,1,7,102.4470255
1/8/1980,1980,1,8,97.44702554
1/9/1980,1980,1,9,95.73139261
1/10/1980,1980,1,10,95.73139261
1/11/1980,1980,1,11,95.73139261
1/12/1980,1980,1,12,104.1626585
1/13/1980,1980,1,13,115.8782914
1/14/1980,1980,1,14,123.7408231
1/15/1980,1980,1,15,129.456456
1/16/1980,1980,1,16,122.3095572
1/17/1980,1980,1,17,123.0251902
1/18/1980,1980,1,18,117.5939243
1/19/1980,1980,1,19,115.1626585
1/20/1980,1980,1,20,109.7313926
1/21/1980,1980,1,21,106.0157597
1/22/1980,1980,1,22,106.0157597
1/23/1980,1980,1,23,102.3001268
1/24/1980,1980,1,24,103.5844938
1/25/1980,1980,1,25,97.30012677
1/26/1980,1980,1,26,90.58449385
1/27/1980,1980,1,27,90.58449385
1/28/1980,1980,1,28,90.58449385
1/29/1980,1980,1,29,88.86886092
1/30/1980,1980,1,30,87.153228
1/31/1980,1980,1,31,85.43759508
2/1/1980,1980,2,1,90.75160609
2/2/1980,1980,2,2,87.85146009
2/3/1980,1980,2,3,96.45204412
2/4/1980,1980,2,4,102.0526282
2/5/1980,1980,2,5,103.9527742
2/6/1980,1980,2,6,101.0526282
2/7/1980,1980,2,7,98.15248214
2/8/1980,1980,2,8,95.25233614
2/9/1980,1980,2,9,92.35219013
2/10/1980,1980,2,10,91.35219013
2/11/1980,1980,2,11,87.45204412
2/12/1980,1980,2,12,90.35219013
2/13/1980,1980,2,13,88.35219013
2/14/1980,1980,2,14,81.45204412
2/15/1980,1980,2,15,81.45204412
2/16/1980,1980,2,16,79.55189811
2/17/1980,1980,2,17,84.55189811
2/18/1980,1980,2,18,89.35219013
2/19/1980,1980,2,19,94.15248214
2/20/1980,1980,2,20,97.05262815
2/21/1980,1980,2,21,95.15248214
2/22/1980,1980,2,22,93.25233614
2/23/1980,1980,2,23,87.45204412
2/24/1980,1980,2,24,85.55189811
2/25/1980,1980,2,25,83.6517521
2/26/1980,1980,2,26,81.6517521
2/27/1980,1980,2,27,94.05262815
2/28/1980,1980,2,28,122.7545263
2/29/1980,1980,2,29,139.9556943
3/1/1980,1980,3,1,114.7242471
3/2/1980,1980,3,2,113.1445499
3/3/1980,1980,3,3,107.2750041
3/4/1980,1980,3,4,95.82576101
3/5/1980,1980,3,5,93.2460638
3/6/1980,1980,3,6,90.66636658
3/7/1980,1980,3,7,91.97666937
3/8/1980,1980,3,8,62.79697215
3/9/1980,1980,3,9,62.50712354
3/10/1980,1980,3,10,71.50712354
3/11/1980,1980,3,11,102.2868208
3/12/1980,1980,3,12,113.0866694
3/13/1980,1980,3,13,110.5069722
3/14/1980,1980,3,14,111.7968208
3/15/1980,1980,3,15,109.5069722
3/16/1980,1980,3,16,107.2171235
3/17/1980,1980,3,17,87.63757772
3/18/1980,1980,3,18,35.17215057
3/19/1980,1980,3,19,38.8265679
3/20/1980,1980,3,20,42.64625584
3/21/1980,1980,3,21,48.11957219
3/22/1980,1980,3,22,57.44581507
3/23/1980,1980,3,23,65.64747995
3/24/1980,1980,3,24,72.39402561
3/25/1980,1980,3,25,77.47032356
3/26/1980,1980,3,26,83.27418113
3/27/1980,1980,3,27,86.89535987
3/28/1980,1980,3,28,89.788979
3/29/1980,1980,3,29,97.79213468
3/30/1980,1980,3,30,108.1764784
3/31/1980,1980,3,31,107.9613499
4/1/1980,1980,4,1,112.489629
4/2/1980,1980,4,2,115.7636472
4/3/1980,1980,4,3,111.9819528
4/4/1980,1980,4,4,109.4354942
4/5/1980,1980,4,5,110.8906134
4/6/1980,1980,4,6,115.7256537
4/7/1980,1980,4,7,115.3618739
4/8/1980,1980,4,8,113.1791951
4/9/1980,1980,4,9,104.2665899
4/10/1980,1980,4,10,90.44295735
4/11/1980,1980,4,11,79.89334305
4/12/1980,1980,4,12,70.25317825
4/13/1980,1980,4,13,68.32029865
4/14/1980,1980,4,14,80.67265653
4/15/1980,1980,4,15,111.6675318
4/16/1980,1980,4,16,130.2720556
4/17/1980,1980,4,17,156.5458712
4/18/1980,1980,4,18,227.3342463
4/19/1980,1980,4,19,340.5684828
4/20/1980,1980,4,20,541.4906998
4/21/1980,1980,4,21,721.4599796
4/22/1980,1980,4,22,878.2784178
4/23/1980,1980,4,23,1091.67351
4/24/1980,1980,4,24,1399.027041
4/25/1980,1980,4,25,1700.568353
4/26/1980,1980,4,26,1905.676014
4/27/1980,1980,4,27,1999.664998
4/28/1980,1980,4,28,2174.590386
4/29/1980,1980,4,29,2455.543315
4/30/1980,1980,4,30,2801.565348
5/1/1980,1980,5,1,2798.048666
5/2/1980,1980,5,2,2803.507514
5/3/1980,1980,5,3,2921.573187
5/4/1980,1980,5,4,2946.367378
5/5/1980,1980,5,5,2896.803816
5/6/1980,1980,5,6,2876.3122
5/7/1980,1980,5,7,2758.386528
5/8/1980,1980,5,8,2284.260033
5/9/1980,1980,5,9,2157.437594
5/10/1980,1980,5,10,2146.186772
5/11/1980,1980,5,11,2006.078525
5/12/1980,1980,5,12,1871.649483
5/13/1980,1980,5,13,1777.292387
5/14/1980,1980,5,14,1715.721429
5/15/1980,1980,5,15,1822.829018
5/16/1980,1980,5,16,1799.543868
5/17/1980,1980,5,17,1766.294361
5/18/1980,1980,5,18,1800.973567
5/19/1980,1980,5,19,1986.617787
