Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,130.5939243
1/2/1980,1980,1,2,128.8782914
1/3/1980,1980,1,3,130.8782914
1/4/1980,1980,1,4,116.1626585
1/5/1980,1980,1,5,111.1626585
1/6/1980,1980,1,6,106.4470255
1/7/1980,1980,1,7,109.4470255
1/8/1980,1980,1,8,106.4470255
1/9/1980,1980,1,9,104.7313926
1/10/1980,1980,1,10,104.7313926
1/11/1980,1980,1,11,104.7313926
1/12/1980,1980,1,12,113.1626585
1/13/1980,1980,1,13,123.8782914
1/14/1980,1980,1,14,139.7408231
1/15/1980,1980,1,15,147.456456
1/16/1980,1980,1,16,138.3095572
1/17/1980,1980,1,17,136.0251902
1/18/1980,1980,1,18,130.5939243
1/19/1980,1980,1,19,125.1626585
1/20/1980,1980,1,20,120.7313926
1/21/1980,1980,1,21,120.0157597
1/22/1980,1980,1,22,119.0157597
1/23/1980,1980,1,23,115.3001268
1/24/1980,1980,1,24,116.5844938
1/25/1980,1980,1,25,106.3001268
1/26/1980,1980,1,26,101.5844938
1/27/1980,1980,1,27,101.5844938
1/28/1980,1980,1,28,101.5844938
1/29/1980,1980,1,29,100.8688609
1/30/1980,1980,1,30,98.153228
1/31/1980,1980,1,31,96.43759508
2/1/1980,1980,2,1,99.75160609
2/2/1980,1980,2,2,97.85146009
2/3/1980,1980,2,3,108.4520441
2/4/1980,1980,2,4,116.0526282
2/5/1980,1980,2,5,112.9527742
2/6/1980,1980,2,6,108.0526282
2/7/1980,1980,2,7,109.1524821
2/8/1980,1980,2,8,106.2523361
2/9/1980,1980,2,9,100.3521901
2/10/1980,1980,2,10,100.3521901
2/11/1980,1980,2,11,98.45204412
2/12/1980,1980,2,12,100.3521901
2/13/1980,1980,2,13,93.35219013
2/14/1980,1980,2,14,91.45204412
2/15/1980,1980,2,15,91.45204412
2/16/1980,1980,2,16,89.55189811
2/17/1980,1980,2,17,95.55189811
2/18/1980,1980,2,18,96.35219013
2/19/1980,1980,2,19,101.1524821
2/20/1980,1980,2,20,105.0526282
2/21/1980,1980,2,21,103.1524821
2/22/1980,1980,2,22,101.2523361
2/23/1980,1980,2,23,95.45204412
2/24/1980,1980,2,24,92.55189811
2/25/1980,1980,2,25,91.6517521
2/26/1980,1980,2,26,88.6517521
2/27/1980,1980,2,27,106.0526282
2/28/1980,1980,2,28,132.7545263
2/29/1980,1980,2,29,149.9556943
3/1/1980,1980,3,1,125.7242471
3/2/1980,1980,3,2,125.1445499
3/3/1980,1980,3,3,116.2750041
3/4/1980,1980,3,4,104.825761
3/5/1980,1980,3,5,102.2460638
3/6/1980,1980,3,6,99.66636658
3/7/1980,1980,3,7,100.9766694
3/8/1980,1980,3,8,68.79697215
3/9/1980,1980,3,9,71.50712354
3/10/1980,1980,3,10,77.50712354
3/11/1980,1980,3,11,116.2868208
3/12/1980,1980,3,12,135.7866694
3/13/1980,1980,3,13,134.5069722
3/14/1980,1980,3,14,130.7968208
3/15/1980,1980,3,15,133.5069722
3/16/1980,1980,3,16,124.2171235
3/17/1980,1980,3,17,100.6375777
3/18/1980,1980,3,18,48.17215057
3/19/1980,1980,3,19,51.8265679
3/20/1980,1980,3,20,59.64625584
3/21/1980,1980,3,21,83.11957219
3/22/1980,1980,3,22,70.20570953
3/23/1980,1980,3,23,79.71608153
3/24/1980,1980,3,24,93.66051637
3/25/1980,1980,3,25,93.82916261
3/26/1980,1980,3,26,103.8863183
3/27/1980,1980,3,27,105.2172596
3/28/1980,1980,3,28,110.4011162
3/29/1980,1980,3,29,117.7921347
3/30/1980,1980,3,30,113.1764784
3/31/1980,1980,3,31,143.9613499
4/1/1980,1980,4,1,129.489629
4/2/1980,1980,4,2,131.7636472
4/3/1980,1980,4,3,134.9819528
4/4/1980,1980,4,4,138.4354942
4/5/1980,1980,4,5,135.8906134
4/6/1980,1980,4,6,135.7256537
4/7/1980,1980,4,7,143.3618739
4/8/1980,1980,4,8,163.1791951
4/9/1980,1980,4,9,158.2665899
4/10/1980,1980,4,10,137.4429574
4/11/1980,1980,4,11,124.893343
4/12/1980,1980,4,12,191.2531782
4/13/1980,1980,4,13,209.3202987
4/14/1980,1980,4,14,280.6726565
4/15/1980,1980,4,15,345.6675318
4/16/1980,1980,4,16,342.2720556
4/17/1980,1980,4,17,368.5458712
4/18/1980,1980,4,18,436.3342463
4/19/1980,1980,4,19,549.5684828
4/20/1980,1980,4,20,733.4906998
4/21/1980,1980,4,21,874.4599796
4/22/1980,1980,4,22,980.2784178
4/23/1980,1980,4,23,1220.67351
4/24/1980,1980,4,24,1605.027041
4/25/1980,1980,4,25,1951.568353
4/26/1980,1980,4,26,2150.676014
4/27/1980,1980,4,27,2235.664998
4/28/1980,1980,4,28,2425.590386
4/29/1980,1980,4,29,2721.543315
4/30/1980,1980,4,30,3118.565348
5/1/1980,1980,5,1,3060.048666
5/2/1980,1980,5,2,3050.507514
5/3/1980,1980,5,3,3192.573187
5/4/1980,1980,5,4,3173.367378
5/5/1980,1980,5,5,3111.803816
