Date,Year,Month,Day,Flow
1/1/1980,1980,1,1,37.74392431
1/2/1980,1980,1,2,36.02829138
1/3/1980,1980,1,3,36.02829138
1/4/1980,1980,1,4,34.31265846
1/5/1980,1980,1,5,34.31265846
1/6/1980,1980,1,6,32.59702554
1/7/1980,1980,1,7,32.59702554
1/8/1980,1980,1,8,32.59702554
1/9/1980,1980,1,9,30.88139261
1/10/1980,1980,1,10,30.88139261
1/11/1980,1980,1,11,30.88139261
1/12/1980,1980,1,12,34.31265846
1/13/1980,1980,1,13,36.02829138
1/14/1980,1980,1,14,42.89082308
1/15/1980,1980,1,15,44.606456
1/16/1980,1980,1,16,39.45955723
1/17/1980,1980,1,17,41.17519015
1/18/1980,1980,1,18,37.74392431
1/19/1980,1980,1,19,34.31265846
1/20/1980,1980,1,20,30.88139261
1/21/1980,1980,1,21,29.16575969
1/22/1980,1980,1,22,29.16575969
1/23/1980,1980,1,23,27.45012677
1/24/1980,1980,1,24,25.73449385
1/25/1980,1980,1,25,27.45012677
1/26/1980,1980,1,26,25.73449385
1/27/1980,1980,1,27,25.73449385
1/28/1980,1980,1,28,25.73449385
1/29/1980,1980,1,29,24.01886092
1/30/1980,1980,1,30,22.303228
1/31/1980,1980,1,31,20.58759508
2/1/1980,1980,2,1,20.90160609
2/2/1980,1980,2,2,19.00146009
2/3/1980,1980,2,3,26.60204412
2/4/1980,1980,2,4,34.20262815
2/5/1980,1980,2,5,36.10277416
2/6/1980,1980,2,6,34.20262815
2/7/1980,1980,2,7,32.30248214
2/8/1980,1980,2,8,30.40233614
2/9/1980,1980,2,9,28.50219013
2/10/1980,1980,2,10,28.50219013
2/11/1980,1980,2,11,26.60204412
2/12/1980,1980,2,12,28.50219013
2/13/1980,1980,2,13,28.50219013
2/14/1980,1980,2,14,26.60204412
2/15/1980,1980,2,15,26.60204412
2/16/1980,1980,2,16,24.70189811
2/17/1980,1980,2,17,24.70189811
2/18/1980,1980,2,18,28.50219013
2/19/1980,1980,2,19,32.30248214
2/20/1980,1980,2,20,34.20262815
2/21/1980,1980,2,21,32.30248214
2/22/1980,1980,2,22,30.40233614
2/23/1980,1980,2,23,26.60204412
2/24/1980,1980,2,24,24.70189811
2/25/1980,1980,2,25,22.8017521
2/26/1980,1980,2,26,22.8017521
