#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 482: Flattop Mtn., MT
# 
# Data items provided in this file:
#
# Element Name                Value Type               Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Flattop Mtn. (482) 
# Montana  SNOTEL Site - 6300 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Sep 7, 2023, 12:53:10 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1991-2020) (in) Start of Day Values,Snow Water Equivalent % of Median (1991-2020),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Median Precipitation Accumulation (1991-2020) (in) Start of Day Values,Precipitation Accumulation % of Median (1991-2020),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1969-10-01,1.0,0.0,,,,0.0,,,,
1969-10-02,1.1,0.0,,,,0.0,,,,
1969-10-03,1.1,0.1,1100,,,0.2,,,,
1969-10-04,1.1,0.2,550,,,0.2,,,,
1969-10-05,1.3,0.0,,,,0.4,,,,
1969-10-06,1.8,0.0,,,,0.7,,,,
1969-10-07,2.2,0.1,2200,,,0.8,,,,
1969-10-08,2.2,0.2,1100,,,0.8,,,,
1969-10-09,2.2,0.0,,,,1.2,,,,
1969-10-10,2.2,0.0,,,,1.2,,,,
1969-10-11,2.5,0.2,1250,,,1.2,,,,
1969-10-12,2.7,0.2,1350,,,1.4,,,,
1969-10-13,2.7,0.4,675,,,1.7,,,,
1969-10-14,2.8,0.4,700,,,1.8,,,,
1969-10-15,2.9,0.6,483,,,2.2,,,,
1969-10-16,3.0,0.6,500,,,2.2,,,,
1969-10-17,3.0,0.6,500,,,2.3,,,,
1969-10-18,3.0,0.6,500,,,2.6,,,,
1969-10-19,3.0,0.6,500,,,2.7,,,,
1969-10-20,3.0,0.6,500,,,2.8,,,,
1969-10-21,3.0,0.7,429,,,3.0,,,,
1969-10-22,3.0,1.0,300,,,3.6,,,,
1969-10-23,3.1,1.2,258,,,3.8,,,,
1969-10-24,3.1,1.2,258,,,4.0,,,,
1969-10-25,3.1,1.4,221,,,4.0,,,,
1969-10-26,3.1,1.5,207,,,4.3,,,,
1969-10-27,3.1,1.6,194,,,4.5,,,,
1969-10-28,3.1,1.6,194,,,4.6,,,,
1969-10-29,3.1,1.8,172,,,5.0,,,,
1969-10-30,3.1,2.1,148,,,5.4,,,,
1969-10-31,3.1,2.2,141,,,5.6,,,,
1969-11-01,3.1,2.2,141,,,5.8,,,,
1969-11-02,3.1,2.4,129,,,5.8,,,,
1969-11-03,3.1,2.7,115,,,6.2,,,,
1969-11-04,3.2,2.9,110,,,6.3,,,,
1969-11-05,3.2,3.2,100,,,6.7,,,,
1969-11-06,3.4,3.4,100,,,6.8,,,,
1969-11-07,3.5,3.6,97,,,7.6,,,,
1969-11-08,3.7,3.6,103,,,7.8,,,,
1969-11-09,4.0,3.6,111,,,7.9,,,,
1969-11-10,4.4,3.6,122,,,8.0,,,,
1969-11-11,4.4,3.7,119,,,8.1,,,,
1969-11-12,4.4,4.2,105,,,8.2,,,,
1969-11-13,4.4,4.5,98,,,8.2,,,,
1969-11-14,4.4,4.6,96,,,8.6,,,,
1969-11-15,4.4,4.6,96,,,8.8,,,,
1969-11-16,4.8,5.0,96,,,9.0,,,,
1969-11-17,5.4,5.2,104,,,9.4,,,,
1969-11-18,5.6,5.4,104,,,9.8,,,,
1969-11-19,5.7,5.8,98,,,10.2,,,,
1969-11-20,5.8,5.8,100,,,10.6,,,,
1969-11-21,5.8,6.7,87,,,11.0,,,,
1969-11-22,6.8,7.0,97,,,11.2,,,,
1969-11-23,6.8,7.3,93,,,12.2,,,,
1969-11-24,6.8,7.6,89,,,12.4,,,,
1969-11-25,7.4,7.8,95,,,12.6,,,,
1969-11-26,7.4,8.0,93,,,13.2,,,,
1969-11-27,7.4,8.2,90,,,13.6,,,,
1969-11-28,7.4,8.6,86,,,14.1,,,,
1969-11-29,7.4,8.8,84,,,14.2,,,,
1969-11-30,7.4,9.1,81,,,14.5,,,,
1969-12-01,7.4,9.7,76,,,14.9,,,,
1969-12-02,7.4,10.0,74,,,15.2,,,,
1969-12-03,7.4,10.2,73,,,15.6,,,,
1969-12-04,7.4,10.5,70,,,16.0,,,,
1969-12-05,7.4,10.8,69,,,16.2,,,,
1969-12-06,7.6,10.8,70,,,16.4,,,,
1969-12-07,7.6,10.8,70,,,16.6,,,,
1969-12-08,7.6,11.5,66,,,16.6,,,,
1969-12-09,7.6,12.2,62,,,17.3,,,,
1969-12-10,7.6,12.7,60,,,18.0,,,,
1969-12-11,7.7,12.9,60,,,18.6,,,,
1969-12-12,7.9,13.0,61,,,18.8,,,,
1969-12-13,9.7,13.2,73,,,19.1,,,,
1969-12-14,9.9,13.7,72,,,19.4,,,,
1969-12-15,10.0,13.7,73,,,20.0,,,,
1969-12-16,10.3,14.4,72,,,20.3,,,,
1969-12-17,10.3,14.4,72,,,20.7,,,,
1969-12-18,10.7,14.4,74,,,20.8,,,,
1969-12-19,10.7,14.5,74,,,21.6,,,,
1969-12-20,10.7,14.8,72,,,22.2,,,,
1969-12-21,10.9,15.6,70,,,22.4,,,,
1969-12-22,11.7,15.6,75,,,22.4,,,,
1969-12-23,12.1,15.6,78,,,22.5,,,,
1969-12-24,13.0,16.0,81,,,22.6,,,,
1969-12-25,13.1,16.7,78,,,22.8,,,,
1969-12-26,13.1,16.8,78,,,22.8,,,,
1969-12-27,13.2,17.0,78,,,23.0,,,,
1969-12-28,13.3,17.4,76,,,23.2,,,,
1969-12-29,13.3,17.6,76,,,23.6,,,,
1969-12-30,13.5,17.6,77,,,23.6,,,,
1969-12-31,13.6,17.8,76,,,24.0,,,,
1970-01-01,13.7,17.8,77,,,24.1,,,,
1970-01-02,13.9,18.1,77,,,24.3,,,,
1970-01-03,14.0,18.8,74,,,24.8,,,,
1970-01-04,14.1,18.8,75,,,25.2,,,,
1970-01-05,14.2,19.0,75,,,25.5,,,,
1970-01-06,14.2,19.4,73,,,25.8,,,,
1970-01-07,14.2,19.6,72,,,26.0,,,,
1970-01-08,14.2,20.0,71,,,26.6,,,,
1970-01-09,14.3,20.4,70,,,27.0,,,,
1970-01-10,15.0,20.6,73,,,27.3,,,,
1970-01-11,16.0,21.2,75,,,28.2,,,,
1970-01-12,16.3,21.4,76,,,28.2,,,,
1970-01-13,17.1,21.8,78,,,28.9,,,,
1970-01-14,17.8,22.2,80,,,29.4,,,,
1970-01-15,20.3,23.2,88,,,29.5,,,,
1970-01-16,21.3,23.5,91,,,29.6,,,,
1970-01-17,21.3,24.2,88,,,30.3,,,,
1970-01-18,21.3,24.4,87,,,30.4,,,,
1970-01-19,21.6,24.6,88,,,31.0,,,,
1970-01-20,21.8,24.8,88,,,31.0,,,,
1970-01-21,22.5,25.0,90,,,31.0,,,,
1970-01-22,23.1,25.1,92,,,31.0,,,,
1970-01-23,23.3,25.1,93,,,31.1,,,,
1970-01-24,24.3,25.4,96,,,31.4,,,,
1970-01-25,24.8,25.8,96,,,32.2,,,,
1970-01-26,26.3,25.8,102,,,32.9,,,,
1970-01-27,26.7,26.1,102,,,33.4,,,,
1970-01-28,28.0,26.4,106,,,33.4,,,,
