#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 613: Many Glacier, MT
# 
# Data items provided in this file:
#
# Element Name                Value Type               Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Many Glacier (613) 
# Montana  SNOTEL Site - 4900 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Sep 7, 2023, 11:37:19 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1991-2020) (in) Start of Day Values,Snow Water Equivalent % of Median (1991-2020),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Median Precipitation Accumulation (1991-2020) (in) Start of Day Values,Precipitation Accumulation % of Median (1991-2020),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1976-10-01,0.0,0.0,,,,0.0,,,,
1976-10-02,0.0,0.0,,,,0.0,,,,
1976-10-03,0.0,0.0,,,,0.2,,,,
1976-10-04,0.0,0.0,,,,0.2,,,,
1976-10-05,0.0,0.0,,,,0.2,,,,
1976-10-06,0.0,0.0,,,,0.6,,,,
1976-10-07,0.0,0.0,,,,0.6,,,,
1976-10-08,0.0,0.0,,,,0.8,,,,
1976-10-09,0.0,0.0,,,,0.9,,,,
1976-10-10,0.0,0.0,,,,0.9,,,,
1976-10-11,0.0,0.0,,,,0.9,,,,
1976-10-12,0.0,0.0,,,,1.0,,,,
1976-10-13,0.0,0.0,,,,1.1,,,,
1976-10-14,0.0,0.0,,,,1.2,,,,
1976-10-15,0.0,0.0,,,,1.4,,,,
1976-10-16,0.2,0.0,,,,1.5,,,,
1976-10-17,0.3,0.0,,,,1.8,,,,
1976-10-18,0.3,0.0,,,,1.9,,,,
1976-10-19,0.3,0.0,,,,2.3,,,,
1976-10-20,0.3,0.0,,,,2.4,,,,
1976-10-21,0.3,0.0,,,,2.4,,,,
1976-10-22,0.3,0.0,,,,2.6,,,,
1976-10-23,0.3,0.0,,,,2.8,,,,
1976-10-24,0.3,0.0,,,,3.0,,,,
1976-10-25,0.3,0.0,,,,3.2,,,,
1976-10-26,0.3,0.0,,,,3.2,,,,
1976-10-27,0.3,0.0,,,,3.8,,,,
1976-10-28,0.3,0.0,,,,4.0,,,,
1976-10-29,0.3,0.0,,,,4.0,,,,
1976-10-30,0.3,0.0,,,,4.2,,,,
1976-10-31,0.3,0.0,,,,4.3,,,,
1976-11-01,0.3,0.0,,,,4.3,,,,
1976-11-02,0.3,0.2,150,,,4.5,,,,
1976-11-03,0.3,0.2,150,,,4.5,,,,
1976-11-04,0.3,0.2,150,,,4.5,,,,
1976-11-05,0.3,0.2,150,,,4.6,,,,
1976-11-06,0.3,0.3,100,,,4.8,,,,
1976-11-07,0.3,0.3,100,,,5.3,,,,
1976-11-08,0.3,0.4,75,,,5.4,,,,
1976-11-09,0.3,0.5,60,,,5.6,,,,
1976-11-10,0.3,0.6,50,,,5.7,,,,
1976-11-11,0.3,0.6,50,,,6.0,,,,
1976-11-12,0.3,0.6,50,,,6.0,,,,
1976-11-13,0.3,0.6,50,,,6.4,,,,
1976-11-14,0.3,0.7,43,,,6.6,,,,
1976-11-15,0.4,0.6,67,,,6.7,,,,
1976-11-16,0.4,0.6,67,,,6.8,,,,
1976-11-17,0.4,0.8,50,,,6.8,,,,
1976-11-18,0.4,0.7,57,,,7.2,,,,
1976-11-19,0.4,0.8,50,,,7.4,,,,
1976-11-20,0.4,0.8,50,,,7.7,,,,
1976-11-21,0.4,0.8,50,,,7.8,,,,
1976-11-22,0.4,1.0,40,,,7.9,,,,
1976-11-23,0.4,1.2,33,,,8.4,,,,
1976-11-24,0.7,1.0,70,,,8.6,,,,
1976-11-25,0.9,1.1,82,,,8.7,,,,
1976-11-26,0.9,1.2,75,,,8.8,,,,
1976-11-27,0.9,1.5,60,,,9.2,,,,
1976-11-28,1.0,1.6,63,,,9.3,,,,
1976-11-29,1.1,1.8,61,,,9.4,,,,
1976-11-30,1.1,1.8,61,,,9.5,,,,
1976-12-01,1.1,1.8,61,,,9.8,,,,
1976-12-02,1.1,1.8,61,,,10.1,,,,
1976-12-03,1.1,2.2,50,,,10.1,,,,
1976-12-04,1.1,2.2,50,,,10.4,,,,
1976-12-05,1.1,2.2,50,,,10.9,,,,
1976-12-06,1.3,2.4,54,,,11.2,,,,
1976-12-07,1.6,2.4,67,,,11.3,,,,
1976-12-08,2.3,2.5,92,,,11.4,,,,
