#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 917: Rocky Boy, MT
# 
# Data items provided in this file:
#
# Element Name                Value Type               Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rocky Boy (917) 
# Montana  SNOTEL Site - 4700 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Sep 7, 2023, 11:40:10 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1991-2020) (in) Start of Day Values,Snow Water Equivalent % of Median (1991-2020),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Median Precipitation Accumulation (1991-2020) (in) Start of Day Values,Precipitation Accumulation % of Median (1991-2020),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1967-10-01,0.0,0.0,,,,0.0,,,,
1967-10-02,0.0,0.0,,,,0.0,,,,
1967-10-03,0.0,0.0,,,,0.1,,,,
1967-10-04,0.0,0.0,,,,0.1,,,,
1967-10-05,0.0,0.0,,,,0.2,,,,
1967-10-06,0.0,0.0,,,,0.2,,,,
1967-10-07,0.0,0.0,,,,0.2,,,,
1967-10-08,0.0,0.0,,,,0.5,,,,
1967-10-09,0.0,0.0,,,,0.5,,,,
1967-10-10,0.0,0.0,,,,0.6,,,,
1967-10-11,0.0,0.0,,,,0.7,,,,
1967-10-12,0.0,0.0,,,,0.8,,,,
1967-10-13,0.0,0.0,,,,0.8,,,,
1967-10-14,0.0,0.0,,,,1.0,,,,
1967-10-15,0.0,0.0,,,,1.0,,,,
1967-10-16,0.0,0.0,,,,1.0,,,,
1967-10-17,0.0,0.0,,,,1.1,,,,
1967-10-18,0.0,0.0,,,,1.2,,,,
1967-10-19,0.0,0.0,,,,1.2,,,,
1967-10-20,0.0,0.0,,,,1.2,,,,
1967-10-21,0.0,0.0,,,,1.2,,,,
1967-10-22,0.0,0.0,,,,1.2,,,,
1967-10-23,0.0,0.0,,,,1.2,,,,
1967-10-24,0.0,0.0,,,,1.2,,,,
1967-10-25,0.0,0.0,,,,1.3,,,,
1967-10-26,0.0,0.0,,,,1.3,,,,
1967-10-27,0.0,0.0,,,,1.4,,,,
1967-10-28,0.0,0.0,,,,1.4,,,,
1967-10-29,0.0,0.0,,,,1.6,,,,
1967-10-30,0.0,0.0,,,,1.6,,,,
1967-10-31,0.0,0.0,,,,1.7,,,,
1967-11-01,0.0,0.0,,,,1.8,,,,
1967-11-02,0.0,0.0,,,,1.8,,,,
1967-11-03,0.0,0.0,,,,1.8,,,,
1967-11-04,0.0,0.1,0,,,1.8,,,,
1967-11-05,0.0,0.2,0,,,1.8,,,,
1967-11-06,0.0,0.2,0,,,1.8,,,,
1967-11-07,0.0,0.1,0,,,1.8,,,,
1967-11-08,0.0,0.2,0,,,1.8,,,,
1967-11-09,0.0,0.3,0,,,2.0,,,,
1967-11-10,0.0,0.4,0,,,2.0,,,,
1967-11-11,0.0,0.4,0,,,2.0,,,,
1967-11-12,0.0,0.4,0,,,2.2,,,,
1967-11-13,0.0,0.4,0,,,2.3,,,,
1967-11-14,0.0,0.4,0,,,2.4,,,,
1967-11-15,0.0,0.5,0,,,2.5,,,,
1967-11-16,0.0,0.4,0,,,2.6,,,,
1967-11-17,0.0,0.5,0,,,2.6,,,,
1967-11-18,0.0,0.6,0,,,2.8,,,,
1967-11-19,0.0,0.6,0,,,2.8,,,,
1967-11-20,0.0,0.6,0,,,2.9,,,,
1967-11-21,0.0,0.6,0,,,3.0,,,,
1967-11-22,0.0,0.6,0,,,3.2,,,,
1967-11-23,0.1,0.6,17,,,3.2,,,,
1967-11-24,0.1,0.6,17,,,3.2,,,,
1967-11-25,0.5,0.6,83,,,3.3,,,,
1967-11-26,0.6,0.6,100,,,3.4,,,,
1967-11-27,0.6,0.7,86,,,3.4,,,,
1967-11-28,0.6,0.8,75,,,3.6,,,,
1967-11-29,0.7,0.8,88,,,3.6,,,,
1967-11-30,0.7,0.8,88,,,3.6,,,,
1967-12-01,0.7,0.9,78,,,3.6,,,,
1967-12-02,0.6,1.0,60,,,3.6,,,,
1967-12-03,0.5,1.0,50,,,3.6,,,,
1967-12-04,0.4,1.0,40,,,3.8,,,,
1967-12-05,0.2,1.2,17,,,4.0,,,,
1967-12-06,0.1,1.2,8,,,4.0,,,,
1967-12-07,0.0,1.2,0,,,4.0,,,,
1967-12-08,0.0,1.2,0,,,4.0,,,,
1967-12-09,0.0,1.2,0,,,4.0,,,,
