,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,0.0079247,0.000417883,0.0111192,0.000453857,0,0.000965917,3.70109e-05,0,0.000561195,0.0384769,0.22609,0.000357885,0.000469878,0.000299998,0.000651591,0.0101429,0.0286484,0.0664973,0.0173365,0,0,0,0,
2,1981-10-02,0.00161812,0.000559129,0.00310984,0.000485651,0,0.00153371,5.05687e-05,0,0.000199336,0.0545752,0.0398759,0.000458973,0.000569403,0.000670486,0.000291156,0.0016433,0.00407679,0.0093908,0.0146905,0,0,0,0,
3,1981-10-03,0.0641944,0.00564937,0.079774,0.00663423,0,0.0146524,0.0013043,0.0126194,0.244937,0.306555,0.954169,0.0137267,0.00280744,0.00578451,0.0138747,0.0821083,0.186517,0.416314,0.186175,0,0,0,0,
4,1981-10-04,0.0219932,0.0211758,0.0192283,0.0214146,0,0.00964682,0.001061,0.228975,0.0614134,0,0.225309,0.047614,0.0155873,0.00882016,0.0185364,0.0288195,0.02521,0.0446126,0.0130749,0,0,0,0,
5,1981-10-05,0.0303611,0.0241901,0.00996612,0.0259567,0,0.00840538,0.000952945,0.275411,0.583444,0,0.199485,0.0484784,0.0195994,0.013318,0.0181853,0.0473917,0.0438173,0.0384374,0.0107625,0,0,0,0,
6,1981-10-06,0.0117526,0.018893,0.0122641,0.0185909,0,0.00891524,0.000964914,0.132303,0.0210402,0,0.265106,0.0314307,0.0172421,0.0115035,0.00469735,0.0164468,0.0278436,0.0576945,0.0107814,0,0,0,0,
7,1981-10-07,0.0312431,0.0172608,0.0284231,0.0179895,0,0.0164359,0.00139748,0.0180619,0.0335389,0.398271,0.378442,0.0193415,0.0179355,0.0137833,0.0132617,0.0367437,0.0509559,0.126664,0.167422,0,0,0,0,
8,1981-10-08,0.0703355,0.0325,0.0714447,0.0338125,0,0.0212163,0.0115165,0.319525,0.11677,0.700915,0.89987,0.0445287,0.0293068,0.0317183,0.0240777,0.0806891,0.156661,0.368964,0.316559,0,0,0,0,
9,1981-10-09,0.0670919,0.0478184,0.0700988,0.0483028,0,0.0118265,0.0116037,0.456256,0.115238,0.345546,0.837908,0.108399,0.0348094,0.0246617,0.0226107,0.0791069,0.180631,0.42968,0.0821087,0,0,0,0,
10,1981-10-10,0.0359615,0.0462184,0.0298139,0.0463038,0,0.0153813,0.0131243,0.439234,0.109583,0,0.439422,0.110978,0.0315545,0.023375,0.0173944,0.0491485,0.0759359,0.144936,0.0282802,0,0,0,0,
11,1981-10-11,0.0627535,0.0525895,0.105301,0.0497542,0,0.0507331,0.0422888,0.364897,0.490926,0,0.570077,0.103776,0.0371389,0.0448046,0.0334899,0.09864,0.150207,0.21547,0.0734714,0,0,0,0,
12,1981-10-12,0.264737,0.0971582,0.250502,0.104416,0,0.0203532,0.099711,0.654157,2.19045,0,0.583472,0.209389,0.0707563,0.0594552,0.0946834,0.420203,0.714257,0.815357,0.397224,0,0,0,0,
13,1981-10-13,0.229344,0.0875712,0.122305,0.100879,0,0.0289296,0.0976545,0.184094,4.23951,0,0.321478,0.141799,0.0764968,0.0661673,0.136643,0.390959,0.30662,0.212442,0.0988468,0,0,0,0,
14,1981-10-14,0.0602359,0.164758,0.145342,0.154479,0,0.0357582,0.213913,0.397902,0.0766365,0,0.706173,0.275822,0.155665,0.0778407,0.0150598,0.0914193,0.205621,0.335598,0.163975,0,0,0,0,
15,1981-10-15,0.063967,0.185186,0.221317,0.16884,0,0.240022,0.214707,0.469335,0.100415,0,0.595959,0.293339,0.163739,0.111345,0.115404,0.069644,0.112405,0.172812,0.0621513,0,0,0,0,
16,1981-10-16,0.0743032,0.221127,0.247954,0.202606,0,0.273561,0.289137,0.465005,0.0725426,0,0.752182,0.343464,0.19448,0.145937,0.144079,0.0792595,0.0921185,0.125405,0.0234057,0,0,0,0,
17,1981-10-17,0.0871341,0.234463,0.235016,0.217868,0,0.244122,0.321104,0.452614,0.14805,1.00123,0.668639,0.369955,0.20456,0.160661,0.15009,0.0828159,0.0857142,0.169026,0.0212969,0,0,0,0,
18,1981-10-18,0.0944893,0.213367,0.219574,0.199542,0,0.44345,0.247229,0.391548,0.0618849,0.935405,0.675509,0.315072,0.197458,0.137019,0.122196,0.129754,0.11881,0.243806,0.0527202,0,0,0,0,
19,1981-10-19,0.0855516,0.249123,0.214485,0.233359,0,0.419688,0.338249,0.416785,0.0632092,0,0.628697,0.370271,0.232794,0.154438,0.126913,0.118143,0.0768005,0.112363,0.0179577,0,0,0,0,
20,1981-10-20,0.176562,0.285041,0.342772,0.268497,0,0.55366,0.350962,0.46627,0.428829,1.17355,0.927682,0.427224,0.259104,0.187526,0.179628,0.242988,0.388969,0.464451,0.196179,0,0,0,0,
21,1981-10-21,0.260548,0.167197,0.478003,0.154234,0,0.277092,0.212168,0.288134,0.519259,0,1.57163,0.253712,0.154565,0.0985738,0.0659573,0.406194,1.00576,1.50023,0.72987,0,0,0,0,
22,1981-10-22,0.0247575,0.148852,0.108211,0.137975,0,0.259561,0.174467,0.270808,0.0459961,0,0.421309,0.244629,0.136885,0.0764681,0.0349395,0.0496593,0.073535,0.0883615,0.0214784,0,0,0,0,
23,1981-10-23,0.0274181,0.114736,0.122224,0.10436,0,0.269938,0.164,0.170358,0.0554571,0,0.508895,0.165721,0.106231,0.0776666,0.0406248,0.054836,0.0822993,0.100901,0.0250906,0,0,0,0,
24,1981-10-24,0.0399455,0.131305,0.128574,0.121246,0,0.307957,0.173917,0.171295,0.538028,0,0.413056,0.175138,0.126329,0.0919538,0.0478219,0.0810131,0.102258,0.101327,0.0282954,0,0,0,0,
25,1981-10-25,0.047956,0.143975,0.156613,0.132233,0,0.290196,0.129023,0.213732,0.252219,0,0.476179,0.209288,0.136126,0.0896392,0.049972,0.0786497,0.144483,0.179291,0.0830469,0,0,0,0,
26,1981-10-26,0.0669549,0.176779,0.20859,0.162039,0,0.432957,0.289284,0.152327,0.0797184,0,0.559862,0.242841,0.162018,0.132793,0.113838,0.0787132,0.112934,0.128607,0.0341076,0,0,0,0,
27,1981-10-27,0.140424,0.240349,0.274752,0.226525,0,0.667493,0.301019,0.383344,0.107534,0.496788,0.504941,0.362206,0.217644,0.154423,0.165607,0.177349,0.288753,0.362644,0.0799304,0,0,0,0,
28,1981-10-28,0.163748,0.238504,0.274599,0.227381,0,0.675399,0.340407,0.336462,0.285313,0.777346,0.607269,0.330217,0.220245,0.175818,0.189172,0.198634,0.275991,0.288528,0.082141,0,0,0,0,
29,1981-10-29,0.171891,0.264937,0.274242,0.25378,0,0.69914,0.332199,0.372553,0.104644,1.29955,1.01411,0.383113,0.248666,0.170645,0.176921,0.21598,0.31876,0.377909,0.108076,0,0,0,0,
30,1981-10-30,0.145163,0.216777,0.207752,0.209411,0,0.582159,0.184197,0.453468,0.515126,0,0.669434,0.33579,0.198156,0.130878,0.164249,0.167962,0.198108,0.21669,0.0761293,0,0,0,0,
31,1981-10-31,0.0942001,0.176718,0.163889,0.168414,0,0.371864,0.214893,0.347871,0.0663455,0,0.422275,0.264523,0.164089,0.112284,0.107546,0.0873397,0.175279,0.251464,0.0690878,0,0,0,0,
32,1981-11-01,0.157942,0.228322,0.214891,0.221427,0,0.509314,0.275495,0.404947,0.128117,0,0.661651,0.343242,0.210019,0.151918,0.156957,0.199409,0.248589,0.23308,0.080719,0,0,0,0,
33,1981-11-02,0.236896,0.265071,0.30548,0.258856,0,0.756111,0.311674,0.428763,0.196725,1.35612,1.03295,0.382905,0.245196,0.186715,0.203348,0.338695,0.4001,0.41814,0.184507,0,0,0,0,
34,1981-11-03,0.23932,0.268428,0.296885,0.26301,0,0.754721,0.347086,0.393317,0.20197,1.34813,1.02401,0.381948,0.2517,0.189911,0.194253,0.32837,0.411362,0.475715,0.243879,0,0,0,0,
35,1981-11-04,0.211981,0.253049,0.254504,0.248325,0,0.631421,0.3184,0.361787,0.186933,1.29888,0.977,0.362246,0.239438,0.172018,0.173968,0.282196,0.340435,0.396947,0.266919,0,0,0,0,
36,1981-11-05,0.138963,0.202663,0.183683,0.196938,0,0.553305,0.252945,0.301092,0.131588,1.1493,0.868768,0.294367,0.194922,0.124997,0.108517,0.162921,0.327931,0.352457,0.144407,0,0,0,0,
37,1981-11-06,0.1168,0.163153,0.179644,0.1567,0,0.473829,0.211067,0.113879,0.111978,1.12898,0.859074,0.227848,0.155365,0.113673,0.0951263,0.138953,0.267995,0.327277,0.13003,0,0,0,0,
38,1981-11-07,0.11685,0.173874,0.174406,0.167427,0,0.473596,0.221094,0.116619,0.12211,1.18728,0.904135,0.236307,0.166958,0.126348,0.102181,0.133567,0.20946,0.305388,0.131713,0,0,0,0,
39,1981-11-08,0.099349,0.157829,0.13978,0.15262,0,0.43121,0.214141,0.106975,0.128824,0,0.716564,0.219052,0.153135,0.10597,0.080073,0.123858,0.200311,0.221363,0.122648,0,0,0,0,
40,1981-11-09,0.0826965,0.13516,0.150643,0.128097,0,0.397439,0.2018,0.125964,0.110039,0,0.697733,0.185976,0.128214,0.0987775,0.0721428,0.109379,0.164599,0.205017,0.111173,0,0,0,0,
41,1981-11-10,0.148169,0.167454,0.195031,0.163206,0,0.502114,0.239828,0.103821,0.109584,1.11042,0.8143,0.221679,0.160761,0.127966,0.111394,0.207072,0.281601,0.326088,0.137756,0,0,0,0,
42,1981-11-11,0.1205,0.161556,0.167019,0.156531,0,0.440018,0.209674,0.106435,0.124201,1.26138,0.908311,0.219476,0.155848,0.115481,0.101207,0.139436,0.216856,0.299045,0.131981,0,0,0,0,
43,1981-11-12,0.145215,0.171013,0.178211,0.167572,0,0.37268,0.232243,0.110908,0.11653,1.0425,0.713101,0.231118,0.166483,0.120348,0.102797,0.201195,0.229798,0.273558,0.368602,0,0,0,0,
44,1981-11-13,0.171832,0.186769,0.198128,0.184234,0,0.392875,0.252704,0.130761,0.306469,1.00173,0.70266,0.259124,0.18052,0.128118,0.119677,0.224631,0.300128,0.343671,0.414471,0,0,0,0,
45,1981-11-14,0.149377,0.176377,0.15797,0.174733,0,0.389214,0.197081,0.357121,0.516578,0,0.689354,0.268699,0.163877,0.1174,0.104372,0.216428,0.284492,0.225395,0.113913,0,0,0,0,
46,1981-11-15,0.223393,0.171235,0.303328,0.167128,0,0.271717,0.225376,0.330973,0.481584,0,2.52863,0.263125,0.159691,0.104653,0.0938849,0.278067,0.64054,1.40841,0.283315,0,0,0,0,
47,1981-11-16,0.0930903,0.136838,0.131587,0.132319,0,0.248747,0.185946,0.258961,0.0825539,0,0.363593,0.208986,0.126677,0.0880691,0.081587,0.101938,0.173991,0.26297,0.0724725,0,0,0,0,
48,1981-11-17,0.121824,0.158087,0.156679,0.154119,0,0.302553,0.197695,0.274106,0.412904,0,0.507187,0.234567,0.148032,0.102669,0.0977467,0.167703,0.218045,0.287729,0.111574,0,0,0,0,
