,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0.087889,0.129845,0.156041,0.123154,0,0.233968,0.153953,0.300172,0.378349,0.242846,0.582726,0.201374,0.117194,0.0835571,0.0776909,0.121045,0.187419,0.263415,0.106183,0,0,0,0,
61,1981-11,0.127106,0.149636,0.183978,0.144513,0,0.334382,0.19895,0.209801,0.25376,0.396158,0.913333,0.217587,0.140419,0.10201,0.0818312,0.172801,0.30618,0.443842,0.185678,0,0,0,0,
92,1981-12,0.0577722,0.0694439,0.106783,0.0653151,0,0.110861,0.0926014,0.105033,0.1786,0,0.745804,0.101852,0.0640411,0.0488104,0.0263521,0.077526,0.194447,0.386188,0.096608,0,0,0,0,
123,1982-01,0.0992477,0.0251477,0.143681,0.0245294,0,0.0734941,0.0391076,0.027233,0.433319,0,1.15622,0.0310269,0.0230213,0.0226712,0.0214863,0.13997,0.352286,0.701398,0.18167,0,0,0,0,
151,1982-02,0.0964552,0.105215,0.189446,0.0978751,0,0.311117,0.167693,0.108922,0.446789,0,1.10825,0.132535,0.0969202,0.0942363,0.0504756,0.14219,0.331311,0.626075,0.152457,0,0,0,0,
182,1982-03,0.16306,0.260928,0.33247,0.244534,0,0.760321,0.521079,0.200759,0.749065,0,1.42731,0.358461,0.240876,0.210963,0.0882053,0.268092,0.542019,0.834284,0.281367,0,0,0,0,
212,1982-04,0.229315,1.01585,0.50878,0.965739,0,1.18299,1.65913,0.697759,1.14546,0,1.40724,1.36072,0.991077,0.744523,0.231008,0.315153,0.526071,0.704761,0.211752,0,0,0,0,
243,1982-05,1.59498,2.14154,1.01682,2.165,0,2.02492,2.22964,0.963676,2.59957,0,1.75774,2.20094,2.15881,2.10017,1.82453,1.39252,0.8861,0.801381,0.229564,0,0,0,0,
273,1982-06,2.78675,3.01934,1.36898,3.11773,0,2.31328,3.01051,1.18583,2.93123,0.292064,2.75161,3.13503,3.09225,2.8132,2.74482,2.72632,2.46286,1.78412,0.597872,0,0,0,0,
304,1982-07,2.83003,2.50512,1.13038,2.64535,0,1.79968,2.13571,0.610881,3.3083,2.10562,2.4277,2.46899,2.57745,2.48634,2.63581,2.72358,2.36744,1.98492,1.74199,0,0,0,0,
335,1982-08,1.86979,1.31696,0.616268,1.43194,0,0.586457,1.13307,0.298401,2.95252,1.16399,1.15522,1.05866,1.3894,1.47924,1.7208,1.80589,1.60252,1.03328,0.947082,0,0,0,0,
365,1982-09,1.02122,0.571328,0.586591,0.620725,0,0.82961,0.462653,0.155385,1.78687,1.08549,1.35615,0.437339,0.591004,0.661415,0.940134,1.04598,1.17475,0.961565,0.759336,0,0,0,0,
396,1982-10,0.494481,0.645258,0.431759,0.644427,0,0.981181,0.692295,0.474297,0.725606,0.35432,1.01607,0.691751,0.626332,0.664733,0.548982,0.461393,0.492798,0.453583,0.236107,0,0,0,0,
426,1982-11,0.10338,0.199805,0.19429,0.189387,0,0.313725,0.228568,0.114372,0.181559,0,1.05097,0.228791,0.193443,0.192581,0.0604839,0.143139,0.333115,0.550692,0.183218,0,0,0,0,
457,1982-12,0.0829349,0.108027,0.142538,0.102603,0,0.170915,0.134411,0.0348952,0.277437,0,0.977507,0.115828,0.103578,0.117328,0.0320118,0.120339,0.284596,0.511714,0.148132,0,0,0,0,
488,1983-01,0.0816651,0.136951,0.166252,0.128529,0,0.237261,0.208954,0.0800176,0.285153,0,1.0282,0.144484,0.12974,0.153468,0.0417292,0.120414,0.288943,0.526403,0.143372,0,0,0,0,
516,1983-02,0.0831562,0.272118,0.196077,0.256624,0,0.380807,0.44626,0.181498,0.385272,0,0.70029,0.32035,0.248722,0.300739,0.0898938,0.113541,0.200784,0.293051,0.0924749,0,0,0,0,
547,1983-03,0.148316,0.500419,0.316632,0.474726,0,0.715323,0.787655,0.367461,0.721657,0,1.00534,0.653707,0.467777,0.450842,0.132865,0.21701,0.365741,0.52626,0.177352,0,0,0,0,
577,1983-04,0.519258,1.25443,0.59956,1.22124,0,1.04656,1.40914,0.4059,1.29432,0,1.36599,1.39515,1.23596,1.20503,0.650386,0.404951,0.480034,0.669872,0.197475,0,0,0,0,
608,1983-05,1.94457,1.79274,1.04224,1.86643,0,2.22174,2.23554,0.69726,2.35906,0,1.95251,1.8378,1.75587,1.92774,2.08964,1.74445,1.17913,1.0816,0.308979,0,0,0,0,
638,1983-06,2.58578,1.54274,1.15028,1.68954,0,1.88156,1.85521,0.646149,2.84158,1.34858,2.70006,1.57267,1.51335,1.67089,2.37692,2.57956,2.5089,2.06704,1.166,0,0,0,0,
669,1983-07,3.01561,2.3954,1.52811,2.53052,0,2.37837,3.20669,1.08708,3.52821,2.47704,3.25189,2.13367,2.53693,2.31727,2.82173,3.08218,2.87874,2.505,2.0916,0,0,0,0,
700,1983-08,2.07145,1.32775,0.743489,1.45539,0,0.539426,1.92845,0.381252,3.17802,1.27909,1.1461,1.07324,1.40434,1.46156,1.8084,2.23745,1.91505,1.33283,1.2267,0,0,0,0,
