,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0,0.279306,1.00378,0.19326,0,0.00269648,0,0.515663,0,0,0,0.23241,0.2793,0.33073,0.0792681,0,0,0,0,0,0,0,0,
61,1981-11,0,0.491802,1.96712,0.325225,0,3.1748e-05,0,0.655811,0,0,0,0.368591,0.498785,0.646269,0.0667479,0,0,0,0,0,0,0,0,
92,1981-12,0,0.772955,3.83295,0.455218,0,0,0,0.904813,0,0,0,0.484981,0.733467,1.26929,0.176897,0,0,0,0,0,0,0,0,
123,1982-01,0,0.787919,3.98419,0.458218,0,0,0,0.683764,0,0,0,0.447038,0.752703,1.34817,0.153863,0,0,0,0,0,0,0,0,
151,1982-02,0,1.02876,6.0905,0.531244,0,0.503295,0.0525249,0.714111,0,0,0,0.584355,0.909296,2.01581,0.202178,0,0,0,0,0,0,0,0,
182,1982-03,0,1.42493,9.43286,0.660591,0,0.644468,0.0817475,0.545329,0,0,0,0.790635,1.19444,3.11798,0.137793,0,0,0,0,0,0,0,0,
212,1982-04,0,2.67103,18.8898,1.14714,0,0.570999,0.207125,0.354616,0,0,0,1.29043,2.14379,6.45085,0.184972,0,0,0,0,0,0,0,0,
243,1982-05,0,7.32072,56.2319,2.80762,0,0.880684,0.190609,0.49197,0,0,0,2.06014,5.20516,19.2865,5.29463,0,0,0,0,0,0,0,0,
273,1982-06,0,10.365,69.516,4.73718,0,0.17908,0.100433,0.130964,0,0,0,2.51928,8.44896,24.7838,6.05397,0,0,0,0,0,0,0,0,
304,1982-07,0,10.516,75.7641,4.41121,0,0.12542,0,0.0352023,0,0,0,2.26489,8.27753,26.6862,5.85066,0,0,0,0,0,0,0,0,
335,1982-08,0,9.0485,73.2186,3.18992,0,0,0,0.033733,0,0,0,1.96743,6.54399,24.861,5.22524,0,0,0,0,0,0,0,0,
365,1982-09,0,8.71824,75.698,2.68477,0,0.00451505,0.000115892,0.190317,0,0,0,1.9416,5.83758,25.5809,4.94423,0,0,0,0,0,0,0,0,
396,1982-10,0,10.1234,88.3516,3.08334,0,0.593239,0.00218112,0.827993,0,0,0,2.44919,6.67719,30.0183,5.36865,0,0,0,0,0,0,0,0,
426,1982-11,0,10.1774,89.4607,3.0516,0,0.305527,0.000792399,0.21389,0,0,0,2.33423,6.71757,30.3242,5.38537,0,0,0,0,0,0,0,0,
457,1982-12,0,10.1684,89.5822,3.03376,0,0.126918,0.012174,0.00137044,0,0,0,2.27276,6.73455,30.3278,5.30906,0,0,0,0,0,0,0,0,
488,1983-01,0,10.3187,91.3472,3.04539,0,0.00255601,0.0338432,0.422404,0,0,0,2.28603,6.81976,30.849,5.39215,0,0,0,0,0,0,0,0,
516,1983-02,0,10.6036,94.1953,3.10481,0,0,0.0649314,0.463504,0,0,0,2.39032,7.01186,31.734,5.35793,0,0,0,0,0,0,0,0,
547,1983-03,0,11.555,101.61,3.4617,0,0.171327,0.171127,0.745759,0,0,0,3.01413,7.66945,34.2765,5.28414,0,0,0,0,0,0,0,0,
577,1983-04,0,12.3944,110.4,3.60684,0,0.291657,0.0348571,0.0684338,0,0,0,2.77013,8.05324,37.7577,6.00868,0,0,0,0,0,0,0,0,
608,1983-05,0,13.302,120.122,3.74737,0,0.709665,0.160803,0.288922,0,0,0,2.91493,8.35582,40.8628,7.83123,0,0,0,0,0,0,0,0,
638,1983-06,0,13.0327,120.177,3.48385,0,0.0027572,0,0.0538991,0,0,0,2.74666,8.07718,40.6368,7.51289,0,0,0,0,0,0,0,0,
669,1983-07,0,14.0692,126.495,4.0054,0,0.026741,0.10727,0.0691391,0,0,0,2.82237,9.1889,42.8143,7.33393,0,0,0,0,0,0,0,0,
700,1983-08,0,13.9684,127.408,3.83939,0,0,0,0.00961062,0,0,0,2.65493,9.08033,43.0265,6.92443,0,0,0,0,0,0,0,0,
730,1983-09,0,13.6199,125.205,3.67006,0,0.0143883,0,0.107167,0,0,0,2.56656,8.7925,42.3663,6.42892,0,0,0,0,0,0,0,0,
761,1983-10,0,13.7222,126.349,3.68216,0,0.0603182,0,0.43413,0,0,0,2.60681,8.81841,42.9163,6.25652,0,0,0,0,0,0,0,0,
791,1983-11,0,13.6165,125.451,3.64825,0,0,0,0.0720224,0,0,0,2.53597,8.75854,42.6579,6.13708,0,0,0,0,0,0,0,0,
822,1983-12,0,13.5849,125.188,3.63758,0,0,0,0,0,0,0,2.51611,8.73971,42.5918,6.08235,0,0,0,0,0,0,0,0,
853,1984-01,0,13.7907,127.615,3.65266,0,0.467673,0.00098071,0.288823,0,0,0,2.55657,8.84976,43.2772,6.2406,0,0,0,0,0,0,0,0,
882,1984-02,0,13.9735,129.171,3.71126,0,0.200437,0.0502489,0.881716,0,0,0,2.71952,8.99105,43.7326,6.09095,0,0,0,0,0,0,0,0,
913,1984-03,0,14.0173,129.286,3.74479,0,0,0.0438544,0.267674,0,0,0,2.76122,9.10027,43.6128,5.98384,0,0,0,0,0,0,0,0,
943,1984-04,0,15.7899,146.786,4.13151,0,0.414863,0.00480604,0.246291,0,0,0,2.90881,10.0241,49.7627,7.50382,0,0,0,0,0,0,0,0,
974,1984-05,0,16.4977,157.293,4.02045,0,0.825656,0,0.023762,0,0,0,2.75979,10.0609,52.976,9.34979,0,0,0,0,0,0,0,0,
1004,1984-06,0,16.8699,161.256,4.07982,0,0.0984309,0,0.13595,0,0,0,2.88119,10.2973,54.2362,9.23992,0,0,0,0,0,0,0,0,
1035,1984-07,0,16.6164,159.659,3.95626,0,0.00049367,0,0,0,0,0,2.83987,10.0952,53.7292,8.8297,0,0,0,0,0,0,0,0,
1066,1984-08,0,16.407,158.966,3.80689,0,0,0,0.00479856,0,0,0,2.71585,9.85229,53.8529,8.17565,0,0,0,0,0,0,0,0,
1096,1984-09,0,16.6212,162.574,3.74088,0,0.0121846,0,0.273892,0,0,0,2.73912,9.92883,54.9435,7.92335,0,0,0,0,0,0,0,0,
1127,1984-10,0,17.1407,169.391,3.72684,0,0.839845,0,0.465733,0,0,0,2.76134,10.1651,57.0626,8.04818,0,0,0,0,0,0,0,0,
1157,1984-11,0,17.4644,172.698,3.78909,0,0.898452,0.000364935,0.860251,0,0,0,2.89213,10.3708,58.0624,8.07552,0,0,0,0,0,0,0,0,
1188,1984-12,0,17.5008,172.624,3.82973,0,0.320194,0.00251838,1.18474,0,0,0,2.98587,10.4226,58.0405,7.96104,0,0,0,0,0,0,0,0,
1219,1985-01,0,17.4368,172.431,3.78268,0,0.203232,0,0.414028,0,0,0,2.84792,10.3919,57.9584,7.93064,0,0,0,0,0,0,0,0,
1247,1985-02,0,17.3933,172.288,3.75159,0,0.0721976,0,0,0,0,0,2.78433,10.3617,57.8825,7.93997,0,0,0,0,0,0,0,0,
1278,1985-03,0,17.5082,172.839,3.82064,0,0,0.00227578,0.488253,0,0,0,3.02918,10.4664,57.9142,7.89256,0,0,0,0,0,0,0,0,
1308,1985-04,0,19.1052,182.386,4.6383,0,0.925191,0.281323,0.451793,0,0,0,3.45131,11.8047,61.331,9.26199,0,0,0,0,0,0,0,0,
