observed_data_series,filename,DIAG_KLING_GUPTA,DIAG_PCT_BIAS,
HYDROGRAPH_ALL[113827],input/obs/st_06167500.rvt,0.537237,-9.85059,
HYDROGRAPH_ALL[113637],input/obs/st_06139500.rvt,0.304881,55.1429,
HYDROGRAPH_ALL[114285],input/obs/st_06149500.rvt,0.306581,19.1256,
HYDROGRAPH_ALL[113991],input/obs/st_06142400.rvt,0.660909,17.2495,
HYDROGRAPH_ALL[114428],input/obs/st_06164000.rvt,0.222511,-28.9238,
HYDROGRAPH_ALL[114261],input/obs/st_06145500.rvt,0.208034,-14.8136,
HYDROGRAPH_ALL[114115],input/obs/st_06133000.rvt,0.521624,-2.89474,
HYDROGRAPH_ALL[114119],input/obs/st_06133500.rvt,0.238416,-50.8953,
HYDROGRAPH_ALL[113850],input/obs/st_06154550.rvt,0.283703,-14.6261,
HYDROGRAPH_ALL[113884],input/obs/st_06171000.rvt,0.0861007,12.4002,
HYDROGRAPH_ALL[114036],input/obs/st_06135000.rvt,0.52658,-17.0552,
