time,date,hour,precip [mm/day],sub113496 [m3/s],sub113500 [m3/s],sub113518 [m3/s],sub113637 [m3/s],sub113637 (observed) [m3/s],sub113827 [m3/s],sub113827 (observed) [m3/s],sub113850 [m3/s],sub113850 (observed) [m3/s],sub113884 [m3/s],sub113884 (observed) [m3/s],sub113981 [m3/s],sub113991 [m3/s],sub113991 (observed) [m3/s],sub114036 [m3/s],sub114036 (observed) [m3/s],sub114115 [m3/s],sub114115 (observed) [m3/s],sub114119 [m3/s],sub114119 (observed) [m3/s],sub114215 [m3/s],sub114261 [m3/s],sub114261 (observed) [m3/s],sub114285 [m3/s],sub114285 (observed) [m3/s],sub114383 [m3/s],sub114428 [m3/s],sub114428 (observed) [m3/s]
0,1981-10-01,00:00:00.00,---,0.127389,1.12613,1.92833,6.17478,,6.97578,,2.87837,,5.37605,,0.39817,0.556377,,10.3043,,1.67079,,0.233981,,2.33137,3.35882,,3.64055,,0.519036,9.11183,
1,1981-10-02,00:00:00.00,0.0329675,0.0660231,0.642987,1.21917,5.00914,,6.08834,,2.07309,0.0628633,4.33955,0,0.256312,0.406087,,9.03682,0.931623,1.19777,0.198218,0.11699,0.679603,1.39395,2.53609,0,2.87662,0,0.314872,8.23939,0
2,1981-10-03,00:00:00.00,0.00120115,0.00277368,0.102017,0.307245,2.76021,,4.18274,,0.824978,0.0628633,2.36272,0,0.101521,0.153491,,6.14016,1.34788,0.440958,0.240693,0,0.651286,0.262013,1.15322,0,1.52326,0,0.0553542,6.20382,0
3,1981-10-04,00:00:00.00,0.178194,0.00199693,0.0835891,0.105084,1.09261,,2.39819,,0.234593,0.0628633,0.937002,0,0.0442939,0.0255929,,3.32139,1.6537,0.0854553,0.246356,0,0.651286,0.0353463,0.362507,0,0.605717,0,5.38641e-06,4.069,0
4,1981-10-05,00:00:00.00,0.378544,0.00284027,0.118751,0.110254,0.31041,,1.17195,,0.0508731,0.0628633,0.279148,0,1.58608e-05,8.67039e-16,,1.49038,2.01332,0.00712783,0.243524,0,0.679603,0.00160145,0.075428,0,0.165115,0,1.60597e-05,2.42027,0
5,1981-10-06,00:00:00.00,0.438819,0.016159,0.112213,0.113062,0.0656999,,0.483635,,0.00992035,0.0628633,0.0626853,0,7.90492e-05,9.57829e-14,,0.566741,2.33614,0.000262063,0.243524,0,0.679603,2.91071e-13,0.0117917,0,0.0290959,0,3.07802e-05,1.30754,0
6,1981-10-07,00:00:00.00,0.0819601,0.0159505,0.0976655,0.101713,0.0106051,,0.164021,,0.00478413,0.0631465,0.0105781,0,0.000140146,4.30044e-13,,0.181662,2.56267,2.04144e-06,0.246356,0,0.679603,6.35999e-13,0.0055297,0,0.00289425,0,5.14107e-05,0.624656,0
7,1981-10-08,00:00:00.00,0.00747939,0.0302008,0.124832,0.117925,0.0012629,,0.0447379,,0.00347034,0.0631465,0.00136237,0,0.000262386,7.51705e-13,,0.0482615,2.57966,0,0.263346,0,0.679603,6.96579e-13,0.0076693,0,0.000118634,0,4.85369e-05,0.259164,0
8,1981-10-09,00:00:00.00,0.522986,0.0319343,0.201365,0.180116,0.000130985,,0.00987791,,0.00192512,0.0631465,0.000137976,0,0.000287943,8.3818e-13,,0.0226693,2.59665,0,0.283168,0,0.679603,6.77421e-13,0.0085282,0,3.40091e-13,0,2.83587e-05,0.0940485,0
9,1981-10-10,00:00:00.00,0.75811,0.0055384,0.218993,0.212229,9.7724e-05,,0.0251347,,0.00161343,0.0631465,0.000461222,0,0.000162904,9.66472e-13,,0.035886,2.60798,0,0.311485,0,0.651286,7.33219e-13,0.00655157,0,4.0045e-13,0,2.21578e-05,0.0320925,0
10,1981-10-11,00:00:00.00,0.197406,0.00472744,0.179779,0.18978,0.000179768,,0.0637316,,0.00231022,0.0631465,0.000928718,0,0.0001189,1.74216e-12,,0.0427702,2.68726,0,0.311485,0,0.679603,8.01942e-13,0.00391677,0,4.98411e-13,0,2.54524e-05,0.0129613,0
11,1981-10-12,00:00:00.00,0.949277,0.0037384,0.145131,0.155477,0.000232242,,0.0721727,,0.00414599,0.0631465,0.000817518,0,0.000128007,1.20984e-11,,0.070498,2.82318,0,0.368118,0,0.70792,8.46926e-13,0.00224793,0,6.84847e-13,0,8.03652e-05,0.00768399,0
12,1981-10-13,00:00:00.00,5.72862,0.00340924,0.119944,0.129428,0.00667988,,0.142126,,0.0483301,0.0843841,0.00138494,0,0.000301004,1.57476e-09,,0.673692,2.91946,0,0.396435,0,0.736237,1.34558e-11,0.00356907,0,1.27289e-11,0,0.00370907,0.0113079,0
13,1981-10-14,00:00:00.00,15.6124,0.0031889,0.100642,0.110681,0.0207888,,0.92941,,0.28347,0.0843841,0.0242574,0.00254851,0.0112145,3.76247e-08,,1.44161,2.92796,0,0.396435,0,0.70792,3.33831e-08,0.0253668,0,1.8347e-09,0,0.00965858,0.156367,0
14,1981-10-15,00:00:00.00,0.309584,0.00299408,0.0845096,0.0945002,0.0261953,,1.69509,,0.320162,0.0843841,0.0415092,0,0.0495288,7.12506e-08,,1.41346,3.08653,0,0.481386,0,0.764554,7.04219e-08,0.0327926,0,3.72575e-09,0,0.00772019,0.44279,0
15,1981-10-16,00:00:00.00,0.0740204,0.00287774,0.0713147,0.0807671,0.0179219,,1.21609,,0.104065,0.0843841,0.0276136,0,0.0490924,4.1478e-07,,0.918669,2.94495,0,0.538019,0,0.736237,7.26247e-08,0.0159485,0,3.98745e-09,0,0.00299663,0.550105,0
16,1981-10-17,00:00:00.00,0.0261248,0.00266725,0.0597585,0.0685404,0.0085177,,0.44478,,0.0325408,0.0843841,0.0137305,0,0.0162133,2.37817e-06,,0.477814,2.76655,0,0.62297,0,0.70792,7.28946e-08,0.0221949,0,5.32876e-09,0,0.00362565,0.402934,0
17,1981-10-18,00:00:00.00,0.106136,0.00246108,0.0498663,0.0577458,0.00419449,,0.149963,,0.0166639,0.0843841,0.00655303,0,0.0159516,4.35709e-06,,0.233757,2.60515,0,0.736237,0,0.679603,7.38919e-08,0.0560029,0,7.42652e-09,0,0.00514187,0.241036,0
18,1981-10-19,00:00:00.00,0.0290308,0.00232749,0.0434032,0.0499069,0.00324232,,0.0708347,,0.00910725,0.105622,0.00320041,0,0.0242386,4.66871e-06,,0.121389,2.41542,0,0.764554,0,0.679603,7.17576e-08,0.089863,0,8.64346e-09,0,0.00470748,0.174014,0
19,1981-10-20,00:00:00.00,0.000659353,0.0021617,0.0386767,0.044226,0.00294064,,0.0391994,,0.0048347,0.398701,0.00161059,0,0.0246312,4.52899e-06,,0.0656589,2.1719,0,0.679603,0,0.679603,6.89672e-08,0.0920123,0,8.87197e-09,0,0.00264212,0.153276,0
20,1981-10-21,00:00:00.00,0.704724,0.0021004,0.0341562,0.0400137,0.00349586,,0.0213682,,0.00534348,0.368968,0.000846478,0,0.0148761,7.03296e-06,,0.0396883,2.07562,0,0.651286,0,0.70792,6.63568e-08,0.0674014,0,9.3337e-09,0,0.00638158,0.133188,0
21,1981-10-22,00:00:00.00,0.773561,0.00263033,0.0342223,0.0418812,0.00581031,,0.0119148,,0.0079132,0.19482,0.000467004,0,0.021472,1.07212e-05,,0.0262212,1.94536,0,0.594653,0,0.70792,6.38685e-08,0.0396847,0,9.91078e-09,0,0.0146674,0.104174,0
22,1981-10-23,00:00:00.00,0.0411612,0.00305389,0.0351268,0.0452987,0.00705277,,0.00691231,,0.00669902,0.109869,0.000262577,0.000283168,0.0739028,1.15882e-05,,0.0152598,1.86891,0,0.538019,0,0.70792,6.13306e-08,0.0217838,0,9.95602e-09,0,0.0114902,0.0725309,0
