,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0.0223813,0.00815779,0.135132,0.00017514,0,0,0,0,0,0,0,0,0,0,0.0918,0.0846421,0,0,0,0,0,0,0,
61,1981-11,0.0630078,0.0267532,0.427007,0.00062568,0,0,0,0,0,0,0,0,0,0,0.301642,0.233486,0,0,0,0,0,0,0,
92,1981-12,0.12748,0.0561658,0.894004,0.000959642,0,0,0,0,0,0,0,0,0,0,0.629223,0.483478,0,0,0,0,0,0,0,
123,1982-01,0.198181,0.0864164,1.37087,0.00205568,0,0,0,0,0,0,0,0,0,0,0.974738,0.731218,0,0,0,0,0,0,0,
151,1982-02,0.289535,0.132228,2.08292,0.00271324,0,0,0,0,0,0,0,0,0,0,1.48653,1.07878,0,0,0,0,0,0,0,
182,1982-03,0.425034,0.189341,2.97505,0.0056276,0,0,0,0,0,0,0,0,0,0,2.14852,1.52414,0,0,0,0,0,0,0,
212,1982-04,0.494817,0.237992,3.65585,0.00895468,0,0,0,0,0,0,0,0,0,0,2.72208,1.68743,0,0,0,0,0,0,0,
243,1982-05,0.372605,0.260602,3.80674,0.00561356,0,0,0,0,0,0,0,0,0,0,2.93278,1.31152,0,0,0,0,0,0,0,
273,1982-06,0.297966,0.289912,4.09006,0.00407836,0,0,0,0,0,0,0,0,0,0,3.23787,1.06366,0,0,0,0,0,0,0,
304,1982-07,0.209619,0.327955,4.47017,0.00210998,0,0,0,0,0,0,0,0,0,0,3.63414,0.77575,0,0,0,0,0,0,0,
335,1982-08,0.0524714,0.338245,4.39022,0.000396397,0,0,0,0,0,0,0,0,0,0,3.72782,0.198951,0,0,0,0,0,0,0,
365,1982-09,0.0360699,0.354905,4.57429,0.000709915,0,0,0,0,0,0,0,0,0,0,3.91479,0.120938,0,0,0,0,0,0,0,
396,1982-10,0.112014,0.38227,4.99874,0.00357107,0,0,0,0,0,0,0,0,0,0,4.24871,0.326131,0,0,0,0,0,0,0,
426,1982-11,0.155217,0.407191,5.39204,0.00275056,0,0,0,0,0,0,0,0,0,0,4.51366,0.531435,0,0,0,0,0,0,0,
457,1982-12,0.22548,0.439391,5.90547,0.00291606,0,0,0,0,0,0,0,0,0,0,4.87,0.81106,0,0,0,0,0,0,0,
488,1983-01,0.291178,0.477511,6.47828,0.00378941,0,0,0,0,0,0,0,0,0,0,5.29959,1.04652,0,0,0,0,0,0,0,
516,1983-02,0.255013,0.496181,6.67442,0.00290818,0,0,0,0,0,0,0,0,0,0,5.49503,0.931396,0,0,0,0,0,0,0,
547,1983-03,0.250352,0.518594,6.95245,0.00299175,0,0,0,0,0,0,0,0,0,0,5.74271,0.909425,0,0,0,0,0,0,0,
577,1983-04,0.239231,0.55053,7.35829,0.00187764,0,0,0,0,0,0,0,0,0,0,6.08152,0.904529,0,0,0,0,0,0,0,
608,1983-05,0.217782,0.57974,7.70971,0.00108333,0,0,0,0,0,0,0,0,0,0,6.39397,0.846074,0,0,0,0,0,0,0,
638,1983-06,0.15385,0.611739,8.03533,0.000148658,0,0,0,0,0,0,0,0,0,0,6.73552,0.62001,0,0,0,0,0,0,0,
669,1983-07,0.178315,0.656287,8.6021,0.00303597,0,0,0,0,0,0,0,0,0,0,7.25889,0.615,0,0,0,0,0,0,0,
700,1983-08,0.0511127,0.675217,8.69144,0.000234707,0,0,0,0,0,0,0,0,0,0,7.43525,0.199278,0,0,0,0,0,0,0,
730,1983-09,0.0420458,0.690473,8.87256,0.000242319,0,0,0,0,0,0,0,0,0,0,7.60327,0.162146,0,0,0,0,0,0,0,
761,1983-10,0.0643373,0.712376,9.18842,8.36312e-06,0,0,0,0,0,0,0,0,0,0,7.8417,0.261224,0,0,0,0,0,0,0,
791,1983-11,0.0790253,0.728405,9.41193,0.000231664,0,0,0,0,0,0,0,0,0,0,8.02069,0.312851,0,0,0,0,0,0,0,
822,1983-12,0.172358,0.755052,9.85859,0.00267966,0,0,0,0,0,0,0,0,0,0,8.34199,0.603678,0,0,0,0,0,0,0,
853,1984-01,0.196567,0.770082,10.0736,0.0036516,0,0,0,0,0,0,0,0,0,0,8.51854,0.666919,0,0,0,0,0,0,0,
882,1984-02,0.189045,0.784019,10.2405,0.00363183,0,0,0,0,0,0,0,0,0,0,8.67174,0.63706,0,0,0,0,0,0,0,
913,1984-03,0.197334,0.80282,10.492,0.00369511,0,0,0,0,0,0,0,0,0,0,8.87942,0.668464,0,0,0,0,0,0,0,
943,1984-04,0.202982,0.829762,10.8614,0.00240648,0,0,0,0,0,0,0,0,0,0,9.16125,0.738044,0,0,0,0,0,0,0,
974,1984-05,0.270175,0.881882,11.635,0.00178413,0,0,0,0,0,0,0,0,0,0,9.72786,1.0337,0,0,0,0,0,0,0,
1004,1984-06,0.221614,0.915534,11.9969,0.00142483,0,0,0,0,0,0,0,0,0,0,10.0942,0.849297,0,0,0,0,0,0,0,
1035,1984-07,0.0826324,0.934047,12.0437,0.000112047,0,0,0,0,0,0,0,0,0,0,10.283,0.331842,0,0,0,0,0,0,0,
1066,1984-08,0.027408,0.956618,12.2496,0.000109115,0,0,0,0,0,0,0,0,0,0,10.5314,0.107464,0,0,0,0,0,0,0,
1096,1984-09,0.0946536,0.986638,12.6902,0.00333231,0,0,0,0,0,0,0,0,0,0,10.8987,0.264201,0,0,0,0,0,0,0,
1127,1984-10,0.191332,1.02476,13.3016,0.00478193,0,0,0,0,0,0,0,0,0,0,11.3349,0.604745,0,0,0,0,0,0,0,
1157,1984-11,0.343227,1.08338,14.2539,0.00645144,0,0,0,0,0,0,0,0,0,0,11.9993,1.16179,0,0,0,0,0,0,0,
1188,1984-12,0.310115,1.10199,14.4613,0.00500323,0,0,0,0,0,0,0,0,0,0,12.1876,1.07959,0,0,0,0,0,0,0,
1219,1985-01,0.31822,1.13102,14.8453,0.00489456,0,0,0,0,0,0,0,0,0,0,12.5059,1.11646,0,0,0,0,0,0,0,
