,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0.81175,0.989519,0.630763,0.996616,0.275567,0.909341,1.2401,0.728148,0.554885,1.02408,0.886335,1.03479,1.00322,0.92452,0.850875,0.767414,0.665578,0.493904,0.509086,0.338992,0.380562,0.237243,0,
61,1981-11,0.454989,0.561182,0.347181,0.565398,0.141085,0.53675,0.769493,0.427204,0.232599,0.785471,0.578915,0.602893,0.567807,0.509854,0.475834,0.426463,0.374291,0.257202,0.304626,0.228507,0.264283,0.134589,0,
92,1981-12,0.16584,0.197576,0.134089,0.198801,0.0527811,0.217685,0.307063,0.167766,0.0609728,0.38595,0.270743,0.230724,0.194207,0.175045,0.172352,0.159476,0.148378,0.0945174,0.12325,0.0967909,0.108443,0.0470736,0,
123,1982-01,0.0922558,0.0719437,0.0751361,0.073985,0.0401721,0.139484,0.126797,0.0517175,0.0479638,0.262428,0.203996,0.0725104,0.069895,0.0766051,0.0914925,0.0957427,0.0942491,0.0697171,0.0855606,0.0624795,0.0677595,0.0332883,0,
151,1982-02,0.287268,0.260191,0.213566,0.266752,0.0932616,0.372073,0.347122,0.171894,0.206102,0.420325,0.365744,0.247765,0.260216,0.275927,0.293579,0.293944,0.257095,0.181279,0.187515,0.122343,0.133852,0.0784489,0,
182,1982-03,0.565999,0.550516,0.45765,0.559263,0.235493,0.77664,0.773166,0.388984,0.466817,0.786001,0.79786,0.557592,0.54984,0.550093,0.565955,0.585221,0.559285,0.439558,0.41764,0.259075,0.260815,0.179532,0,
212,1982-04,1.09496,1.45552,0.863072,1.45972,0.404496,1.2746,1.89215,1.10584,1.08186,0.982086,1.17,1.64186,1.46565,1.26052,1.11821,1.09207,0.975541,0.760879,0.669703,0.425067,0.385617,0.293034,0,
243,1982-05,2.11654,2.48327,1.63598,2.506,0.672726,2.12346,2.99751,1.64896,2.02489,1.32112,1.69589,2.48654,2.53019,2.4024,2.22462,2.03637,1.70203,1.30046,1.10082,0.723382,0.630615,0.469132,0,
273,1982-06,3.03925,3.45827,2.3385,3.49568,1.08103,3.30534,4.05926,2.30248,2.89076,2.05409,2.71957,3.5065,3.51942,3.30437,3.11871,2.97868,2.63422,2.1208,1.80107,1.23146,1.07672,0.823432,0,
304,1982-07,3.30072,3.87484,2.48495,3.91521,1.32709,3.4923,4.46771,2.6506,3.29372,2.4324,3.10685,3.98917,3.94593,3.64463,3.35527,3.21746,2.87273,2.38792,2.07676,1.41948,1.25667,1.02811,0,
335,1982-08,2.95742,3.55547,2.16617,3.5931,1.21713,3.21926,4.15712,2.44694,2.95252,2.61514,3.04384,3.70997,3.62924,3.26349,2.99595,2.89185,2.58456,2.11553,1.9151,1.29107,1.21057,0.984335,0,
365,1982-09,1.77786,2.2161,1.3017,2.23585,0.680052,1.91663,2.59904,1.56171,1.53502,1.81002,1.84732,2.29866,2.27061,2.02516,1.82888,1.70803,1.48401,1.17725,1.11966,0.733668,0.750712,0.55274,0,
396,1982-10,0.857173,1.0297,0.671036,1.03738,0.293994,1.01285,1.30082,0.728002,0.55076,1.15174,0.989172,1.04467,1.05108,0.97445,0.892898,0.82102,0.720336,0.535318,0.553898,0.370524,0.415825,0.255063,0,
426,1982-11,0.264152,0.339806,0.204728,0.341498,0.0852633,0.34524,0.464864,0.263632,0.138989,0.526481,0.40054,0.372174,0.345806,0.293208,0.271481,0.261107,0.234726,0.159223,0.186426,0.135112,0.151017,0.074243,0,
