,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,0.0687832,0.0287892,0.0955929,0.0282422,1.27696,0.0230887,0.00226815,0,0.00275641,1.06232,1.03634,0.021847,0.0345398,0.0198729,0.0101961,0.04452,0.144505,0.384939,0.514089,0.532416,0.488603,1.09353,0,
2,1981-10-02,0.00150454,0.00116575,0.00339501,0.00103561,0,0.0142124,0.000596883,0,0.000867556,0,0,0.00122805,0.00103147,0.00161177,0.000754727,0.00252276,0.00443903,0.00169085,0.000823305,0.000340163,0.000130668,0,0,
3,1981-10-03,0.601834,0.128772,0.581666,0.14775,6.77686,0.221952,0.0682104,0.270924,1.20179,4.52074,4.40922,0.232835,0.0927833,0.137242,0.199174,0.536279,1.05984,2.38897,3.06342,3.1523,2.92319,6.1842,0,
4,1981-10-04,0.239768,0.394734,0.0442239,0.40377,0.1305,0.00122865,0.000921338,0.363271,0.270768,0.339516,0.331335,0.438574,0.418037,0.302297,0.224495,0.255763,0.0947224,0.0673112,0.0891757,0.0911007,0.0906205,0.207806,0,
5,1981-10-05,0.588515,0.421356,0.0115312,0.47106,0,0.0507965,0.000242457,0.619649,2.9625,0.000129091,0,0.406612,0.429013,0.466035,0.482313,0.768136,0.301937,0.0293683,0.0137734,0.0105215,0.0136005,0,0,
6,1981-10-06,0.0344925,0.0874977,0.00524158,0.0877489,0.00574873,0.025694,0.00159479,0.00419192,0.000573734,0.0246055,0.0239198,0.186632,0.0602423,0.0727821,0.031856,0.0293144,0.0186382,0.0154621,0.0147879,0.0151445,0.0156184,0.00116101,0,
7,1981-10-07,0.0315803,0.00466775,0.0349068,0.00540986,0.367998,0.0244606,0.00421363,0.00110314,0.000150983,0.351862,0.343123,0.00683928,0.00371383,0.00525634,0.0112612,0.0180219,0.0608114,0.14413,0.187119,0.187718,0.180436,0.447519,0,
8,1981-10-08,0.614638,0.512294,0.358424,0.535403,5.32709,0.0426682,0.479134,0.460703,0.394654,2.62081,2.55633,0.320115,0.472983,0.945814,0.409058,0.386248,0.667152,1.54898,1.97325,2.05602,1.87832,4.48388,0,
9,1981-10-09,0.472294,0.791454,0.574835,0.771939,7.31815,0.0752776,0.284046,2.12421,0.453337,4.36476,4.25802,2.24214,0.517135,0.0740658,0.0944758,0.356999,0.920618,2.41461,3.16343,3.25152,3.02489,7.06424,0,
