,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,0.0284185,3.26142e-06,0.0397886,0.000193898,0.717852,0,0,0,0,0,0,0,0,0,0.00116592,0.00306902,0.0250539,0.0556444,0.387125,0.515132,0.474328,1.09353,0,
2,1981-10-02,0.000121832,0,0.000105217,5.74941e-06,0.0221757,0,0,0,0,0,0,0,0,0,0,0,0.000447294,0.000460847,0,0,0,0.895547,0,
3,1981-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1981-10-04,0.0341191,1.32422e-05,0.011664,0.00296614,0.128339,0.000263604,0,0,0,0.339516,0,0,0,0,0.00230253,0.0905245,0.0461459,0.0576458,0.0847588,0.0911007,0.0906205,0.207806,0,
5,1981-10-05,0.0974093,0.00834363,0.0195625,0.0175042,0.128339,0.0510601,0,0,0,0.339645,0,0,0,0.0477343,0.0556971,0.170567,0.0722328,0.0817312,0.096361,0.101622,0.104221,0.207806,0,
6,1981-10-06,0.128773,0.0113615,0.0239921,0.0236003,0.134087,0.0767541,0,0,0.000461605,0.364251,0.019245,0.000837845,0.00350356,0.0519617,0.0842693,0.198275,0.08908,0.0948192,0.109517,0.116767,0.119839,0.208967,0,
7,1981-10-07,0.00323282,0,0,0.000363226,0,0,0,0,0,0,0,0,0,0,0.00224724,0.00602722,0,3.64256e-06,0,0,0,0,0,
8,1981-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1981-10-09,0.148564,0,0.2212,1.49036e-06,7.31815,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60885,3.20153,3.02489,7.06424,0,
10,1981-10-10,0.210396,0.000637363,0.31296,0.000638823,9.42724,0,0,0,0,1.06791,0,0,0.000661599,0.00141433,2.60331e-06,6.79113e-05,0.0147764,0.504714,3.45342,4.06028,3.77838,8.68622,0,
11,1981-10-11,1.29274,0.133406,0.657854,0.224092,9.98368,0,0,0,1.99491,1.6739,0.472304,0.0808282,0.127614,0.19064,0.902855,1.09727,1.1979,1.43542,4.36547,5.03978,4.80179,9.26097,0,
12,1981-10-12,4.70065,0.153099,3.41605,0.41784,11.7258,7.02011,0,0,0,4.65377,2.79188,0,0,0.297421,3.84932,5.53353,6.60434,6.19511,8.88818,9.85645,9.79532,11.3949,0,
