,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,4.59956,7.70716,5.08062,7.55619,0.0637163,4.0637,9.98569,9.06936,6.93486,1.3083,2.71575,9.06576,7.50974,7.12289,5.63615,3.79795,2.10345,0.786204,0.109926,-0.808145,-1.44964,-1.17918,0,
2,1981-10-02,8.59151,10.083,8.93176,10.0023,3.09464,8.406,13.5766,10.0907,9.7561,4.32851,5.73171,10.4598,9.90618,10.4068,9.5612,7.915,6.5441,4.91985,3.99605,3.16117,2.49009,1.49124,0,
3,1981-10-03,11.039,13.5598,11.2315,13.4523,4.20499,10.0592,15.4972,16.7797,13.2499,5.35965,6.7619,15.5513,13.1946,12.6496,12.2179,10.4133,8.691,6.60181,5.53103,4.67294,3.94254,2.70587,0,
4,1981-10-04,4.1729,9.7185,3.88015,9.53595,-0.64195,2.55258,10.6148,12.9403,6.98843,0.43622,1.84347,11.8553,9.87783,7.35382,5.04136,3.15776,1.86516,0.629386,-0.168165,-1.00428,-1.78087,-2.27121,0,
5,1981-10-05,1.8867,6.54949,1.72809,6.38939,-2.29271,0.561246,8.43934,8.37823,2.47854,-0.72611,0.691173,8.09779,6.67436,4.8669,2.81256,0.824996,-0.231528,-1.45354,-2.2523,-3.14702,-4.05384,-3.87169,0,
6,1981-10-06,1.34005,4.46536,2.12518,4.29079,-2.10874,1.66008,6.66148,5.93428,2.22471,-0.749575,0.664745,5.99466,4.37552,3.22546,2.14033,0.774982,0.252689,-0.905472,-1.79453,-2.75657,-3.66764,-3.94143,0,
7,1981-10-07,8.65725,8.89597,9.96033,8.78884,4.68372,8.48527,12.2424,8.53281,9.03917,5.29336,6.69672,8.91061,8.6808,9.4825,9.63652,8.17548,7.37924,6.22024,5.31827,4.46439,3.68641,2.37131,0,
8,1981-10-08,12.2693,13.8142,12.459,13.7429,6.39655,12.3772,18.0112,14.9432,15.7453,8.21072,9.61187,14.7811,13.7804,12.8943,12.8908,12.2993,11.1946,9.38867,8.34768,7.53999,6.83272,4.97991,0,
9,1981-10-09,6.80116,10.049,6.9359,9.91903,-1.96399,4.94086,11.8459,10.1379,8.54353,0.199454,1.60178,10.5796,10.1522,9.39121,8.16732,6.09719,3.79666,1.39661,0.175691,-0.670189,-1.37164,-3.28456,0,
10,1981-10-10,4.26985,6.56448,4.47608,6.46424,-2.62944,4.01768,9.1722,7.63851,5.77628,-0.727044,0.674968,7.28906,6.54254,6.03843,5.06204,4.06787,2.5616,0.48209,-0.694554,-1.57447,-2.28945,-4.04155,0,
11,1981-10-11,2.27242,4.11248,2.69215,4.0129,-1.88195,2.72388,5.22422,4.70207,2.74314,-0.335449,1.07209,4.79456,4.09643,3.50608,2.8847,2.20058,1.20166,-0.100781,-1.02503,-1.86988,-2.66478,-3.68114,0,
12,1981-10-12,-0.251177,5.08783,-0.560783,4.91417,-3.17803,-0.599633,5.65218,9.03263,3.50343,-2.39463,-0.985158,8.65244,5.07576,1.52545,0.155297,-0.519844,-1.47628,-2.35308,-3.09749,-3.8947,-4.74833,-4.99397,0,
13,1981-10-13,-2.45759,-0.105574,-1.28968,-0.280492,-4.90116,-1.60654,0.0399563,0.904799,-4.0095,-4.20271,-2.79414,0.909737,-0.122892,-1.12699,-1.84475,-2.56754,-3.06732,-3.86784,-4.68503,-5.54214,-6.41913,-6.87051,0,
14,1981-10-14,-2.6499,-0.596104,-1.98339,-0.722183,-3.67886,-1.42806,-0.452262,0.472211,-1.68948,-2.18533,-0.772931,0.420595,-0.528582,-1.7934,-2.87621,-2.06279,-1.95043,-2.4734,-3.19655,-4.01472,-4.91039,-5.46146,0,
15,1981-10-15,2.74732,1.57712,4.74081,1.46988,-0.907398,3.68425,4.12835,2.45547,0.725368,0.957777,2.36425,0.968379,1.16585,3.39328,3.48082,2.68129,2.22679,1.25881,0.352734,-0.492894,-1.28312,-2.42708,0,
16,1981-10-16,3.73402,3.73924,6.08955,3.56132,1.03211,3.72962,7.83289,3.77166,1.28037,2.85272,4.25996,3.65675,3.26957,5.28047,4.68293,3.00382,2.61392,2.3573,1.73858,0.956202,0.217081,-0.488338,0,
17,1981-10-17,4.83148,5.26481,6.36502,5.1331,0.821237,3.01733,9.1412,5.34976,2.41586,2.31064,3.71965,5.84959,4.6442,6.61616,6.1716,3.67833,2.42352,1.56742,0.968002,0.194426,-0.513177,-0.647956,0,
18,1981-10-18,3.70262,4.33597,5.68439,4.16307,0.6458,4.66315,5.44003,5.25361,0.789941,1.08582,2.494,4.95775,3.95648,4.6825,4.74887,3.60715,2.68529,1.38197,0.565109,-0.318129,-1.15343,-1.4579,0,
19,1981-10-19,3.56029,4.63643,5.48992,4.45112,0.65653,3.85115,8.14272,5.57403,0.756871,0.279901,1.68325,5.41675,4.21166,5.00367,4.96725,2.72983,1.88863,0.588167,-0.0757438,-0.912819,-1.64339,-1.79117,0,
20,1981-10-20,6.07425,8.0323,7.15296,7.87865,0.823095,6.22406,10.4024,10.3753,4.44876,2.36605,3.76474,9.48923,7.52792,8.10741,7.24132,5.2817,4.26334,3.02126,2.06965,1.2634,0.800015,-1.12869,0,
21,1981-10-21,-1.76552,0.902657,-0.897955,0.738736,-4.43879,-2.22552,2.56144,2.97207,-2.02238,-4.15345,-2.74458,2.50122,0.743514,-0.296745,-0.900181,-2.1504,-3.14805,-3.97934,-4.73066,-5.54308,-6.43903,-6.6081,0,
