,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,-2.8635,-0.52216,-1.72937,-0.694134,-2.28535,-1.49033,2.00998,0.536968,-0.261737,-1.02146,0.388736,1.22242,-0.891751,-0.96147,-2.64702,-3.3135,-3.84237,-3.91153,-4.08629,-4.95789,-5.48003,-4.57039,0,
2,1981-10-02,1.21655,0.567724,2.80591,0.471741,-1.53341,4.85794,6.36884,-0.373254,1.42345,0.27369,1.67334,0.364997,0.289044,1.69715,1.34215,1.16363,1.65682,0.744037,-0.0963416,-0.920995,-1.47307,-2.99743,0,
3,1981-10-03,3.87535,4.93852,3.62946,4.91784,-0.520834,3.45729,8.78458,4.32313,5.47798,1.29763,2.70426,5.64084,4.69233,5.14588,4.53553,2.96473,2.48473,1.40792,0.578017,-0.234431,-0.957138,-1.97331,0,
4,1981-10-04,-3.16145,2.90077,-3.45015,2.69885,-4.34409,-4.4058,4.09073,6.28181,1.21753,-2.76919,-1.34476,6.02789,2.92327,-0.0241927,-2.61562,-4.51821,-4.99416,-5.27797,-5.60775,-6.50059,-7.47413,-6.24086,0,
5,1981-10-05,-5.98813,-0.411338,-6.69908,-0.563485,-6.43104,-7.76259,1.77905,2.578,-2.40731,-4.81283,-3.37676,2.49747,-0.379571,-3.14957,-5.59876,-7.15026,-7.42049,-7.83939,-8.18173,-9.11773,-10.335,-8.32678,0,
6,1981-10-06,-8.07262,-4.47265,-7.94325,-4.61525,-7.23599,-8.34407,-2.44732,-2.92822,-4.86698,-5.76599,-4.33094,-2.21166,-4.57093,-6.36852,-7.83579,-8.69265,-8.34207,-8.5905,-8.97755,-9.99463,-11.1987,-9.22415,0,
7,1981-10-07,0.662119,-0.24131,3.10159,-0.392041,0.563354,1.35811,-0.342932,-1.36784,-3.01105,1.31019,2.71499,-0.258821,-0.663581,0.894486,1.33163,0.0499269,0.533556,1.19361,0.720913,-0.0161566,-0.790648,-1.99277,0,
8,1981-10-08,4.72249,5.49137,5.26557,5.42201,-0.252931,4.57601,8.99835,4.82327,7.27275,1.97642,3.38153,5.93327,5.42768,5.23603,5.33036,4.44694,3.74736,2.34178,1.44505,0.652636,-0.0514665,-1.34168,0,
9,1981-10-09,1.8131,3.81979,2.4458,3.698,-3.09911,2.11102,6.09424,4.22183,2.72539,-1.20114,0.204723,4.90855,3.75036,2.9514,2.41115,1.66002,0.881605,-0.744397,-1.73816,-2.59124,-3.32933,-4.5698,0,
10,1981-10-10,-2.56169,-1.71873,-1.54399,-1.82663,-4.1077,-0.275492,0.881379,-0.653318,-2.84656,-2.57835,-1.17071,-0.818784,-1.84309,-2.25547,-2.75283,-1.8797,-2.06899,-2.85399,-3.55952,-4.43398,-5.15041,-5.97466,0,
11,1981-10-11,-5.76922,-4.61312,-5.07788,-4.70794,-7.1598,-4.22891,-1.27602,-4.54234,-6.68163,-5.74675,-4.34057,-4.33105,-4.721,-4.30544,-5.80859,-5.94732,-5.85693,-6.35346,-6.9378,-7.72276,-8.32285,-8.70508,0,
12,1981-10-12,-2.24243,1.40194,-1.73393,1.22908,-5.53937,-1.9184,1.89458,3.45734,-1.97716,-4.16948,-2.76105,3.15275,1.45709,-0.502223,-1.63363,-2.64743,-3.31837,-4.1039,-4.91534,-5.73369,-6.54953,-7.14816,0,
13,1981-10-13,-5.69177,-1.46739,-5.68119,-1.62407,-7.23808,-5.39514,-0.711631,0.235415,-4.75933,-5.87495,-4.45778,0.10341,-1.1513,-3.87854,-5.67843,-5.60049,-5.82056,-6.37442,-7.08332,-7.93893,-8.94623,-8.88806,0,
14,1981-10-14,-11.4656,-7.45244,-11.2124,-7.61964,-9.16884,-10.6341,-8.7065,-4.24323,-6.00535,-7.79619,-6.36309,-4.84766,-7.307,-10.4087,-12.2499,-11.0951,-10.0681,-9.8363,-10.2226,-11.1394,-12.365,-10.7933,0,
15,1981-10-15,-2.43222,-4.23442,-0.388279,-4.32214,-3.80852,-1.41281,0.422891,-5.45243,-5.4271,-1.05597,0.349307,-5.9783,-4.45995,-1.69186,-1.97427,-2.98261,-2.57834,-1.87859,-2.38301,-3.03908,-3.69038,-4.75957,0,
16,1981-10-16,-4.829,-3.06479,-2.68244,-3.29186,-3.18331,-5.30895,2.42701,-3.64791,-6.5451,-1.28623,0.132274,-3.61291,-2.93965,-2.59818,-4.65243,-5.57851,-5.09614,-3.89688,-3.91729,-4.53636,-5.32179,-4.23942,0,
17,1981-10-17,-3.0683,-1.45506,-1.80723,-1.60974,-3.06815,-5.40315,2.56145,-1.59794,-5.29084,-1.44168,-0.0254943,-0.981898,-1.58589,-1.33079,-2.21738,-5.03083,-4.80653,-3.96199,-3.95981,-4.55252,-5.24557,-3.77589,0,
18,1981-10-18,-2.51218,-1.58544,-0.793293,-1.74934,-3.12813,-2.30495,-0.0210712,-1.24614,-5.57394,-2.85087,-1.43605,-0.672998,-1.88588,-1.81967,-1.61214,-2.75346,-3.157,-3.86671,-4.36301,-5.16224,-6.07198,-5.62975,0,
19,1981-10-19,-6.01204,-5.73952,-4.33573,-5.87606,-4.69075,-4.17048,-2.39334,-5.25831,-8.76125,-4.71626,-3.30722,-4.73453,-6.22381,-5.43188,-5.53382,-6.25794,-5.69334,-6.20058,-6.50533,-7.29655,-7.98768,-7.09287,0,
20,1981-10-20,-2.33939,0.155999,-0.690712,-0.0604851,-3.75519,-0.326273,3.39176,2.8747,-6.28021,-2.59243,-1.19028,1.17644,-0.134864,0.12235,-1.85745,-2.62193,-2.53324,-2.90284,-3.54027,-4.39639,-4.86507,-6.15423,0,
21,1981-10-21,-7.1614,-4.49039,-6.51562,-4.63768,-8.73595,-6.65579,-2.34336,-2.96125,-5.0706,-7.34354,-5.92891,-2.69956,-4.60493,-5.97121,-6.87502,-7.28847,-7.29197,-7.93386,-8.58181,-9.42994,-10.3703,-10.3734,0,
22,1981-10-22,-13.2218,-10.9178,-12.6245,-11.0479,-10.949,-11.9551,-8.25213,-8.62389,-13.5268,-9.70847,-8.29413,-8.93091,-11.1242,-12.2434,-13.694,-13.2991,-11.776,-11.0377,-11.3217,-12.0554,-12.8796,-12.6298,0,
23,1981-10-23,-10.8374,-10.1152,-9.83542,-10.2175,-9.49558,-10.9146,-8.64484,-9.02424,-10.9468,-8.17995,-6.75198,-9.31983,-10.2385,-10.5995,-10.6314,-11.5118,-10.4336,-9.98053,-10.3698,-11.2106,-12.3834,-11.2907,0,
24,1981-10-24,-5.75099,-8.16741,-3.01713,-8.28453,-6.48365,-3.81049,-9.53718,-9.94073,-9.80739,-4.65565,-3.24806,-9.50775,-8.44103,-6.1622,-5.20891,-5.93364,-5.25419,-5.29533,-5.85046,-6.5737,-7.28448,-7.71442,0,
25,1981-10-25,-3.72727,-4.9028,-3.46413,-4.87928,-4.99484,-2.75336,-2.30824,-4.64387,-2.95925,-3.66463,-2.25474,-4.36484,-5.29272,-4.38282,-3.47447,-3.88088,-3.98745,-4.16828,-4.72726,-5.4732,-6.26841,-6.49429,0,
26,1981-10-26,-3.44321,-7.08477,-2.05906,-7.05484,-1.95988,-3.00557,-3.09102,-6.82633,-5.05998,-0.051087,1.35842,-6.87184,-7.90938,-4.96166,-3.3153,-4.33691,-3.02645,-1.66154,-1.79265,-2.33408,-2.97649,-3.11096,0,
27,1981-10-27,1.57272,2.71467,2.29442,2.61808,-0.489469,1.59605,5.57336,3.14875,-0.417598,1.27112,2.67784,3.62344,2.48499,2.46606,2.19082,0.904689,0.59023,0.877954,0.336558,-0.366778,-1.08389,-1.99664,0,
28,1981-10-28,-0.699409,-0.327018,1.27983,-0.490102,0.0748164,-3.36668,1.65709,0.549673,-4.61061,1.32405,2.74324,0.615491,-0.79333,-0.0189581,0.449225,-2.32014,-2.38295,-0.995621,-0.930268,-1.49227,-2.47872,-1.49822,0,
29,1981-10-29,-1.09532,-0.792242,0.0589462,-0.89052,-2.04851,-1.42937,1.20447,-0.485113,-4.30469,-0.220353,1.18548,0.422663,-1.28844,-0.644435,-0.34284,-2.41557,-1.56592,-0.753784,-1.25396,-1.89735,-2.57517,-3.58299,0,
30,1981-10-30,-2.28213,0.0816168,-1.94309,-0.0311909,-4.53455,-4.11865,1.35912,0.590542,-2.46404,-2.92698,-1.51847,0.558948,0.0866432,-0.192567,-1.40242,-3.68577,-4.45391,-4.12567,-4.50975,-5.16122,-5.85038,-5.8952,0,
31,1981-10-31,-2.54612,-0.929951,-1.47794,-1.07019,-5.55136,-1.55345,-1.39838,-0.0935381,-2.45246,-3.95215,-2.54229,0.122587,-1.09055,-1.53011,-1.91497,-2.87519,-3.36073,-4.40692,-5.16245,-5.96748,-6.70994,-7.07746,0,
32,1981-11-01,-0.0626991,-1.37931,1.13094,-1.42079,-4.93211,1.97641,2.7356,-1.60036,0.44114,-2.60944,-1.20775,-1.54314,-1.68312,-0.374669,0.127028,0.784863,0.0596879,-1.86382,-2.99541,-3.89384,-4.54004,-6.29463,0,
33,1981-11-02,4.00148,4.63659,4.47638,4.57732,-1.38708,4.19835,8.35411,4.57224,5.98803,-0.100074,1.28437,4.15248,4.56006,5.5743,4.92785,2.57384,2.44256,1.96377,1.0769,0.306319,0.0885554,-3.17782,0,
34,1981-11-03,-0.661922,1.76637,-0.546402,1.66805,-3.32071,-1.12207,3.44937,2.10644,1.8458,-1.69385,-0.306844,2.48129,1.63603,1.66664,0.11307,-2.21784,-1.82722,-1.67218,-2.24084,-2.94088,-3.01459,-6.04534,0,
