time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Net Lake Storage [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm],Glacier Liquid Storage [mm],Glacier Ice [mm],Depression [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,1981-10-01,00:00:00.00,---,---,0.718461,0,0.136893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855353,0,0,0
1,1981-10-02,00:00:00.00,0.0298603,0.00310728,0.665191,0,0.0684499,0,0.00120214,0,0.0286242,8.33085e-05,0,5.54158e-05,0,0.00297189,0,0,3.13732e-05,-8.11588e-06,0,0.766601,0.0329675,0.121719,-1.66533e-16
2,1981-10-03,00:00:00.00,0.00120115,0,0.574383,0,0.0684786,0,0.00187191,1.75681e-22,0.0308696,0.0012919,0,5.40305e-05,1.23947e-08,1.27281e-05,0,0,0.000278782,-0.000282116,0,0.676959,0.0341687,0.212563,1.66533e-16
3,1981-10-04,00:00:00.00,0.178194,0,0.513073,0,0.0685583,0,0.0136377,5.43686e-19,0.189392,0.00811131,0,0.00077381,0,0,0,0,0.000932802,-0.000780965,2.22975e-09,0.793698,0.212363,0.274018,4.996e-16
4,1981-10-05,00:00:00.00,0.374896,0.00364786,0.475433,0,0.0686113,0,0.0348988,-2.9123e-19,0.539628,0.00603228,0,0.000722418,0,0.00357639,0,0,0.000757507,-0.000780965,0.00544597,1.13433,0.590907,0.311935,1.11022e-15
5,1981-10-06,00:00:00.00,0.424654,0.0141658,0.454202,0,0.0688052,0,0.0597337,5.28468e-19,0.94859,-0.012479,9.14362e-05,0.000711626,0,0.0176486,0,0,0.000615076,-0.000780965,0.0142515,1.55139,1.02973,0.33369,5.55112e-16
6,1981-10-07,00:00:00.00,0.0759154,0.00604465,0.443146,0,0.0686588,0,0.0778807,1.67506e-21,1.01372,-0.0145088,9.14362e-05,0.000708649,0,0.0236278,0,0,0.000499426,-0.000780965,0.00867525,1.62172,1.11169,0.345318,-1.11022e-16
7,1981-10-08,00:00:00.00,0.00747939,0,0.43785,0,0.0686831,0,0.0966022,-2.10121e-20,1.02772,-0.0139002,1.47952e-06,0.00071909,7.39885e-06,0.000337742,0,0,0.000946308,-0.00141957,0.00591272,1.62346,1.11917,0.351063,1.22125e-15
8,1981-10-09,00:00:00.00,0.522986,0,0.435711,0,0.0687712,0,0.133055,1.43625e-19,1.50979,-0.00877626,1.47952e-06,0.00105926,0,0,0,0,0.00159142,-0.00214239,0.00467594,2.14374,1.64215,0.353764,0
9,1981-10-10,00:00:00.00,0.742589,0.0155209,0.43552,0,0.071049,0,0.182887,-1.24113e-19,2.16522,-0.00386495,2.394e-08,0.00181825,0,0.0155209,0,0,0.00129219,-0.00214239,0.0314358,2.89873,2.40026,0.356882,1.77636e-15
