,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,0.001732,0.000728774,0.0026214,0.000703315,0,0.000550896,4.41785e-05,0,9.43656e-05,0.0214478,0.0442761,0.000961558,0.000734969,0.000390574,0.000219647,0.0033872,0.00469674,0.0100653,0.00210547,0,0,0,
2,1981-10-02,0.000849502,0.000827639,0.00154999,0.0007836,0,0.011124,6.01788e-05,0,6.21255e-05,0.0309243,0.0279596,0.00102112,0.000840248,0.000496596,0.000294491,0.000957146,0.00210702,0.00376202,0.00707321,0,0,0,
3,1981-10-03,0.0134358,0.00424602,0.0178952,0.00424825,0,0.167408,0.0015554,0.0294613,0.0440282,0.0510255,0.148584,0.00726681,0.002877,0.00352693,0.00810602,0.0199565,0.0286866,0.0597447,0.0272093,0,0,0,
4,1981-10-04,0.00950763,0.0142002,0.0101024,0.0140157,0,0.00216283,0.00126143,0.0458935,0.0188939,0,0.0890428,0.0143805,0.0154749,0.00906752,0.00869132,0.0126045,0.0123594,0.0219865,0.00645416,0,0,0,
5,1981-10-05,0.0115677,0.0184107,0.00654597,0.0185177,0,0.00162358,0.00113001,0.0699982,0.0969687,0,0.0945496,0.0203758,0.0188675,0.0154882,0.00849315,0.0134942,0.0144487,0.0200826,0.00591131,0,0,0,
6,1981-10-06,0.00737159,0.0164222,0.00823044,0.0160848,0,0.00174843,0.00114201,0.0668917,0.0256774,0,0.149144,0.0226849,0.0155066,0.0118483,0.00351134,0.0107557,0.0151891,0.028561,0.00624412,0,0,0,
7,1981-10-07,0.0224417,0.0197024,0.0198575,0.0199529,0,0.0817388,0.00164951,0.0727047,0.0475062,0.196579,0.186436,0.02547,0.0181283,0.0165122,0.0180536,0.0265219,0.0274117,0.0531994,0.0696677,0,0,0,
8,1981-10-08,0.0389233,0.0372519,0.0275678,0.0380291,0,0.0370395,0.0137085,0.128652,0.068443,0.289989,0.301063,0.0373092,0.0379647,0.0369436,0.026778,0.0442301,0.0498762,0.0996924,0.103761,0,0,0,
9,1981-10-09,0.0276065,0.0522588,0.0174328,0.0521386,0,0.0610198,0.0137903,0.209467,0.0519284,0,0.195853,0.092747,0.0431195,0.0291557,0.0203263,0.0319447,0.0375772,0.0700777,0.01449,0,0,0,
10,1981-10-10,0.0253528,0.0480963,0.0161885,0.0479713,0,0.0625759,0.0155754,0.236843,0.0531994,0,0.173244,0.0932796,0.0360737,0.0280971,0.0200357,0.0315112,0.0318359,0.0484127,0.010124,0,0,0,
