,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0.042186,0.171662,0.135426,0.161666,0,0.343748,0.180044,0.497403,0.0952288,0.0367481,0.21002,0.270628,0.149261,0.0982933,0.0805645,0.0469757,0.0491249,0.0604812,0.0229956,0,0,0,
61,1981-11,0.0734248,0.203467,0.134885,0.195483,0,0.355728,0.230035,0.544557,0.144391,0.0890778,0.286152,0.307213,0.183616,0.118231,0.0984325,0.0842519,0.0917723,0.0978453,0.0359104,0,0,0,
92,1981-12,0.015537,0.0905832,0.0785911,0.0842145,0,0.146357,0.104845,0.214171,0.0563448,0,0.172625,0.136146,0.0804638,0.0586223,0.0262173,0.0224337,0.0389797,0.0615652,0.0184797,0,0,0,
123,1982-01,0.0166679,0.0305409,0.0513247,0.0278951,0,0.0953684,0.0447186,0.0662124,0.0803475,0,0.197816,0.0386097,0.0276397,0.0273169,0.0136067,0.025033,0.0545991,0.10207,0.0275888,0,0,0,
151,1982-02,0.023842,0.122115,0.141131,0.111558,0,0.254437,0.197917,0.219709,0.166239,0,0.24109,0.1622,0.10931,0.103721,0.0456468,0.040996,0.0661398,0.0999727,0.0279347,0,0,0,
182,1982-03,0.0478243,0.266457,0.271165,0.245372,0,0.531822,0.544975,0.496842,0.362303,0,0.439071,0.403519,0.227685,0.196946,0.085322,0.0895258,0.12579,0.163672,0.0517606,0,0,0,
212,1982-04,0.0962207,0.928028,0.536521,0.873947,0,0.869335,1.43592,1.40984,0.827129,0,0.461065,1.29808,0.858226,0.657811,0.191402,0.140547,0.167071,0.18018,0.0513644,0,0,0,
243,1982-05,1.05836,2.05185,1.44737,1.996,0,1.47722,2.34946,2.10073,1.57127,0,0.805258,2.12283,2.04178,2.0216,1.47625,0.800849,0.336552,0.216549,0.0591995,0,0,0,
273,1982-06,2.02387,2.82743,2.05883,2.80011,0,2.24892,3.10642,2.90551,2.22763,0.138775,1.35429,2.97213,2.80456,2.74554,2.40544,1.85104,1.36956,0.803702,0.246021,0,0,0,
304,1982-07,2.11739,2.90736,1.96028,2.89272,0,2.32241,2.34633,3.01472,2.54138,1.23903,1.17718,3.0795,2.87714,2.82447,2.44077,1.90421,1.55705,1.15575,0.976457,0,0,0,
335,1982-08,1.257,1.99707,1.27114,1.97306,0,2.08867,1.01376,1.40031,1.82283,0.923312,0.950137,2.15628,1.94666,1.94974,1.56539,1.14676,1.02694,0.731231,0.677115,0,0,0,
365,1982-09,0.59655,0.709419,0.763712,0.695223,0,1.25384,0.420614,0.19589,0.598032,0.510336,0.644144,0.522053,0.707826,0.952193,0.810156,0.539882,0.518387,0.437439,0.360428,0,0,0,
396,1982-10,0.34061,0.750097,0.591028,0.721324,0,0.679791,0.773887,0.927648,0.421084,0.173386,0.444835,0.82894,0.717301,0.764298,0.482698,0.263824,0.231376,0.203477,0.104869,0,0,0,
426,1982-11,0.031966,0.234025,0.182501,0.218105,0,0.234158,0.240726,0.336535,0.108056,0,0.253597,0.285128,0.217099,0.222768,0.0655395,0.043418,0.0718164,0.10147,0.0372571,0,0,0,
457,1982-12,0.0181323,0.127326,0.119239,0.117462,0,0.152681,0.127365,0.185882,0.0688473,0,0.190571,0.153033,0.115018,0.134163,0.0374728,0.0292933,0.0536442,0.0823984,0.0270477,0,0,0,
488,1983-01,0.0221823,0.15721,0.158901,0.144265,0,0.23279,0.187135,0.231909,0.101025,0,0.246737,0.185965,0.140405,0.173603,0.0527495,0.0375005,0.0616112,0.0976193,0.0312258,0,0,0,
516,1983-02,0.0361274,0.296911,0.301928,0.271799,0,0.421563,0.463227,0.454822,0.241865,0,0.243089,0.371632,0.256017,0.330914,0.107288,0.0590829,0.0683691,0.097792,0.0321827,0,0,0,
547,1983-03,0.0564125,0.488252,0.434462,0.450632,0,0.60197,0.832721,0.706491,0.458251,0,0.36537,0.644062,0.430313,0.465852,0.149431,0.0954116,0.116808,0.157552,0.048733,0,0,0,
577,1983-04,0.316312,1.34544,0.910985,1.27534,0,0.996656,1.53727,1.66331,0.991478,0,0.459796,1.60082,1.28412,1.21825,0.563849,0.210841,0.189255,0.21932,0.0631415,0,0,0,
608,1983-05,1.34263,1.94978,1.63384,1.91223,0,1.67112,2.15782,2.13799,1.59059,0,0.969737,2.13361,1.84788,2.06846,1.80113,1.01007,0.509472,0.334722,0.0878777,0,0,0,
638,1983-06,1.90476,1.69552,1.64109,1.71889,0,2.09015,1.86114,0.947418,2.17766,0.723589,1.24921,1.86005,1.57712,1.8533,2.16698,1.81753,1.51801,1.08018,0.540966,0,0,0,
669,1983-07,2.23358,2.42993,2.02456,2.43714,0,2.39244,3.05258,2.57592,2.52612,1.21785,1.40406,2.14183,2.5386,2.45156,2.55971,2.05079,1.67084,1.22963,1.09413,0,0,0,
700,1983-08,1.46965,1.33703,1.08246,1.36589,0,2.47389,2.02673,1.02154,2.23823,0.784935,0.780575,0.965094,1.40786,1.55639,1.77782,1.39571,1.17143,0.77399,0.690557,0,0,0,
730,1983-09,0.454952,0.468704,0.457285,0.468126,0,1.23347,0.648258,0.348872,0.873865,0.32378,0.490715,0.385238,0.459776,0.620281,0.530473,0.437689,0.410239,0.335023,0.266109,0,0,0,
761,1983-10,0.278658,0.31579,0.371188,0.308723,0,0.713097,0.445838,0.335968,0.426907,0.33664,0.436344,0.321902,0.301093,0.343319,0.341397,0.28593,0.292701,0.233488,0.142208,0,0,0,
791,1983-11,0.0921808,0.125774,0.0927215,0.12469,0,0.285323,0.209561,0.121463,0.161434,0.0867627,0.267282,0.136116,0.121778,0.12889,0.0920436,0.0962441,0.121976,0.112593,0.0570006,0,0,0,
822,1983-12,0.00703236,0.00662934,0.0131835,0.00624922,0,0.0656076,0.0152468,0.00436082,0.0305468,0,0.095962,0.00606683,0.00590029,0.0101254,0.00343294,0.0112335,0.0241586,0.0328558,0.0119285,0,0,0,
853,1984-01,0.0171429,0.0622374,0.105718,0.0551745,0,0.184774,0.103813,0.0487404,0.0775217,0,0.179247,0.0588652,0.0577155,0.0777223,0.0346955,0.0287243,0.0538144,0.0633093,0.0253945,0,0,0,
882,1984-02,0.0307161,0.186033,0.197026,0.170565,0,0.385115,0.449174,0.375207,0.220688,0,0.271362,0.277115,0.152007,0.172717,0.0611492,0.0543592,0.0753555,0.0992287,0.0317179,0,0,0,
913,1984-03,0.047544,0.302073,0.206536,0.283975,0,0.607058,0.652047,0.735089,0.424431,0,0.313542,0.517794,0.23782,0.232661,0.0488344,0.0821773,0.120418,0.177041,0.0516271,0,0,0,
943,1984-04,0.432799,1.39013,0.871836,1.33221,0,1.01034,1.34124,1.75943,1.05627,0,0.500092,1.60507,1.35399,1.25473,0.624706,0.33985,0.217702,0.257382,0.0724364,0,0,0,
974,1984-05,1.39794,1.43204,1.47569,1.42601,0,1.49873,1.21767,0.571702,1.74326,0,0.904701,1.24845,1.40396,1.80885,1.75868,1.17261,0.555938,0.383327,0.0963686,0,0,0,
1004,1984-06,2.04292,1.71603,2.03536,1.72672,0,2.19718,1.41743,2.4883,2.28146,0.313514,1.14167,1.94242,1.57579,1.8359,2.38167,1.89042,1.56183,1.00194,0.379021,0,0,0,
1035,1984-07,1.43742,0.889776,1.7213,0.888752,0,2.68055,0.680231,0.287034,2.0534,1.20843,1.02759,0.865385,0.763434,1.22841,1.7943,1.44702,1.33913,0.989162,0.986042,0,0,0,
1066,1984-08,0.876857,0.756896,1.39234,0.727732,0,2.35971,0.285381,1.37178,0.80144,0.823316,0.841715,0.776466,0.655541,0.986098,1.15155,0.913878,0.937484,0.768092,0.704908,0,0,0,
1096,1984-09,0.549505,0.552232,0.834568,0.533947,0,1.13953,0.553978,0.531277,0.694689,0.432718,0.589653,0.48655,0.512482,0.760511,0.718246,0.490194,0.474512,0.407587,0.333857,0,0,0,
1127,1984-10,0.372621,0.336704,0.559946,0.325865,0,0.624691,0.383189,0.222314,0.427368,0.195828,0.435469,0.277658,0.305451,0.520162,0.490758,0.306335,0.283296,0.258658,0.14256,0,0,0,
1157,1984-11,0.0245124,0.159668,0.186217,0.145124,0,0.254958,0.240135,0.254188,0.123914,0,0.199601,0.201777,0.135176,0.181021,0.0654078,0.0391206,0.0622787,0.0760226,0.0282504,0,0,0,
1188,1984-12,0.0156444,0.0462901,0.0736719,0.0416286,0,0.0945119,0.0891398,0.0729773,0.0587687,0,0.161127,0.0509497,0.039735,0.0606194,0.0235271,0.0228882,0.0482227,0.0812815,0.0256911,0,0,0,
1219,1985-01,0.0109204,0.066818,0.103222,0.0591799,0,0.174931,0.106884,0.114758,0.0483496,0,0.106571,0.074053,0.056539,0.0883465,0.0350503,0.019516,0.0282265,0.0331644,0.0156665,0,0,0,
1247,1985-02,0.0202562,0.113943,0.184989,0.100501,0,0.228502,0.157682,0.142091,0.140225,0,0.139644,0.125328,0.0963878,0.153189,0.0586431,0.034388,0.0524684,0.0745215,0.0247765,0,0,0,
1278,1985-03,0.043704,0.306683,0.405027,0.275403,0,0.555598,0.41786,0.500323,0.415139,0,0.203762,0.430587,0.241102,0.355574,0.118848,0.074822,0.10054,0.140552,0.0444822,0,0,0,
