,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0,0.115755,0.305978,0.0926056,0,5.16678,0,0.952673,0,0,0,0.0787915,0.122588,0.0261227,0.263877,0,0,0,0,0,0,0,
61,1981-11,0,0.161959,0.350614,0.134518,0,9.6671,0,1.08045,0,0,0,0.115776,0.176515,0.0420663,0.302371,0,0,0,0,0,0,0,
92,1981-12,0,0.212264,0.267932,0.18853,0,6.5911,0,0.968872,0,0,0,0.199818,0.227348,0.0790713,0.231057,0,0,0,0,0,0,0,
123,1982-01,0,0.200236,0.21127,0.180496,0,5.47317,0,0.77555,0,0,0,0.169283,0.227072,0.0733084,0.1822,0,0,0,0,0,0,0,
151,1982-02,0,0.471855,0.616849,0.417741,0,19.0198,0.20708,1.25482,0,0,0,0.542161,0.413061,0.388346,0.515357,0,0,0,0,0,0,0,
182,1982-03,0,1.11926,1.08452,1.01508,0,43.8404,0.230016,2.99023,0,0,0,1.39138,0.893897,1.24713,0.931611,0,0,0,0,0,0,0,
212,1982-04,0,8.95824,7.39851,8.20619,0,54.4458,7.50623,23.0601,0,0,0,17.0894,6.21228,7.22685,1.55974,0,0,0,0,0,0,0,
243,1982-05,0,35.8194,57.6853,31.0182,0,121.299,14.9702,60.4159,0,0,0,47.2533,28.6433,38.4269,23.9063,0,0,0,0,0,0,0,
273,1982-06,0,63.2746,59.7827,57.4822,0,140.323,19.9097,90.1196,0,0,0,77.8881,55.8996,63.3086,27.2177,0,0,0,0,0,0,0,
304,1982-07,0,51.9741,44.9237,47.4832,0,117.839,2.22216,59.1869,0,0,0,62.3792,45.4102,56.3529,22.8577,0,0,0,0,0,0,0,
335,1982-08,0,20.9147,17.3432,19.1544,0,61.2041,0,6.7892,0,0,0,18.9696,18.5639,30.2587,11.3791,0,0,0,0,0,0,0,
365,1982-09,0,4.98867,6.73266,4.40307,0,35.0665,0.00123375,0.142536,0,0,0,0.483142,4.06352,13.755,5.49764,0,0,0,0,0,0,0,
396,1982-10,0,5.8329,12.6235,4.84486,0,52.3145,0.00768746,9.95708,0,0,0,4.79715,3.58462,13.3001,7.70031,0,0,0,0,0,0,0,
426,1982-11,0,6.23209,12.0117,5.27064,0,52.5652,0.00130832,12.5837,0,0,0,6.41266,3.5959,13.5626,7.28943,0,0,0,0,0,0,0,
457,1982-12,0,5.984,11.3267,5.07403,0,49.7528,0.000154359,11.6851,0,0,0,6.13122,3.39438,13.3567,6.88853,0,0,0,0,0,0,0,
488,1983-01,0,5.77594,11.0213,4.89196,0,48.065,0.0101817,10.8773,0,0,0,5.7491,3.24125,13.281,6.69657,0,0,0,0,0,0,0,
516,1983-02,0,5.74961,10.8351,4.87834,0,45.782,0.399164,9.90669,0,0,0,5.60096,3.25172,13.5146,6.28021,0,0,0,0,0,0,0,
547,1983-03,0,9.49212,13.6606,8.3236,0,51.392,3.12338,24.6888,0,0,0,14.8642,5.38088,15.6412,5.66634,0,0,0,0,0,0,0,
577,1983-04,0,12.9939,22.8438,11.1298,0,60.5257,2.61321,24.0462,0,0,0,18.6872,7.85034,21.4033,9.18028,0,0,0,0,0,0,0,
608,1983-05,0,14.0569,39.4358,11.1002,0,127.834,3.11521,5.53733,0,0,0,14.3668,7.91919,29.2167,20.8988,0,0,0,0,0,0,0,
638,1983-06,0,8.3487,26.1672,6.41742,0,125.043,0.246246,0,0,0,0,4.10161,4.41015,23.3758,16.8523,0,0,0,0,0,0,0,
669,1983-07,0,8.06964,16.5472,6.76125,0,107.891,3.76571,14.1457,0,0,0,2.77743,5.66235,20.3293,13.4794,0,0,0,0,0,0,0,
700,1983-08,0,4.26953,7.06543,3.68514,0,55.8471,0.839029,0.854051,0,0,0,0.487304,2.00929,16.8431,6.08996,0,0,0,0,0,0,0,
730,1983-09,0,1.58993,0.96229,1.47885,0,17.9103,0,0,0,0,0,0,0.051382,10.1092,0.829881,0,0,0,0,0,0,0,
761,1983-10,0,1.20062,0.724613,1.11687,0,24.2204,0,0,0,0,0,3.75715e-05,0.00612056,7.76614,0.624908,0,0,0,0,0,0,0,
791,1983-11,0,1.09245,0.344661,1.03633,0,16.9209,0,0,0,0,0,0,0.000258888,7.22796,0.297237,0,0,0,0,0,0,0,
822,1983-12,0,1.06984,0.330191,1.01536,0,14.3745,0,0,0,0,0,0,0,7.08269,0.284758,0,0,0,0,0,0,0,
853,1984-01,0,1.12903,1.06621,1.0257,0,31.1875,0.000203949,0,0,0,0,0.000938475,0.00987141,7.11612,0.914692,0,0,0,0,0,0,0,
882,1984-02,0,1.28218,0.676538,1.19896,0,28.6672,0.408594,1.17993,0,0,0,0.306272,0.135411,7.32787,0.579018,0,0,0,0,0,0,0,
913,1984-03,0,1.5332,0.422903,1.45833,0,20.4911,0.333999,4.19148,0,0,0,0.821578,0.345616,7.46685,0.350649,0,0,0,0,0,0,0,
943,1984-04,0,6.82244,27.9916,4.82234,0,36.1707,0.290613,6.87162,0,0,0,3.86225,3.85169,18.7697,10.8942,0,0,0,0,0,0,0,
974,1984-05,0,6.66617,50.9634,3.20435,0,111.316,0,0,0,0,0,0.49148,2.06915,23.785,23.5309,0,0,0,0,0,0,0,
1004,1984-06,0,5.00568,45.0515,1.97314,0,115.694,0,1.4051,0,0,0,0.115276,0.577569,19.9872,21.9439,0,0,0,0,0,0,0,
1035,1984-07,0,2.73183,25.3113,1.03058,0,70.5349,0,0,0,0,0,8.27714e-05,0.0264671,11.2564,13.7454,0,0,0,0,0,0,0,
1066,1984-08,0,0.612264,4.73164,0.291063,0,25.8356,0,0.0542832,0,0,0,0.00139099,0.0206414,2.14984,3.68408,0,0,0,0,0,0,0,
