time,date,hour,precip [mm/day],sub113496 [m3/s],sub113496 (observed) [m3/s],sub113500 [m3/s],sub113500 (observed) [m3/s],sub113518 [m3/s],sub113518 (observed) [m3/s],sub113637 [m3/s],sub113675 [m3/s],sub113741 [m3/s],sub113827 [m3/s],sub113850 [m3/s],sub113862 [m3/s],sub113884 [m3/s],sub113981 [m3/s],sub113991 [m3/s],sub114036 [m3/s],sub114115 [m3/s],sub114119 [m3/s],sub114215 [m3/s],sub114261 [m3/s],sub114285 [m3/s],sub114383 [m3/s],sub114428 [m3/s]
0,1981-10-01,00:00:00.00,---,0.636945,,5.63066,,9.64164,,30.8739,11.1007,14.8911,34.8789,14.3918,2.82891,26.8803,1.99085,2.78188,51.5214,8.35396,1.1699,11.6568,16.7941,18.2028,2.59518,45.5592
1,1981-10-02,00:00:00.00,0.0386124,0.325259,2.6346,3.00496,10.0253,5.41087,12.4605,21.6489,7.40922,9.01488,26.601,9.09942,1.5796,18.6585,1.10703,1.76765,39.1049,5.33455,0.584951,6.46678,10.9092,12.4958,1.49161,36.6252
2,1981-10-03,00:00:00.00,0.00114751,0.00703188,2.48823,0.197315,10.2187,0.633402,12.569,7.73243,2.13227,1.69731,12.616,2.23389,0.16514,6.46114,0.111601,0.410986,18.05,1.29679,0,0.686378,2.96747,4.21468,0.194018,20.3148
3,1981-10-04,00:00:00.00,0.155568,0.0361412,2.78096,0.125745,9.57699,0.149384,11.5592,1.76773,0.290393,0.132544,4.46423,0.370066,5.52816e-16,1.44576,1.51863e-17,0.0342765,5.97491,0.146278,0,0.0491578,0.50726,0.944153,1.65961e-17,8.99158
4,1981-10-05,00:00:00.00,0.353057,0.037664,2.78096,0.155608,8.35937,0.152593,10.3415,0.275997,0.0174073,0.00459993,1.24133,0.0426558,1.71409e-15,0.226534,1.42739e-16,1.37741e-16,1.54223,0.0071651,0,0.00114733,0.0557498,0.135204,1.51823e-16,3.34287
5,1981-10-06,00:00:00.00,0.41044,0.16937,2.6346,0.510645,7.3635,0.468428,9.17578,0.0312466,0.000394535,5.71441e-05,0.272858,0.00310596,2.67018e-15,0.0255123,4.12909e-16,1.61493e-15,0.320144,0.000108522,0,2.83227e-14,0.00401015,0.011873,4.38792e-16,1.03942
6,1981-10-07,00:00:00.00,0.0742575,0.172123,2.6346,0.547695,6.71221,0.541592,8.46786,0.00259349,1.5544e-14,3.29158e-14,0.0470849,0.000131262,3.71095e-15,0.00208741,8.73772e-16,3.87827e-15,0.0536349,3.3077e-07,0,4.18004e-14,0.000188059,0.000569435,6.34971e-16,0.266756
7,1981-10-08,00:00:00.00,0.0071541,0.235223,2.34186,0.791609,6.02305,0.7625,7.69374,0.000146445,1.76195e-14,4.01548e-14,0.00634442,9.94716e-06,4.86762e-15,0.000126625,1.8461e-15,4.92399e-15,0.00722587,0,0,4.42345e-14,5.64853e-06,1.21927e-05,1.47388e-15,0.0563179
8,1981-10-09,00:00:00.00,0.494404,0.25088,2.56141,0.901982,6.01606,0.887724,7.91329,4.67412e-06,1.9402e-14,4.30088e-14,0.000666652,7.34911e-06,5.60135e-15,5.74855e-06,2.77228e-15,5.17385e-15,0.0013834,0,0,4.57529e-14,1.00521e-07,1.1517e-06,2.47288e-15,0.009813
9,1981-10-10,00:00:00.00,0.982902,0.227257,2.56141,0.846226,5.64794,0.852288,7.7717,5.4335e-08,1.89471e-13,4.40778e-14,5.46341e-05,6.72925e-06,6.57714e-15,1.88702e-07,4.07713e-15,1.01516e-14,0.00173536,0,0,5.33899e-14,8.06063e-10,1.07127e-06,3.4202e-15,0.00142561
10,1981-10-11,00:00:00.00,0.178468,0.214309,2.41505,0.786549,5.27504,0.793884,7.08732,7.62547e-14,4.59717e-13,2.11614e-13,3.48649e-06,6.57724e-06,8.82607e-15,4.11557e-09,8.60753e-15,2.58177e-14,0.00223838,0,0,6.0479e-14,2.69355e-14,9.638e-07,5.22104e-15,0.000182009
