,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0.0218092,0.006862,0.134369,0.000142463,0,0,0,0,0,0,0,0,0,0,0.0917227,0.0825616,0,0,0,0,0,0,
61,1981-11,0.0613355,0.0225037,0.424546,0.000527552,0,0,0,0,0,0,0,0,0,0,0.301617,0.226767,0,0,0,0,0,0,
92,1981-12,0.125423,0.0472444,0.891133,0.000799813,0,0,0,0,0,0,0,0,0,0,0.629059,0.475639,0,0,0,0,0,0,
123,1982-01,0.196156,0.0726899,1.36807,0.00172589,0,0,0,0,0,0,0,0,0,0,0.974556,0.723563,0,0,0,0,0,0,
151,1982-02,0.287308,0.111225,2.07991,0.00227622,0,0,0,0,0,0,0,0,0,0,1.48627,1.07056,0,0,0,0,0,0,
182,1982-03,0.421736,0.159266,2.9707,0.00472556,0,0,0,0,0,0,0,0,0,0,2.14803,1.51227,0,0,0,0,0,0,
212,1982-04,0.48974,0.200189,3.64931,0.0075115,0,0,0,0,0,0,0,0,0,0,2.7212,1.66958,0,0,0,0,0,0,
243,1982-05,0.364525,0.219208,3.79686,0.00461256,0,0,0,0,0,0,0,0,0,0,2.93093,1.28454,0,0,0,0,0,0,
273,1982-06,0.28607,0.243862,4.07604,0.00321517,0,0,0,0,0,0,0,0,0,0,3.23469,1.02538,0,0,0,0,0,0,
304,1982-07,0.194624,0.275862,4.45181,0.00153242,0,0,0,0,0,0,0,0,0,0,3.63072,0.725609,0,0,0,0,0,0,
335,1982-08,0.0422037,0.284518,4.37517,0.000320327,0,0,0,0,0,0,0,0,0,0,3.72762,0.157858,0,0,0,0,0,0,
365,1982-09,0.0342107,0.298531,4.57162,0.00059397,0,0,0,0,0,0,0,0,0,0,3.9147,0.113667,0,0,0,0,0,0,
396,1982-10,0.108197,0.32155,4.99356,0.00298953,0,0,0,0,0,0,0,0,0,0,4.24828,0.311986,0,0,0,0,0,0,
426,1982-11,0.150817,0.342512,5.38631,0.00227435,0,0,0,0,0,0,0,0,0,0,4.51294,0.515813,0,0,0,0,0,0,
457,1982-12,0.221455,0.369597,5.90025,0.002418,0,0,0,0,0,0,0,0,0,0,4.86933,0.796811,0,0,0,0,0,0,
488,1983-01,0.287471,0.401663,6.47351,0.00315899,0,0,0,0,0,0,0,0,0,0,5.29895,1.03348,0,0,0,0,0,0,
516,1983-02,0.251106,0.417367,6.66939,0.0024098,0,0,0,0,0,0,0,0,0,0,5.49435,0.917691,0,0,0,0,0,0,
547,1983-03,0.245511,0.43622,6.9463,0.00246378,0,0,0,0,0,0,0,0,0,0,5.7418,0.892639,0,0,0,0,0,0,
577,1983-04,0.232766,0.463083,7.3501,0.00149667,0,0,0,0,0,0,0,0,0,0,6.08027,0.882182,0,0,0,0,0,0,
608,1983-05,0.209152,0.487654,7.69849,0.000812369,0,0,0,0,0,0,0,0,0,0,6.39256,0.815453,0,0,0,0,0,0,
638,1983-06,0.143385,0.51457,8.01986,0.000118527,0,0,0,0,0,0,0,0,0,0,6.73542,0.577781,0,0,0,0,0,0,
669,1983-07,0.164531,0.552042,8.58278,0.00249168,0,0,0,0,0,0,0,0,0,0,7.25785,0.562266,0,0,0,0,0,0,
700,1983-08,0.0411187,0.567965,8.67709,0.00016438,0,0,0,0,0,0,0,0,0,0,7.43479,0.160116,0,0,0,0,0,0,
