,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
31,1981-10,0.614159,0.78489,0.5684,0.78248,0.25918,0.59683,0.968004,0.796368,0.425779,0.65584,0.586138,0.836991,0.779799,0.74538,0.672306,0.563962,0.46735,0.321793,0.320232,0.322138,0.351722,0,
61,1981-11,0.344428,0.445219,0.312268,0.444126,0.131328,0.352981,0.600917,0.467401,0.178353,0.503083,0.384037,0.48862,0.440113,0.410488,0.375649,0.313573,0.26335,0.167802,0.191025,0.215855,0.241852,0,
92,1981-12,0.125034,0.15717,0.120401,0.156462,0.0467614,0.145532,0.240482,0.183826,0.0463052,0.247351,0.18367,0.186864,0.150247,0.140824,0.136059,0.117232,0.104172,0.0613624,0.0757883,0.0877836,0.0925624,0,
123,1982-01,0.069147,0.0557904,0.0653909,0.0564473,0.0341734,0.094829,0.0996263,0.056831,0.0364072,0.168286,0.140847,0.0558596,0.0537556,0.0616291,0.072249,0.0703387,0.0659848,0.0449872,0.0518871,0.0553692,0.0558484,0,
151,1982-02,0.216332,0.204027,0.187875,0.206228,0.0842373,0.24883,0.272043,0.18858,0.156946,0.26935,0.246901,0.197552,0.201746,0.221846,0.231597,0.216108,0.180349,0.117468,0.11571,0.112122,0.117475,0,
182,1982-03,0.424562,0.43396,0.402707,0.435061,0.213634,0.516819,0.606095,0.426447,0.355111,0.50363,0.535722,0.450907,0.424913,0.44304,0.447094,0.428058,0.390307,0.284239,0.258796,0.237558,0.227049,0,
212,1982-04,0.824634,1.1573,0.77383,1.15015,0.372061,0.842362,1.47805,1.20994,0.827129,0.629171,0.78188,1.33016,1.13498,1.01318,0.88393,0.801216,0.68162,0.492903,0.419467,0.395072,0.342753,0,
243,1982-05,1.60232,1.96604,1.48177,1.96238,0.634043,1.39292,2.3385,1.8026,1.55704,0.846058,1.1211,2.01831,1.96458,1.93898,1.76008,1.49988,1.1931,0.845594,0.698002,0.687373,0.583197,0,
273,1982-06,2.29863,2.73705,2.09345,2.73646,1.03524,2.15221,3.16495,2.51623,2.22763,1.31514,1.78436,2.84259,2.73014,2.66413,2.468,2.19134,1.84341,1.38061,1.15182,1.18799,1.02152,0,
304,1982-07,2.49643,3.07133,2.21321,3.07146,1.2817,2.26983,3.48247,2.89608,2.54138,1.55718,2.03078,3.22961,3.06637,2.93647,2.65194,2.36568,2.00912,1.5559,1.33245,1.37772,1.20233,0,
335,1982-08,2.23683,2.82303,1.91708,2.82514,1.17625,2.09219,3.24031,2.67354,2.27844,1.67412,1.98798,3.01759,2.81984,2.62364,2.36685,2.12609,1.80975,1.37897,1.22702,1.25455,1.16028,0,
