,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,0.0388628,4.08073e-06,0.055117,0.000179641,1.22913,0,0,0,0,0,0,0,0,0,0.00122706,0.00358327,0.0324035,0.245632,0.490113,0.531728,0.488603,0,
2,1981-10-02,0.00343036,0,0.00487325,1.49867e-05,0.604386,0,0,0,0,0,0,0,0,0,0,0.000373761,0.000564613,0.000583268,0,0.0578697,0.397319,0,
3,1981-10-03,0.00397244,0,0.00591519,0,1.0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111213,0.649489,0,
4,1981-10-04,0.0484487,0.000376412,0.0243763,0.00341424,1.21491,0.000789979,0,0,0,0.282876,0,0,0,0.000150472,0.0186008,0.0921581,0.050969,0.060933,0.0885644,0.0912167,0.768417,0,
5,1981-10-05,0.212844,0.00823928,0.0331127,0.0261024,1.21491,0.0515865,0,0,0.543381,0.283005,0,0,2.47518e-05,0.0522167,0.115388,0.37481,0.293828,0.0895644,0.102035,0.101738,0.782018,0,
6,1981-10-06,0.24643,0.0133938,0.0380851,0.0339714,1.22066,0.0772804,0,0,0.567593,0.307611,0.0198706,0.00168148,0.00419896,0.0674066,0.145708,0.405121,0.312217,0.104695,0.116595,0.116883,0.797636,0,
7,1981-10-07,0.0273661,0.000519088,0.00527329,0.00276781,0.493646,0,0,0,0,0,0,0,0,0.00350787,0.0145746,0.0440515,0.0177004,0.0067737,0,0,0.563019,0,
8,1981-10-08,0.000499777,0,0.000744196,0,0.321121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1981-10-09,0.194992,0,0.289916,2.80162e-05,7.65211,0,0,0,0,2.82813,0,0,0,0,0,0,0,1.08736,2.90363,3.25081,3.02489,0,
10,1981-10-10,0.267129,0.00310503,0.394223,0.00323457,9.76121,0,0,0,0,3.86237,0,7.9625e-05,0.00412429,0.00389261,0.00312768,0.00101779,0.0528026,1.73463,3.76127,4.10956,3.77838,0,
11,1981-10-11,1.48895,0.234932,0.786651,0.318924,10.3176,0.568339,0,0,2.4119,4.50203,0.45606,0.136601,0.2394,0.355849,1.03873,1.2122,1.35787,2.81236,4.72614,5.08906,4.80179,0,
12,1981-10-12,6.27585,0.605923,4.24194,0.912807,12.0598,5.73139,0,0,2.74907,7.48189,2.88226,0,0.130944,2.96495,5.39693,6.32365,8.06606,8.30053,9.59068,9.90573,9.79532,0,
13,1981-10-13,10.7456,8.61832,5.4176,9.0249,12.4929,7.35916,9.56091,6.54395,23.9701,8.25797,3.6328,5.2936,10.1041,8.32873,9.40079,11.307,11.2605,9.57763,10.7131,11.024,10.9651,0,
14,1981-10-14,11.3059,9.01048,6.21447,9.4072,14.0437,9.39831,9.61814,7.17971,24.126,10.9044,6.13327,6.0832,10.39,8.48086,9.64372,12.0582,12.6761,11.6457,12.9294,13.3784,13.4975,0,
15,1981-10-15,8.69181,7.86472,3.09694,8.24774,14.8701,3.21494,0.732846,7.19379,24.3372,11.0236,0,5.72507,9.48088,5.61192,5.95071,9.48013,11.1951,11.6589,13.7531,14.3475,14.5142,0,
16,1981-10-16,8.17717,6.61067,2.91699,6.99541,14.8794,3.35506,0,6.14247,24.3592,7.60127,0,4.82852,8.09157,4.214,5.3097,9.34117,10.8158,10.9724,13.8434,14.3531,14.5194,0,
17,1981-10-17,7.36532,4.5238,2.77858,4.90536,14.8963,3.39965,0,0,24.7925,5.40422,0,2.29436,5.86539,3.20195,4.19005,9.23383,10.8602,10.8449,13.8689,14.3741,14.5383,0,
18,1981-10-18,6.61477,3.26167,2.34493,3.63897,15.9575,0,0,0,24.8156,6.17749,0,0.666355,4.49379,2.89806,4.00362,6.24009,9.83116,11.6997,14.8636,15.3895,15.5357,0,
19,1981-10-19,6.64133,3.26611,2.37243,3.64403,15.9942,0,0,0,24.8159,6.3528,0,0.493178,4.57216,2.89175,4.00116,6.27149,10.0295,11.8421,14.8664,15.3931,15.5392,0,
20,1981-10-20,5.75438,0.874541,2.30902,1.24687,16.6678,0,0,0,26.481,7.55374,0,7.7743e-07,1.10158,1.48029,3.07327,6.09705,7.21121,11.622,16.6819,17.8344,18.2714,0,
21,1981-10-21,9.3661,1.24794,6.90742,1.65839,24.0227,11.0742,0,0,29.3951,16.1747,7.82241,0.0443735,1.41745,2.11635,5.19767,11.3241,15.3249,21.4308,26.6138,27.7978,28.578,0,
22,1981-10-22,9.38494,1.3071,6.91133,1.71724,24.0284,11.0764,0.019494,0.0224739,29.4545,16.2047,7.85076,0.123187,1.47956,2.13937,5.21266,11.3423,15.3394,21.4482,26.6317,27.819,28.6024,0,
23,1981-10-23,9.43845,1.39379,6.91639,1.80599,24.0337,11.0922,0.141775,0.0912396,29.5971,16.2047,7.85076,0.230016,1.56609,2.20469,5.25985,11.3961,15.3775,21.4666,26.6448,27.83,28.6131,0,
24,1981-10-24,9.78266,1.79719,6.72004,2.24205,24.0695,11.1101,0.78886,0.493985,32.275,16.3111,7.94004,0.869503,1.94004,2.39281,5.55797,11.7757,15.6336,21.5263,26.6934,27.8831,28.6702,0,
25,1981-10-25,10.2601,2.02309,7.01995,2.48714,24.9792,11.5883,0.842713,0.512026,33.5303,17.5135,8.67564,0.92572,2.18498,2.82265,5.89337,12.226,16.3424,22.4263,27.6351,28.8909,29.7378,0,
26,1981-10-26,9.39205,1.53763,5.95321,2.00241,26.1678,9.25398,0,0.595694,33.6869,14.8445,0,0.689822,1.65378,2.23922,4.94037,11.1851,14.8842,21.0757,27.9377,29.3238,30.1299,0,
