,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,4.5056,7.81143,5.0795,7.67158,-0.84086,4.52359,10.0694,9.11862,6.69315,1.32454,3.32376,9.2391,7.51459,7.08901,5.5879,3.75928,2.05337,0.648327,-0.310149,-1.5457,-2.4958,0,
2,1981-10-02,8.49755,9.96039,8.93065,9.88707,2.19007,8.8659,13.6602,10.14,9.51439,4.34475,6.33972,10.2252,9.79308,10.3477,9.51295,7.87633,6.49403,4.78197,3.57598,2.42362,1.44392,0,
3,1981-10-03,10.9451,13.4999,11.2304,13.4019,3.30041,10.5191,15.5809,16.829,13.0082,5.37589,7.36992,15.193,13.1057,12.585,12.1696,10.3746,8.64092,6.46394,5.11095,3.93539,2.89638,0,
4,1981-10-04,4.07894,9.78705,3.87903,9.62159,-1.54653,3.01248,10.6985,12.9895,6.74673,0.452459,2.45149,11.6412,9.84551,7.35149,4.99311,3.11909,1.81508,0.491509,-0.588241,-1.74184,-2.82703,0,
5,1981-10-05,1.79274,6.61639,1.72698,6.46998,-3.19729,1.02114,8.52302,8.42749,2.23683,-0.709871,1.29919,7.97101,6.66446,4.87343,2.76431,0.786323,-0.281607,-1.59142,-2.67237,-3.88457,-5.1,0,
6,1981-10-06,1.24609,4.53339,2.12406,4.37469,-3.01332,2.11998,6.74516,5.98354,1.98301,-0.733336,1.27276,5.92282,4.38059,3.22005,2.09208,0.736309,0.20261,-1.04335,-2.21461,-3.49412,-4.7138,0,
7,1981-10-07,8.56329,8.74923,9.95921,8.65431,3.77915,8.94517,12.326,8.58207,8.79747,5.3096,7.30473,8.50599,8.63421,9.43624,9.58827,8.1368,7.32916,6.08236,4.8982,3.72684,2.64025,0,
8,1981-10-08,12.1753,13.8135,12.4579,13.7443,5.49198,12.8371,18.0949,14.9924,15.5036,8.22696,10.2199,14.5308,13.7986,12.8535,12.8426,12.2607,11.1446,9.2508,7.9276,6.80244,5.78655,0,
9,1981-10-09,6.7072,10.1335,6.93479,10.0119,-2.86856,5.40075,11.9296,10.1871,8.30182,0.215693,2.20979,10.6709,10.1906,9.38551,8.11907,6.05851,3.74658,1.25873,-0.244384,-1.40774,-2.41781,0,
10,1981-10-10,4.17589,6.55683,4.47496,6.46339,-3.53402,4.47758,9.25588,7.68777,5.53457,-0.710805,1.28298,7.14792,6.52351,6.00793,5.01379,4.0292,2.51152,0.344213,-1.11463,-2.31202,-3.33561,0,
11,1981-10-11,2.17846,4.18551,2.69103,4.09012,-2.78653,3.18378,5.3079,4.75133,2.50143,-0.31921,1.68011,4.97571,4.08507,3.48752,2.83644,2.1619,1.15159,-0.238658,-1.44511,-2.60744,-3.71095,0,
12,1981-10-12,-0.345138,5.67374,-0.561898,5.49965,-4.08261,-0.139736,5.73586,9.0819,3.26172,-2.37839,-0.377143,9.62381,5.3171,1.54634,0.107046,-0.558517,-1.52636,-2.49096,-3.51757,-4.63225,-5.7945,0,
