,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,
time,day,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
1,1981-10-01,-2.95746,-0.371205,-1.73049,-0.53029,-3.18992,-1.03043,2.09366,0.586229,-0.503445,-1.00523,0.996751,1.6019,-0.899255,-1.02239,-2.69527,-3.35217,-3.89245,-4.04941,-4.50637,-5.69544,-6.52619,0,
2,1981-10-02,1.12258,0.453831,2.8048,0.367313,-2.43799,5.31784,6.45252,-0.323993,1.18175,0.289929,2.28135,0.330644,0.192038,1.59525,1.2939,1.12496,1.60674,0.60616,-0.516417,-1.65855,-2.51924,0,
3,1981-10-03,3.78139,4.84369,3.62835,4.82029,-1.42541,3.91718,8.86826,4.37239,5.23627,1.31387,3.31227,5.40962,4.60558,5.0718,4.48728,2.92605,2.43466,1.27005,0.157941,-0.971982,-2.0033,0,
4,1981-10-04,-3.25541,3.16756,-3.45126,2.97952,-5.24867,-3.9459,4.17441,6.33107,0.975824,-2.75295,-0.736747,6.3049,2.95085,-0.0365952,-2.66388,-4.55688,-5.04424,-5.41585,-6.02782,-7.23814,-8.5203,0,
5,1981-10-05,-6.08209,-0.19742,-6.7002,-0.341695,-7.33562,-7.30269,1.86273,2.62726,-2.64902,-4.79659,-2.76874,2.54738,-0.336182,-3.13578,-5.64701,-7.18894,-7.47057,-7.97727,-8.60181,-9.85528,-11.3812,0,
6,1981-10-06,-8.16658,-4.31673,-7.94437,-4.45112,-8.14056,-7.88417,-2.36364,-2.87896,-5.10869,-5.74975,-3.72292,-2.15807,-4.54163,-6.36498,-7.88405,-8.73133,-8.39215,-8.72838,-9.39762,-10.7322,-12.2449,0,
7,1981-10-07,0.568159,-0.389127,3.10048,-0.52091,-0.341222,1.81801,-0.259253,-1.31858,-3.25276,1.32642,3.32301,-0.589738,-0.711635,0.855012,1.28338,0.0112537,0.483476,1.05573,0.300838,-0.753707,-1.83681,0,
8,1981-10-08,4.62853,5.51986,5.26446,5.45143,-1.15751,5.03591,9.08203,4.87253,7.03105,1.99266,3.98955,5.82413,5.48763,5.21853,5.28211,4.40827,3.69728,2.2039,1.02497,-0.0849148,-1.09763,0,
9,1981-10-09,1.71914,3.95645,2.44468,3.84027,-4.00369,2.57092,6.17792,4.27109,2.48368,-1.1849,0.812738,5.10206,3.81178,2.91891,2.36289,1.62135,0.831526,-0.882274,-2.15823,-3.32879,-4.37549,0,
10,1981-10-10,-2.65565,-1.71335,-1.54511,-1.81367,-5.01228,0.184405,0.965059,-0.604057,-3.08827,-2.56211,-0.562697,-0.665851,-1.95297,-2.31629,-2.80108,-1.91837,-2.11907,-2.99187,-3.9796,-5.17153,-6.19658,0,
11,1981-10-11,-5.86318,-4.51423,-5.07899,-4.60641,-8.06437,-3.76901,-1.19234,-4.49308,-6.92333,-5.73052,-3.73255,-3.9781,-4.71483,-4.29609,-5.85685,-5.98599,-5.90701,-6.49133,-7.35787,-8.46031,-9.36901,0,
12,1981-10-12,-2.33639,1.73052,-1.73504,1.56515,-6.44394,-1.4585,1.97826,3.5066,-2.21887,-4.15324,-2.15304,3.82426,1.55685,-0.489951,-1.68189,-2.68611,-3.36845,-4.24177,-5.33541,-6.47124,-7.5957,0,
13,1981-10-13,-5.78573,-1.21214,-5.6823,-1.36154,-8.14266,-4.93525,-0.627951,0.284676,-5.00103,-5.85871,-3.84977,0.504882,-1.08804,-3.85203,-5.72668,-5.63916,-5.87064,-6.5123,-7.5034,-8.67648,-9.9924,0,
14,1981-10-14,-11.5595,-7.18228,-11.2136,-7.34104,-10.0734,-10.1742,-8.62282,-4.19397,-6.24706,-7.77995,-5.75507,-4.40308,-7.2984,-10.4466,-12.2981,-11.1338,-10.1182,-9.97418,-10.6427,-11.877,-13.4112,0,
15,1981-10-15,-2.52618,-4.44457,-0.389395,-4.52109,-4.7131,-0.952914,0.50657,-5.40317,-5.66881,-1.03974,0.957322,-6.13928,-4.53378,-1.75499,-2.02252,-3.02128,-2.62842,-2.01647,-2.80309,-3.77663,-4.73654,0,
16,1981-10-16,-4.92296,-3.11163,-2.68355,-3.31116,-4.08789,-4.84905,2.51069,-3.59865,-6.78681,-1.27,0.740289,-3.61822,-2.97431,-2.63092,-4.70068,-5.61719,-5.14621,-4.03476,-4.33737,-5.27391,-6.36796,0,
17,1981-10-17,-3.16226,-1.28789,-1.80835,-1.43285,-3.97272,-4.94325,2.64513,-1.54868,-5.53255,-1.42544,0.582521,-0.650575,-1.45974,-1.36897,-2.26563,-5.0695,-4.85661,-4.09986,-4.37989,-5.29007,-6.29173,0,
18,1981-10-18,-2.60614,-1.47494,-0.794409,-1.62592,-4.03271,-1.84505,0.0626083,-1.19688,-5.81564,-2.83463,-0.82804,-0.418708,-1.84115,-1.85937,-1.66039,-2.79213,-3.20708,-4.00459,-4.78309,-5.89979,-7.11814,0,
19,1981-10-19,-6.106,-5.64388,-4.33685,-5.77126,-5.59532,-3.71058,-2.30966,-5.20905,-9.00296,-4.70002,-2.6992,-4.61851,-6.13339,-5.47309,-5.58208,-6.29662,-5.74342,-6.33846,-6.9254,-8.0341,-9.03384,0,
