time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Net Lake Storage [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm],Glacier Liquid Storage [mm],Glacier Ice [mm],Depression [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,1981-10-01,00:00:00.00,---,---,3.5274,0,0.684463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21186,0,0,0
1,1981-10-02,00:00:00.00,0.0343998,0.00421254,3.30456,0,0.342232,0,0.000818423,0,0.0342582,8.90548e-06,0,4.67757e-05,1.24854e-06,0.00347655,0,0,1.90803e-06,0,0,3.68541,0.0386124,0.565069,2.22045e-16
2,1981-10-03,00:00:00.00,0.00114662,8.93779e-07,2.95206,0,0.342237,0,0.00164802,4.24588e-21,0.0368817,0.000842301,0,4.62152e-05,4.07893e-06,0.000306542,0,0,6.16572e-05,-4.15063e-05,0,3.33404,0.0397599,0.917578,8.88178e-16
3,1981-10-04,00:00:00.00,0.154279,0.00128971,2.75827,0,0.34241,0,0.00671525,-6.32392e-20,0.175616,0.0070005,0.00433122,0.000655154,1.39697e-05,0.000354983,0,0,0.000479426,-0.000246675,4.02415e-05,3.29564,0.195328,1.11155,-1.77636e-15
4,1981-10-05,00:00:00.00,0.347002,0.00605515,2.66646,0,0.342267,0,0.0204961,-1.0259e-20,0.513256,0.00439905,0.00433122,0.000616583,1.08044e-06,0.00467222,0,0,0.000409529,-0.000246675,1.05247e-05,3.55667,0.548386,1.20358,-7.77156e-16
5,1981-10-06,00:00:00.00,0.377081,0.0333581,2.6287,0,0.342951,0,0.0382953,-2.43303e-19,0.895411,-0.0130909,0.0090515,0.000606751,3.00541e-05,0.0265231,0,0,0.00034982,-0.000246675,1.67486e-05,3.9286,0.958825,1.24209,0
6,1981-10-07,00:00:00.00,0.0594426,0.0148149,2.61488,0,0.342257,0,0.0539088,1.58162e-21,0.946769,-0.0134656,0.0090515,0.000603576,1.49323e-06,0.0342183,0,0,0.000298817,-0.000246675,1.37187e-05,3.98828,1.03308,1.25666,1.77636e-15
7,1981-10-08,00:00:00.00,0.00705543,9.86677e-05,2.61059,0,0.343318,0,0.0738559,-1.13376e-19,0.964495,-0.012792,0.00698308,0.00061186,5.37809e-05,0.00291817,0,0,0.000608829,-0.000610253,9.3035e-06,3.99004,1.04024,1.26206,8.88178e-16
8,1981-10-09,00:00:00.00,0.494367,3.77526e-05,2.60943,0,0.342385,0,0.111257,1.17759e-19,1.41747,-0.00827725,0.00876444,0.000902039,1.8927e-06,4.46608e-05,0,0,0.00112799,-0.00106497,4.90131e-06,4.48205,1.53464,1.26446,8.88178e-16
9,1981-10-10,00:00:00.00,0.96297,0.0199323,2.60907,0,0.34322,0,0.161313,-1.99739e-20,2.32866,-0.00853742,0.0105631,0.00154761,0.000102659,0.0174248,0,0,0.000963536,-0.00106497,0.000185416,5.46345,2.51754,1.26596,4.44089e-15
10,1981-10-11,00:00:00.00,0.157679,0.0207895,2.60894,0,0.342306,0,0.207377,5.52076e-20,2.45327,-0.010116,0.0106155,0.0016698,5.36075e-05,0.0266986,0,0,0.000823054,-0.00106497,0.000152931,5.64072,2.69601,1.26716,2.88658e-15
11,1981-10-12,00:00:00.00,0.445348,0.432433,2.60908,0,0.34351,0,0.25558,5.27582e-20,2.96148,-0.0102892,0.00845154,0.0022901,0.000390103,0.346993,0,0,0.000703055,-0.00106497,0.000165811,6.51729,3.57379,1.26837,-3.55271e-15
