observed_data_series,filename,DIAG_KLING_GUPTA,DIAG_PCT_BIAS,
HYDROGRAPH_ALL[113827],input/obs/st_06167500.rvt,-0.514859,125.445,
HYDROGRAPH_ALL[113637],input/obs/st_06139500.rvt,-2.06267,257.073,
HYDROGRAPH_ALL[114285],input/obs/st_06149500.rvt,-0.892561,154.588,
HYDROGRAPH_ALL[113991],input/obs/st_06142400.rvt,-0.711007,147.262,
HYDROGRAPH_ALL[114428],input/obs/st_06164000.rvt,-0.0571163,69.2819,
HYDROGRAPH_ALL[114261],input/obs/st_06145500.rvt,-0.455686,127.874,
HYDROGRAPH_ALL[114115],input/obs/st_06133000.rvt,-0.54733,119.841,
HYDROGRAPH_ALL[114119],input/obs/st_06133500.rvt,-0.492405,28.528,
HYDROGRAPH_ALL[113850],input/obs/st_06154550.rvt,-0.565718,143.373,
HYDROGRAPH_ALL[113884],input/obs/st_06171000.rvt,-2.3613,241.177,
HYDROGRAPH_ALL[114036],input/obs/st_06135000.rvt,-0.968198,150.62,
