Run   obj.function   par_x01   par_x02   par_x03   par_x04   par_x05   par_x06   par_x07   par_x08   par_x09   par_x10   par_x11   par_x12   par_x13   par_x14   par_x15   par_x16   par_x17   par_x18   par_x19   par_x20   par_x21   par_x22   par_x23   par_x24   par_x25   par_x26   par_x27   par_x28   par_x29   par_x32   par_x33   par_x34   par_x35   par_x36   par_x37   par_x38   par_x39   par_x40   par_x53   par_x54   par_x55   par_x56   par_x57   par_x58   par_x59   par_x60   par_x61   par_x62   par_x63   par_x64
1   -7.51E-01   3.30E-01   1.76E-01   8.23E-01   2.52E-01   2.16E+00   5.28E-02   6.45E+00   3.37E-01   4.25E+00   2.13E+00   1.24E+00   8.25E-01   1.08E+00   4.97E-01   4.99E-01   7.46E-01   1.32E-01   6.55E-02   1.73E-01   9.69E+00   8.11E+01   2.05E-01   4.74E-02   5.45E-02   1.49E-02   7.22E+00   3.25E-01   1.91E-01   2.14E-01   3.23E+00   3.89E+00   6.54E+00   4.94E+00   -2.05E-01   -3.50E-01   3.70E+00   8.56E-01   3.71E-02   1.97E-01   9.95E-02   8.14E-02   1.85E-01   8.51E-02   2.89E-02   2.97E+00   1.14E+01   1.69E+01   1.07E+01   9.43E-01   3.18E-01
2   -6.59E-01   3.30E-01   1.41E-01   5.22E-01   2.52E-01   2.16E+00   5.28E-02   6.39E+00   2.36E+00   5.35E+00   2.13E+00   1.14E+00   7.86E-01   1.19E+00   5.30E-01   5.10E-01   7.46E-01   1.18E-01   6.55E-02   1.73E-01   9.69E+00   4.51E+01   3.30E-01   1.96E-02   1.16E-01   1.29E-01   5.49E+00   2.92E-01   1.91E-01   1.69E-01   3.32E+00   5.27E+00   6.02E+00   5.06E+00   -4.04E-01   -3.50E-01   3.49E+00   9.00E-01   1.50E-01   1.97E-01   9.95E-02   1.05E-01   1.40E-01   2.09E-02   8.72E-02   2.97E+00   2.35E+00   1.69E+01   1.07E+01   9.43E-01   4.03E-01
3   -7.54E-01   3.30E-01   1.41E-01   9.72E-01   2.52E-01   2.04E+00   5.28E-02   6.39E+00   1.26E-01   5.35E+00   4.05E+00   1.24E+00   7.86E-01   1.17E+00   4.97E-01   5.10E-01   7.46E-01   1.24E-01   6.55E-02   1.77E-01   9.69E+00   6.14E+01   2.57E-01   4.74E-02   5.45E-02   2.68E-02   9.95E+00   2.19E-01   2.24E-01   1.17E-01   3.23E+00   4.03E+00   6.02E+00   5.06E+00   -2.05E-01   -3.50E-01   3.49E+00   6.62E-01   1.50E-01   1.92E-01   9.95E-02   1.05E-01   1.40E-01   1.02E-01   3.06E-02   5.10E+00   1.07E+01   1.89E+01   1.07E+01   9.43E-01   3.46E-01
4   -7.54E-01   1.38E-01   1.41E-01   8.45E-01   2.52E-01   2.04E+00   5.28E-02   6.39E+00   3.61E+00   5.35E+00   4.05E+00   1.06E+00   7.86E-01   1.17E+00   4.80E-01   5.10E-01   7.46E-01   1.54E-01   6.55E-02   1.77E-01   9.69E+00   6.65E+01   2.57E-01   4.74E-02   5.45E-02   2.68E-02   9.95E+00   2.19E-01   2.24E-01   1.17E-01   3.23E+00   4.14E+00   6.02E+00   5.06E+00   -3.11E-01   -3.50E-01   3.49E+00   5.19E-01   1.50E-01   1.92E-01   7.38E-02   1.05E-01   1.40E-01   1.02E-01   2.62E-02   8.92E+00   1.07E+01   1.89E+01   1.07E+01   9.43E-01   3.46E-01
5   -7.47E-01   3.30E-01   1.41E-01   9.72E-01   6.56E-01   2.04E+00   5.28E-02   6.39E+00   1.26E-01   5.01E+00   3.73E+00   1.24E+00   7.86E-01   1.17E+00   4.97E-01   5.10E-01   7.65E-01   8.51E-02   8.77E-02   1.97E-01   1.27E+01   6.14E+01   2.57E-01   1.38E-01   5.45E-02   2.68E-02   9.95E+00   2.19E-01   2.52E-01   1.17E-01   3.58E+00   4.07E+00   6.02E+00   5.06E+00   -2.05E-01   -1.83E-01   3.87E+00   6.62E-01   1.50E-01   1.92E-01   9.95E-02   1.05E-01   1.40E-01   1.02E-01   3.06E-02   5.10E+00   1.07E+01   1.89E+01   1.07E+01   9.43E-01   3.46E-01
6   -7.41E-01   3.30E-01   2.10E-01   9.72E-01   2.52E-01   2.62E+00   4.70E-02   6.06E+00   1.26E-01   5.35E+00   4.05E+00   1.24E+00   7.86E-01   1.17E+00   4.45E-01   5.10E-01   6.59E-01   1.24E-01   1.14E-01   1.77E-01   1.18E+00   6.14E+01   2.57E-01   4.74E-02   5.45E-02   1.79E-02   9.95E+00   2.19E-01   2.24E-01   1.17E-01   4.38E+00   4.03E+00   6.02E+00   5.06E+00   -4.21E-01   -4.57E-01   3.87E+00   8.61E-01   2.41E-01   1.92E-01   9.95E-02   1.05E-01   1.29E-01   1.02E-01   3.06E-02   2.28E+00   1.07E+01   1.89E+01   1.53E+01   9.31E-01   3.46E-01
7   -7.30E-01   3.30E-01   1.41E-01   9.72E-01   1.27E-01   2.73E+00   5.14E-02   6.39E+00   4.30E-01   5.35E+00   4.05E+00   1.18E+00   8.41E-01   1.16E+00   4.97E-01   5.43E-01   7.46E-01   1.24E-01   6.55E-02   1.77E-01   5.47E+00   4.83E+01   1.58E-01   3.89E-03   5.45E-02   2.68E-02   9.95E+00   2.25E-01   2.24E-01   1.17E-01   3.23E+00   3.12E+00   6.02E+00   4.92E+00   -2.05E-01   -3.50E-01   3.41E+00   6.62E-01   1.57E-01   1.92E-01   9.95E-02   1.05E-01   1.40E-01   1.81E-01   2.78E-02   5.10E+00   1.07E+01   1.89E+01   1.07E+01   9.43E-01   3.46E-01
8   -7.54E-01   3.30E-01   1.41E-01   9.13E-01   1.58E-01   1.15E+00   4.90E-02   6.39E+00   4.72E-01   5.35E+00   4.05E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.10E-01   6.13E-01   1.88E-02   9.44E-02   1.77E-01   9.69E+00   6.14E+01   2.57E-01   4.74E-02   5.45E-02   3.32E-02   7.94E+00   3.54E-02   2.24E-01   1.03E-02   3.60E+00   4.03E+00   6.99E+00   4.52E+00   -1.44E-01   -3.50E-01   2.72E+00   6.87E-01   1.50E-01   1.84E-01   9.95E-02   1.05E-01   1.40E-01   1.18E-01   3.06E-02   5.10E+00   1.07E+01   1.54E+01   1.34E+01   9.43E-01   3.46E-01
9   -6.22E-01   4.01E-01   4.03E-01   8.77E-01   -5.22E-01   1.57E+00   5.39E-02   6.39E+00   1.75E+00   4.38E+00   4.05E+00   1.24E+00   7.80E-01   1.18E+00   4.21E-01   5.10E-01   5.42E-01   1.15E-02   9.44E-02   1.77E-01   9.69E+00   7.26E+01   2.57E-01   4.74E-02   1.65E-01   5.89E-02   7.94E+00   3.54E-02   2.24E-01   1.17E-02   3.60E+00   4.61E+00   6.99E+00   4.65E+00   -1.44E-01   -3.50E-01   2.72E+00   6.87E-01   1.50E-01   1.84E-01   1.17E-01   1.05E-01   1.40E-01   1.18E-01   2.91E-02   4.72E+00   5.42E+00   1.54E+01   1.34E+01   9.43E-01   7.16E-01
10   -6.07E-01   3.30E-01   1.72E-01   9.13E-01   6.86E-01   1.21E+00   4.90E-02   5.83E+00   1.91E+00   3.94E+00   4.05E+00   1.06E+00   7.86E-01   1.18E+00   4.64E-01   5.10E-01   5.85E-01   1.19E-01   9.44E-02   1.05E-01   2.11E+00   6.29E+01   2.57E-01   1.20E-01   1.27E-01   3.32E-02   7.94E+00   3.54E-02   2.24E-01   1.12E-01   3.60E+00   4.03E+00   6.99E+00   4.99E+00   -1.44E-01   -3.50E-01   2.72E+00   6.87E-01   6.22E-02   1.84E-01   9.95E-02   1.05E-01   1.40E-01   1.18E-01   3.06E-02   4.87E+00   7.74E+00   1.54E+01   1.34E+01   9.43E-01   5.59E-01
