hru_nhm,seg_nhm
113602,58183
113598,58184
113588,58185
113584,58186
113577,58188
113579,58189
113585,58192
113553,58193
113552,58194
113545,58197
113550,58201
113530,58202
113532,58203
113525,58205
113527,58206
113515,58207
113518,58208
113513,58210
113510,58212
113500,58213
113497,58214
113506,58216
113547,58217
113543,58218
113490,58219
113503,58221
113538,58222
113501,58223
113540,58225
113512,58227
113597,58228
113571,58229
113589,58231
113496,58232
113498,58233
113533,58234
113523,58236
113494,58237
113582,58240
113492,58241
113656,58242
113683,58243
113696,58244
113703,58245
113680,58246
113736,58247
113707,58248
113771,58249
113790,58250
113813,58251
113816,58252
113824,58253
113866,58254
113874,58255
113899,58256
113897,58257
113934,58258
113916,58259
113905,58260
113859,58261
113844,58262
113876,58263
113938,58264
113879,58265
113890,58266
113892,58267
113910,58268
113924,58269
114002,58270
113952,58271
113928,58272
114007,58273
113948,58274
113971,58275
113973,58276
113970,58277
113975,58278
114394,58279
114428,58280
113994,58281
113993,58282
113989,58283
114020,58284
114385,58285
113639,58286
114390,58287
113741,58288
114032,58289
114218,58290
113832,58291
113884,58292
113872,58293
113919,58294
114222,58295
114237,58296
114001,58297
113966,58298
113956,58299
114257,58300
114400,58301
114397,58302
113772,58303
114267,58304
114282,58305
114396,58306
114301,58307
114036,58308
114040,58309
113988,58310
114076,58311
114307,58312
113995,58313
114196,58314
114415,58315
113848,58316
114207,58317
113963,58318
114107,58319
114314,58320
114243,58321
114116,58322
114114,58323
114006,58324
114108,58325
114236,58326
114312,58327
113827,58328
113839,58329
114091,58330
114117,58331
113875,58332
113893,58333
114418,58334
114121,58335
113846,58336
114311,58337
113841,58338
113857,58339
113978,58340
114254,58341
114437,58342
114130,58343
113898,58344
114217,58345
113637,58346
114210,58347
113778,58348
114333,58349
113776,58350
113633,58351
113955,58352
113922,58353
114159,58354
114338,58355
114261,58356
113747,58357
113733,58358
114339,58359
113636,58360
114179,58361
113721,58362
114285,58363
113812,58364
113713,58365
114273,58366
114181,58367
113686,58368
113826,58369
113685,58370
114383,58371
113669,58372
113808,58373
113690,58374
114308,58375
113675,58376
114141,58377
114340,58378
114147,58379
114435,58380
114420,58381
114216,58382
114139,58383
114341,58384
114131,58385
113797,58386
113628,58387
113793,58388
114450,58389
113981,58390
113957,58391
113648,58392
114310,58393
114348,58394
114215,58395
114344,58396
114043,58397
114184,58398
114256,58399
114208,58400
113760,58401
113691,58402
113759,58403
114187,58404
114445,58405
113646,58406
114085,58407
114115,58408
113625,58409
113877,58410
113738,58411
114283,58412
114003,58413
113622,58414
114103,58415
113652,58416
114355,58417
113850,58418
113903,58419
114346,58420
114149,58421
113624,58422
113724,58423
113825,58424
113991,58425
114219,58426
113923,58427
114025,58428
113894,58429
114011,58430
114137,58431
113677,58432
113661,58433
114101,58434
114180,58435
113739,58436
114239,58437
113862,58438
114376,58439
114304,58440
114374,58441
113976,58442
113829,58444
114343,58445
113807,58446
113717,58447
114432,58448
113613,58449
113705,58450
113942,58451
113828,58452
114351,58651
113700,58454
113664,58455
113986,58456
114280,58457
113619,58458
114186,58459
113818,58460
114028,58461
114321,58462
113657,58463
113932,58464
114460,58465
114423,58466
114122,58467
114318,58468
114262,58469
114192,58470
114241,58471
114430,58472
113651,58473
114165,58474
114342,58475
114152,58476
114406,58477
113888,58478
113731,58479
113802,58480
113937,58481
113742,58482
113950,58483
114380,58484
114099,58485
114097,58486
114191,58487
113912,58488
113789,58489
113821,58490
113695,58491
114111,58492
114027,58493
113951,58494
114094,58495
113649,58496
113641,58497
114075,58498
114205,58499
114334,58500
114182,58501
113667,58502
113785,58503
114378,58504
114352,58505
113980,58506
114153,58507
114073,58508
114212,58509
113666,58510
114367,58511
113849,58512
114154,58513
113858,58514
113814,58515
113878,58516
113939,58517
114284,58518
113926,58519
114105,58520
114112,58521
114292,58522
114194,58523
113754,58524
114029,58525
113688,58526
114276,58527
113800,58528
113767,58529
114326,58530
114268,58531
113659,58532
114324,58533
114070,58534
113925,58535
113720,58536
113611,58537
114372,58538
114224,58539
114143,58540
114065,58541
113967,58542
114061,58543
114164,58544
113617,58545
114402,58546
113917,58547
113931,58548
114227,58549
114202,58550
113774,58551
113762,58552
113621,58553
114409,58554
113845,58555
114238,58556
114084,58557
113806,58558
113701,58559
113819,58560
114171,58561
113672,58562
113979,58563
113746,58564
114426,58565
114211,58566
114128,58567
114248,58568
114178,58569
114455,58570
113743,58571
114229,58572
114366,58573
114098,58574
114198,58575
113764,58576
113756,58577
114058,58578
114458,58579
113915,58580
114271,58581
114442,58582
113697,58583
114201,58584
113640,58585
113783,58586
114412,58587
113770,58588
113782,58589
113663,58590
114000,58591
113755,58592
114041,58593
113908,58594
114279,58595
114161,58596
114051,58597
114170,58598
113953,58599
114245,58600
113753,58601
113631,58602
114265,58603
114188,58604
114189,58605
113730,58606
114047,58607
113644,58608
114046,58609
114447,58610
113723,58611
114277,58612
113883,58613
113748,58614
114330,58615
114021,58616
113710,58617
113653,58618
114370,58619
114132,58620
114096,58621
114015,58622
114077,58623
113964,58624
113693,58625
114156,58626
113831,58627
114300,58628
113864,58629
114089,58630
114250,58631
114023,58632
114064,58633
114259,58634
113854,58635
113791,58636
114221,58637
113860,58638
114080,58639
114328,58640
113614,58641
113694,58642
114119,58643
114173,58644
114055,58645
114052,58646
114056,58647
114031,58648
114081,58649
114289,58650
114349,58651
114183,58652
113900,58653
113673,58654
114359,58655
114063,58656
114176,58657
114044,58658
114151,58659
114035,58660
114030,58661
-1,0
99999,58453
